Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,453.625,,,,385.359,,,,,,,,millions,USD
FY2008,1884.806,928.835,955.971,50.71986188498976,289.474,15.358291516474374,332.27,185.624,9.848440635269624,4.64,315.553,18.322,297.231,698.826,,,,364.55,48.671,40.522,,,,,,millions,USD
Q1 2009,462.058,,208.33,45.08741326846414,,,,25.023,5.415553891502799,0.61,,,,,,,,,,,,,,,,millions,USD
H1-2009,1065.799,552.231,513.568,48.18619645918227,152.217,14.28196123284034,171.30100000000002,92.034,8.635211705021304,2.23,168.221,8.114,160.107,,,,,,47.924,21.858,,,,,,millions,USD
Q2 2009,603.741,298.503,305.238,50.55777228977326,109.375,18.116212084320928,119.098,67.011,11.09929589012507,1.61,,,,,,,,333.449,48.479,11.264,,,,,,millions,USD
Q3 2009,730.66,296.654,434.006,59.399173350121806,200.755,27.47584375769852,210.853,318.982,43.656693947937484,7.49,195.17899999999997,1.7879999999999985,193.39099999999996,,,,,362.473,49.67,10.87,,,,,,millions,USD
Q4 2009,541.753,,313.189,57.810293620893646,,,,78.455,14.481691841115785,1.77,,,,,,,,,,,,,,,,millions,USD
FY2009,2338.212,1077.449,1260.763,53.9199610642662,470.835,20.136540228174347,510.02799999999996,489.472,20.933602256767138,11.54,509.665,15.106,494.559,1321.629,1834.224,476.61,,202.141,49.522,40.7,,,,,,millions,USD
Q1 2010,584.394,265.278,319.116,54.606310126387335,87.909,15.042762246018954,97.688,53.875,9.218951597723454,1.16,104.697,4.831,99.866,,,,,348.775,50.862,11.909,,,,,,millions,USD
H1-2010,1351.832,587.462,764.37,56.54326869019227,261.068,19.31216304984643,281.60499999999996,168.471,12.46242136596855,3.59,292.016,10.233,281.783,,,,,,51.032,27.374,,,,,,millions,USD
Q2 2010,767.439,322.184,445.255,58.018292007573244,173.159,22.563226523541285,183.917,114.957,14.979301286486614,2.41,187.31900000000002,5.402,181.91700000000003,1384.484,2445.739,1017.836,,356.035,50.847,15.465,,,,,,millions,USD
Q3 2010,1001.757,335.569,666.188,66.50195606319697,336.769,33.61783346659919,349.544,224.56,22.41661400918586,4.59,305.364,4.2379999999999995,301.126,1636.999,2746.545,1065.283,,533.121,50.559,21.176,,,,,,millions,USD
Q4 2010,731.316,,478.413,65.41809559752556,,,,135.729,18.559555650361816,2.76,,,,,,,,,,,,,,,,millions,USD
FY2010,3084.905,1175.934,1908.971,61.88103037208601,786.797,25.5047400163052,832.5600000000001,528.142,17.120203053254475,11.0,777.297,22.593,754.7040000000001,1813.336,2905.953,1046.828,,358.967,50.988,68.2,,,,,,millions,USD
Q1 2011,809.32,303.512,505.808,62.49789947116097,154.059,19.035610141847474,166.538,104.79,12.947906884792172,2.12,276.219,8.279,267.94,1724.401,3065.351,1189.843,,551.074,51.159,14.0,,,,,,millions,USD
H1-2011,1912.035,657.001,1255.034,65.63865201212322,478.767,25.03965670084491,504.897,360.291,18.84332661274506,7.29,499.502,18.077,481.425,,,,,,51.134,27.1,,,,,,millions,USD
Q2 2011,1102.716,353.489,749.227,67.94378607003073,324.708,29.44620373695494,338.35900000000004,256.368,23.248778470612564,5.16,223.28300000000002,9.798000000000002,213.485,1989.627,3360.075,1214.73,,611.249,51.105,13.1,,,,,,millions,USD
Q3 2011,1452.804,352.656,1100.148,75.72583775925726,616.378,42.42678296590593,630.335,472.886,32.54988284723886,9.43,560.469,11.692999999999998,548.7760000000001,2390.299,3815.573,1265.828,,421.166,51.184,13.3,,,,,,millions,USD
Q4 2011,990.77,,724.697,73.14482675091091,,,,225.955,22.80599937422409,4.53,,,,,,,,,,,,,,,,millions,USD
FY2011,4355.61,1275.73,3079.88,70.71064672916079,1398.922,32.11770567153625,1452.746,1059.131,24.31647920727522,21.27,,46.833,,2574.295,3970.671,1191.971,,632.836,51.211,65.724,,,,,,millions,USD
Q1 2012,1037.247,293.959,743.288,71.65969147175166,241.531,23.285774747962634,257.373,181.816,17.528708205470828,3.65,,13.697,,2591.659,5092.827,2246.044,,1192.075,51.347,16.523,,,,,,millions,USD
H1-2012,2364.006,616.576,1747.43,73.91817110447268,699.887,29.60597392730814,731.3919999999999,534.47,22.60865666161592,10.73,,28.423,,,,,,,51.306,34.135,,,,,,millions,USD
Q2 2012,1326.759,322.617,1004.142,75.68382803508399,458.355,34.54696745980242,474.01800000000003,352.654,26.58010987677491,7.07,,14.725999999999999,,2927.787,5428.806,2324.661,,812.786,51.226,17.612,,,,,,millions,USD
Q3 2012,1706.31,309.809,1396.501,81.8433344468473,755.592,44.28222304270619,771.5989999999999,599.973,35.16201628074617,11.97,,10.527000000000005,,3577.864,6217.809,2446.267,,898.47,51.185,17.555,,,,,,millions,USD
Q4 2012,1190.64,,939.75,78.92813948800644,,,,289.595,24.3226332056709,5.79,,,,,,,,,,,,,,,,millions,USD
FY2012,5260.956,1177.275,4083.681,77.62241311274984,1829.793,34.780617819270866,1894.934,1424.037,27.06802717985096,28.48,,55.158,,3896.975,6569.742,2457.825,,1536.349,51.326,71.565,,,,,,millions,USD
Q1 2013,1302.012,292.347,1009.665,77.54652030856859,309.839,23.796938891500233,328.919,244.292,18.762653493208973,4.89,,15.051,,3990.835,6855.127,2624.631,,1611.21,51.353,21.709,,,,,,millions,USD
H1-2013,2982.25,588.73,2393.52,80.25886495095985,864.67,28.99388045938469,909.7769999999999,681.732,22.85965294660072,13.54,,36.481,,,,,,,51.732,56.445,,,,,,millions,USD
Q2 2013,1680.238,296.383,1383.855,82.36065366930161,554.831,33.02097679019282,580.8580000000001,437.44,26.034407030432593,8.62,,21.43,,5857.66,9867.371,3966.918,,1762.214,52.111,34.736,,,,,,millions,USD
Q3 2013,2269.903,280.838,1989.065,87.6277532564167,1046.897,46.1207813725961,1082.644,832.989,36.697118775560014,16.22,,20.476999999999997,,6396.622,10445.655,4012.303,,1096.094,52.984,34.551,,,,,,millions,USD
Q4 2013,1541.153,,1333.301,86.51321445696824,,,,378.077,24.53208733980338,7.32,,,,,,,,,,,,,,,,millions,USD
FY2013,6793.306,1077.42,5715.886,84.13997544052926,2412.414,35.51163454141474,2530.389,1892.798,27.862693068735606,37.17,,84.445,,6909.729,10444.46,3526.198,1742.047,1289.994,52.413,140.526,,,,,,millions,USD
Q1 2014,1641.802,235.331,1406.471,85.6662983721545,438.726,26.72222350807223,477.102,331.218,20.17405265677591,6.35,,29.731,,7209.409,10813.684,3599.957,,1288.15,53.018,38.803,,,,,,millions,USD
