Date,Close
2016-10-01,64.66
2016-11-01,64.74
2016-12-01,66.3
2017-01-01,66.53
2017-02-01,69.33
2017-03-01,67.95
2017-04-01,69.94
2017-05-01,75.89
2017-06-01,75.56
2017-07-01,75.86
2017-08-01,78.13
2017-09-01,80.82
2017-10-01,85.92
2017-11-01,90.26
2017-12-01,90.58
2018-01-01,96.41
2018-02-01,100.38
2018-03-01,109.69
2018-04-01,107.21
2018-05-01,115.45
2018-06-01,115.1
2018-07-01,112.98
2018-08-01,135.14
2018-09-01,131.95
2018-10-01,116.94
2018-11-01,105.87
2018-12-01,96.25
2019-01-01,100.83
2019-02-01,101.25
2019-03-01,103.69
2019-04-01,118.13
2019-05-01,124.87
2019-06-01,127.68
2019-07-01,127.12
2019-08-01,129.44
2019-09-01,124.43
2019-10-01,125.22
2019-11-01,123.71
2019-12-01,123.54
2020-01-01,119.15
2020-02-01,104.36
2020-03-01,94.83
2020-04-01,116
2020-05-01,121.1
2020-06-01,126.19
2020-07-01,134.34
2020-08-01,137.4
2020-09-01,132
2020-10-01,137.6
2020-11-01,146.88
2020-12-01,153.2
2021-01-01,141.31
2021-02-01,142.49
2021-03-01,153.1
2021-04-01,158.63
2021-05-01,159.48
2021-06-01,161.53
2021-07-01,173.49
2021-08-01,172.22
2021-09-01,166.64
2021-10-01,178.41
2021-11-01,168.57
2021-12-01,182.82
2022-01-01,159.22
2022-02-01,146.21
2022-03-01,155.71
2022-04-01,144.13
2022-05-01,146.22
2022-06-01,142.55
2022-07-01,160.55
2022-08-01,171.17
2022-09-01,144.32
2022-10-01,150.06
2022-11-01,149.11
2022-12-01,134.13
2023-01-01,150.36
2023-02-01,140.78
2023-03-01,146.57
2023-04-01,145.41
2023-05-01,146.72
2023-06-01,165.63
2023-07-01,167.92
2023-08-01,186.21
2023-09-01,179.05
2023-10-01,170.64
2023-11-01,193.82
2023-12-01,205.75
2024-01-01,204.2
2024-02-01,203.58
2024-03-01,204.86
2024-04-01,193.41
2024-05-01,200.77
2024-06-01,197
2024-07-01,214
2024-08-01,212.86
2024-09-01,215.03
2024-10-01,210.86
2024-11-01,236.02
2024-12-01,226.09
2025-01-01,238.22
2025-02-01,241.22
2025-03-01,242.46
2025-04-01,242.4
2025-05-01,242.83
2025-06-01,243.03
2025-07-01,247.51
2025-08-01,255.62
2025-09-01,238.17
2025-10-01,220.4
2025-11-01,228.09
2025-12-01,223.17
2026-01-01,197.11
2026-02-01,185.87
2026-03-01,162.48
2026-04-01,153.98
2026-05-01,153.72
2026-06-01,136.95
2026-07-01,153.95
2026-08-01,182.38
2026-09-01,162.66
2026-09-25,163.77
