Date,Close
2016-10-01,144.3
2016-11-01,157.44
2016-12-01,162.98
2017-01-01,164.14
2017-02-01,171.42
2017-03-01,166.68
2017-04-01,165.21
2017-05-01,165.28
2017-06-01,169.37
2017-07-01,174.97
2017-08-01,181.16
2017-09-01,183.32
2017-10-01,186.94
2017-11-01,193.01
2017-12-01,198.22
2018-01-01,214.38
2018-02-01,207.2
2018-03-01,199.48
2018-04-01,193.73
2018-05-01,191.53
2018-06-01,186.65
2018-07-01,197.87
2018-08-01,208.72
2018-09-01,214.11
2018-10-01,205.28
2018-11-01,218.24
2018-12-01,204.18
2019-01-01,205.54
2019-02-01,201.3
2019-03-01,200.89
2019-04-01,216.71
2019-05-01,197.42
2019-06-01,213.17
2019-07-01,205.43
2019-08-01,203.41
2019-09-01,208.02
2019-10-01,212.58
2019-11-01,220.3
2019-12-01,226.5
2020-01-01,224.43
2020-02-01,206.34
2020-03-01,182.83
2020-04-01,187.36
2020-05-01,185.58
2020-06-01,178.51
2020-07-01,195.78
2020-08-01,218.04
2020-09-01,212.94
2020-10-01,201.9
2020-11-01,228.91
2020-12-01,231.87
2021-01-01,227.87
2021-02-01,240.51
2021-03-01,255.47
2021-04-01,274.95
2021-05-01,289.44
2021-06-01,277.92
2021-07-01,278.29
2021-08-01,285.77
2021-09-01,272.94
2021-10-01,287.01
2021-11-01,276.69
2021-12-01,299
2022-01-01,313.02
2022-02-01,321.45
2022-03-01,352.91
2022-04-01,322.83
2022-05-01,315.98
2022-06-01,273.02
2022-07-01,300.6
2022-08-01,280.8
2022-09-01,267.02
2022-10-01,295.09
2022-11-01,318.6
2022-12-01,308.9
2023-01-01,311.52
2023-02-01,305.18
2023-03-01,308.77
2023-04-01,328.55
2023-05-01,321.08
2023-06-01,341
2023-07-01,351.96
2023-08-01,360.2
2023-09-01,350.3
2023-10-01,341.33
2023-11-01,360
2023-12-01,356.66
2024-01-01,383.74
2024-02-01,409.4
2024-03-01,420.52
2024-04-01,396.73
2024-05-01,414.4
2024-06-01,406.8
2024-07-01,438.5
2024-08-01,475.92
2024-09-01,460.26
2024-10-01,450.92
2024-11-01,483.02
2024-12-01,453.28
2025-01-01,468.67
2025-02-01,513.83
2025-03-01,532.58
2025-04-01,533.25
2025-05-01,503.96
2025-06-01,485.77
2025-07-01,471.88
2025-08-01,502.98
2025-09-01,502.74
2025-10-01,477.54
2025-11-01,513.81
2025-12-01,502.65
2026-01-01,480.53
2026-02-01,504.95
2026-03-01,479.2
2026-04-01,473.6
2026-05-01,474.48
2026-06-01,500.39
2026-07-01,511.54
2026-08-01,504.03
2026-09-01,505.18
2026-09-25,505.48
