Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NAVPerShare,OperatingExpenses,DividendIncome,NetChangeInFairValue,WarrantExerciseProceeds
H1-2017,2.674,,,,1.413,52.8,,1.113,41.6,,8.328,,,,,,,,,0.0,,,,,,millions,NZD,,1.261,1.236,1.5,0.0
FY2017,5.694,,,,3.294,57.9,,2.66,46.7,0.0182,8.198,,,94.765,96.466,1.701,0.0,7.703,,0.0,,,,,,millions,NZD,,2.4,2.512,2.986,0.0
H1-2018,13.969,,,,11.94,85.5,,12.659,90.6,0.0835,0.35,,,112.327,113.16,0.833,0.0,12.613,163.954715,0.0,0.0282,,,,,millions,NZD,0.6851,2.029,1.386,12.404,8.564
FY2018,24.353,,,,20.194,82.9,,20.487,84.1,0.1299,-1.153,,,117.164,120.333,3.169,0.0,7.644,165.630469,0.0,0.0532,,,,,millions,NZD,0.7074,4.159,2.811,20.133,8.564
H1-2019,-10.425,,,,-11.31,,,-12.205,,-0.0729,-2.454,,,101.656,102.349,0.693,0.0,1.806,169.718415,0.0,0.0283,,,,,millions,NZD,0.599,0.885,1.569,-11.913,0.0
FY2019,10.851,,,,8.586,79.1,,7.428,68.5,0.044,1.007,,,118.299,119.102,0.803,0.0,2.269,172.081073,0.0,0.0538,,,,,millions,NZD,0.6875,2.265,3.273,7.573,0.0
H1-2020,14.644,,,,12.94,88.4,,12.688,86.6,0.0695,-10.055,,,145.273,146.264,0.991,0.0,6.458,205.227572,0.0,0.0279,,,,,millions,NZD,0.7079,1.704,1.798,12.939,18.437
FY2020,15.668,,,,12.661,80.8,,12.525,79.9,0.0644,-10.558,,,141.516,142.778,1.262,0.0,2.416,208.71974,0.0,0.0556,,,,,millions,NZD,0.678,3.007,3.03,12.677,18.423
H1-2021,34.616,,,,30.972,89.5,,31.608,91.3,0.1508,3.398,,,169.375,173.412,4.037,0.0,2.066,211.31203,0.0,0.035,,,,,millions,NZD,0.8015,3.644,1.245,33.34,0.0
FY2021,57.211,,,,51.717,90.4,,52.317,91.4,0.2482,6.678,,,185.691,188.481,2.79,0.0,0.949,213.764688,0.0,0.06,,,,,millions,NZD,0.8687,5.494,2.832,53.866,0.0
H1-2022,17.309,,,,15.422,89.1,,14.943,86.3,0.065,-23.787,,,225.865,227.853,1.988,0.0,2.394,264.834473,0.0,0.0275,,,,,millions,NZD,0.8529,1.887,1.92,15.389,30.773
FY2022,-32.631,,,,-35.152,,,-34.645,,-0.1399,-18.012,,,170.677,172.348,1.671,0.0,2.576,268.464628,0.0,0.0668,,,,,millions,NZD,0.6358,2.521,3.658,-36.432,30.693
H1-2023,15.238,,,,13.564,89.0,,12.225,80.2,0.0454,5.885,,,178.05,179.454,1.404,0.0,3.612,272.074641,0.0,0.0288,,,,,millions,NZD,0.6544,1.674,1.939,13.22,0.001
FY2023,43.579,,,,39.425,90.5,,38.334,88.0,0.1415,13.083,,,199.232,201.214,1.982,0.0,5.859,275.960204,0.0,0.0552,,,,,millions,NZD,0.722,4.154,3.83,39.569,0.056
H1-2024,19.667,,,,17.82,90.6,,17.027,86.6,0.0614,9.876,,,211.058,212.338,1.28,0.0,10.544,280.197078,0.0,0.0309,,,,,millions,NZD,0.7532,1.847,1.99,17.616,0.0
FY2024,33.119,,,,29.015,87.6,,28.112,84.9,0.1007,11.298,,,215.863,218.68,2.817,0.0,5.78,283.339843,0.0,0.0588,,,,,millions,NZD,0.7619,4.104,3.839,28.853,0.0
H1-2025,11.279,,,,9.171,81.3,,8.94,79.3,0.0298,-14.84,,,248.323,249.909,1.586,0.0,14.369,335.902481,0.0,0.0309,,,,,millions,NZD,0.7393,2.108,2.087,9.008,31.46
FY2025,12.455,,,,8.465,68.0,,7.911,63.5,0.0249,-0.509,,,240.628,241.742,1.114,0.0,22.005,340.710757,0.0,0.06,,,,,millions,NZD,0.7063,3.99,4.266,7.753,31.467
H1-2026,-13.533,,,,-15.01,,,-15.446,,-0.0451,-13.027,,,218.907,221.663,2.756,0.0,2.75,345.956908,0.0,0.0284,,,,,millions,NZD,0.6328,1.477,2.127,-17.381,0.0
