Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,RestrictedCash,CycloneInsuranceCashInOCF,Inventory,OperatingCashFlowExInsurance
H1 FY2017,84.278,67.951,16.327,19.4,-3.729,-4.4,-2.049,0.031,0.0,0.0,-4.789,1.176,-5.965,,,,,0.689,68.679,0.0,,0.497,,,,millions,NZD,,,,
FY2017,156.12,126.243,29.877,19.1,-5.483,-3.5,-2.232,-2.124,-1.4,-0.031,-5.373,2.123,-7.496,67.89,138.857,70.967,41.5,1.255,68.679,0.0,,2.572,,,,millions,NZD,,,,
H1 FY2018,75.316,57.914,17.402,23.1,2.612,3.5,4.418,1.008,1.3,0.015,7.542,0.721,6.821,69.069,129.954,60.885,34.1,0.843,68.679,0.0,,4.418,,,,millions,NZD,,,,
FY2018,148.12,111.917,36.203,24.4,6.763,4.6,10.324,4.081,2.8,0.059,12.143,1.622,10.521,72.222,133.004,60.782,31.5,2.111,68.679,0.0,,9.998,,,,millions,NZD,,,,
H1 FY2019,69.996,51.741,18.255,26.1,2.869,4.1,4.624,-10.033,-14.3,-0.146,2.405,2.184,0.221,,,,,0.599,68.679,0.0,,4.624,,,,millions,NZD,,,,
FY2019,135.234,102.378,32.856,24.3,-4.894,-3.6,-1.415,-16.78,-12.4,-0.244,2.906,4.705,-1.799,54.989,99.334,44.345,20.5,2.724,68.679,0.0,,7.076,,,,millions,NZD,,,,
H1 FY2020,64.384,49.15,15.234,23.7,-0.51,-0.8,2.135,-1.154,-1.8,-0.017,1.999,1.306,0.693,53.863,101.175,47.312,18.05,0.304,68.679,0.0,,2.951,,,,millions,NZD,,,,
FY2020,117.981,94.443,23.538,20.0,-13.334,-11.3,-8.872,-21.451,-18.2,-0.312,6.773,2.119,4.654,33.637,69.981,36.344,15.8,1.276,68.679,0.0,,2.3,,,,millions,NZD,,,,
H1 FY2021,60.3,42.3,18.0,29.9,,,5.7,3.8,6.3,,,,,,,,0.0,26.3,,,,4.3,,,,millions,NZD,,,,
FY2021,111.577,80.145,31.432,28.2,3.061,2.7,3.974,1.729,1.5,0.025,16.216,2.481,13.735,35.592,78.023,42.431,0.0,22.508,68.679,0.051,,3.385,,,,millions,NZD,,,,
H1 FY2022,48.72,33.537,15.183,31.2,1.737,3.6,2.533,1.001,2.1,0.0142,-1.38,1.586,-2.966,,,,0.0,18.513,68.986,0.254,,2.468,,,,millions,NZD,,,,
FY2022,95.485,65.785,29.7,31.1,3.475,3.6,5.112,2.24,2.3,0.0317,-2.917,2.898,-5.815,37.771,78.902,41.131,0.0,14.874,69.082,0.362,,4.918,,,,millions,NZD,,,,
H1 FY2023,47.183,32.478,14.705,31.2,-0.146,-0.3,0.653,-0.778,-1.6,-0.0109,-1.839,1.696,-3.535,39.256,77.265,38.009,0.0,10.369,69.479,0.104,,0.692,,,,millions,NZD,,,,
FY2023,89.689,64.967,24.722,27.6,11.542,12.9,13.381,10.736,12.0,0.1504,-7.069,1.956,-9.025,50.223,91.136,40.913,0.0,39.319,69.772,0.202,,-0.2,,,,millions,NZD,,,,
H1 FY2024,38.994,28.365,10.629,27.3,-1.964,-5.0,-1.067,-1.677,-4.3,-0.0236,-15.841,1.992,-17.833,48.711,85.012,36.301,0.0,30.839,71.069,0.064,,-1.68,,,,millions,NZD,,,,
FY2024,80.294,60.812,19.482,24.3,4.425,5.5,6.365,4.643,5.8,0.0653,-27.285,4.04,-31.325,54.423,94.918,40.495,0.0,31.645,71.069,0.117,,-4.686,,,,millions,NZD,,,,
H1 FY2025,42.129,33.161,8.968,21.3,-8.078,-19.2,-6.923,-8.147,-19.3,-0.1142,-21.76,3.242,-25.002,46.257,80.048,33.791,0.0,7.476,71.366,0.062,,-4.355,,,,millions,NZD,,,,
FY2025,88.891,77.009,11.882,13.4,18.408,20.7,20.728,18.247,20.5,0.2546,15.736,5.541,10.195,72.438,107.582,35.144,0.0,42.245,71.657,0.122,,-13.184,,,,millions,NZD,,42.23,,-23.8
H1 FY2026,44.709,38.026,6.683,14.9,-6.501,-14.5,-5.19,-6.403,-14.3,-0.0899,-1.898,5.374,-7.272,65.383,101.071,35.688,0.0,34.339,71.241,0.0,,-3.251,,,-4.562,millions,NZD,,0.0,,
FY2026,106.6,,14.6,13.7,-11.3,-10.6,,-11.4,-10.7,,,,,,,,0.0,22.0,,,,,,,-9.4,millions,NZD,4.9,,29.1,-9.3
