Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingEBIT,UnderlyingNPAT,Despatches_AustralianSteelProducts,Despatches_BuildingProductsAsiaNA,Despatches_CoatedProductsAmericas,Despatches_NorthStarBlueScope,NetProfitAttributable,SegmentEBIT_AustralianSteelProducts,SegmentEBIT_BuildingProductsAsiaNA,SegmentEBIT_CoatedProductsAmericas,SegmentEBIT_NewZealandPacificSteel,SegmentEBIT_NorthStarBlueScope,UnderlyingEBITROIC
H1 FY2016,4438.8,,,,325.8,7.3,515.8,226.6,5.1,0.352,165.1,141.2,23.9,4965.4,9212.4,4247.0,1861.4,486.7,568.918,,,,,,,millions,AUD,,,,,,,200.1,,,,,,
FY2016,9202.7,,,,622.3,6.8,1010.4,416.3,4.5,0.621,952.0,313.9,638.1,4985.3,9148.6,4163.3,1327.8,549.8,570.112,23.2,,,,,,millions,AUD,,,,,,,353.8,,,,,,
H1 FY2017,5195.2,,,,547.8,10.5,737.0,405.2,7.8,0.627,461.5,175.2,286.3,5422.8,9389.9,3967.1,1093.2,561.9,572.959,,,,,,,millions,AUD,,,,,,,359.1,,,,,,
FY2017,10648.9,,,,1024.8,9.6,1405.2,773.9,7.3,1.253,1132.4,383.0,749.4,5538.7,9575.4,4036.7,985.2,753.0,571.146,24.0,,,,,,millions,AUD,,,,,,,715.9,,,,,,
H1 FY2018,5490.5,,,,507.3,9.2,697.2,472.4,8.6,0.786,357.9,211.7,146.2,5817.3,9588.8,3771.5,1078.0,814.6,560.981,,,,,,,millions,AUD,,,,,,,441.2,,,,,,
FY2018,11526.3,,,,1488.6,12.9,1839.5,1628.6,14.1,2.818,1140.7,409.9,730.8,6887.6,10931.0,4043.4,880.8,944.4,556.844,16.3,,,,,,millions,AUD,,,,,,,1569.1,,,,,,
H1 FY2019,6413.7,,,,845.1,13.2,1046.1,637.2,9.9,1.153,653.2,160.4,492.8,7244.4,11196.5,3952.1,929.5,1056.0,541.471,,,,,,,millions,AUD,,,,,,,624.3,,,,,,
FY2019,12573.1,,,,1345.5,10.7,1753.8,1010.1,8.0,1.899,1682.3,378.2,1304.1,7341.5,11696.3,4354.8,951.8,1644.5,534.905,12.9,,,,,,millions,AUD,,,,,,,1015.8,,,,,,
H1 FY2020,5882.6,,,,300.5,5.1,555.7,193.6,3.3,0.363,235.8,275.6,-39.8,7281.7,11549.9,4268.2,804.7,1272.0,511.306,,,,,,,millions,AUD,,,,,,,185.8,,,,,,
FY2020,11324.2,,,,314.4,2.8,844.4,123.5,1.1,0.19,817.9,579.8,238.1,7039.6,11560.3,4520.7,784.0,1399.5,507.295,14.0,,,,,,millions,AUD,,,,,,,96.5,,,,,,
H1 FY2021,5831.4,,,,520.7,8.9,771.7,373.3,6.4,0.656,565.7,300.6,265.1,7112.4,11325.3,4212.9,683.7,1494.6,503.389,,,,,,,millions,AUD,,,,,,,330.3,,,,,,
FY2021,12902.2,,,,1748.5,13.6,2246.3,1307.5,10.1,2.37,1658.2,760.4,897.8,8160.4,13149.0,4988.6,622.5,1961.9,503.591,22.5,,,,,,millions,AUD,,,,,,,1193.3,,,,,,
H1 FY2022,9436.2,,,,2255.2,23.9,2514.3,1747.1,18.5,3.291,1072.7,385.1,687.6,9561.9,14797.3,5235.4,705.0,1902.9,499.385,,,,,,,millions,AUD,,,,,,,1643.5,,,,,,
FY2022,19029.9,,,,3845.8,20.2,4398.3,2983.0,15.7,5.715,2472.0,763.7,1708.3,10448.1,16610.5,6162.4,777.2,1682.7,491.677,20.6,,,,,,millions,AUD,3787.0,2701.0,,,,,2810.1,,,,,,41.6
H1 FY2023,9357.6,,,,832.1,8.9,1155.5,638.9,6.8,1.282,1105.5,353.8,751.7,10926.9,15918.1,4991.2,766.9,1918.4,467.126,,,,,,,millions,AUD,,,,,,,598.9,,,,,,
FY2023,18242.5,,,,1481.2,8.1,2145.7,1098.5,6.0,2.174,2150.9,808.7,1342.2,11030.7,15935.1,4904.4,244.8,1489.8,464.167,23.4,,,,,,millions,AUD,1608.0,1099.0,,,,,1009.2,,,,,,14.6
H1 FY2024,8560.5,,,,676.9,7.9,1021.0,516.6,6.0,0.973,720.9,466.5,254.4,11285.5,15678.0,4392.5,,1085.5,451.652,,,,,,,millions,AUD,,,,,,,439.3,,,,,,
FY2024,17055.3,,,,1267.9,7.4,1968.9,948.2,5.6,1.8,1410.0,976.3,433.7,11285.5,15678.0,4392.5,185.2,1085.5,447.656,21.4,,,,,,millions,AUD,1339.0,861.0,,,,,805.7,,,,,,11.9
H1 FY2025,7934.1,,,,305.4,3.8,661.9,216.9,2.7,0.408,563.0,583.6,-20.6,11810.5,15953.9,4143.4,158.2,822.0,439.174,,,,,,,millions,AUD,,,,,,,179.1,,,,,,
FY2025,16294.4,,,,280.8,1.7,1009.6,189.0,1.2,0.191,1412.9,1233.4,179.5,11272.7,15781.0,4508.3,279.7,857.6,438.894,22.0,0.6,,,,,millions,AUD,738.0,421.0,3781.2,921.9,1204.4,2881.8,83.8,514.4,249.3,138.8,261.6,267.2,6.2
H1 FY2026,8251.0,,,,562.1,6.8,927.2,434.8,5.3,0.891,787.3,733.7,53.6,11415.7,15782.6,4366.9,497.9,1077.0,438.531,,,,,,,millions,AUD,,,,,,,390.8,,,,,,
FY2026,16662.6,,,,1192.3,7.2,1894.4,902.7,5.4,1.83,1725.6,1485.7,239.9,10897.7,16398.9,5501.2,1181.3,1167.0,438.306,24.3,3.0,,,,,millions,AUD,1273.0,851.0,3855.7,918.4,1119.5,2976.5,802.0,1034.0,229.6,177.2,188.2,805.3,10.7
