Date,Close
2016-10-01,22
2016-11-01,20.46
2016-12-01,21.63
2017-01-01,24.06
2017-02-01,24.55
2017-03-01,24.87
2017-04-01,26.38
2017-05-01,27.03
2017-06-01,27.72
2017-07-01,26.62
2017-08-01,27.55
2017-09-01,29.17
2017-10-01,28.14
2017-11-01,26.28
2017-12-01,24.79
2018-01-01,27.96
2018-02-01,27.26
2018-03-01,27.32
2018-04-01,28.72
2018-05-01,30.39
2018-06-01,32.7
2018-07-01,33.61
2018-08-01,35.56
2018-09-01,38.5
2018-10-01,36.14
2018-11-01,37.67
2018-12-01,35.34
2019-01-01,38.15
2019-02-01,40.12
2019-03-01,38.38
2019-04-01,37.12
2019-05-01,38.41
2019-06-01,42.98
2019-07-01,42.46
2019-08-01,42.73
2019-09-01,40.69
2019-10-01,41.7
2019-11-01,43.25
2019-12-01,45.22
2020-01-01,41.87
2020-02-01,37.39
2020-03-01,32.63
2020-04-01,37.48
2020-05-01,37.99
2020-06-01,35.11
2020-07-01,38.57
2020-08-01,41.02
2020-09-01,38.21
2020-10-01,34.27
2020-11-01,33.15
2020-12-01,35.95
2021-01-01,35.44
2021-02-01,38.78
2021-03-01,38.65
2021-04-01,43.6
2021-05-01,42.55
2021-06-01,42.76
2021-07-01,45.6
2021-08-01,45.15
2021-09-01,43.39
2021-10-01,43.13
2021-11-01,38.07
2021-12-01,42.48
2022-01-01,42.9
2022-02-01,44.17
2022-03-01,44.29
2022-04-01,42.11
2022-05-01,41.01
2022-06-01,37.27
2022-07-01,41.05
2022-08-01,40.31
2022-09-01,38.73
2022-10-01,43.11
2022-11-01,45.27
2022-12-01,46.27
2023-01-01,46.25
2023-02-01,46.72
2023-03-01,50.03
2023-04-01,52.12
2023-05-01,51.48
2023-06-01,54.09
2023-07-01,51.85
2023-08-01,53.94
2023-09-01,52.8
2023-10-01,51.19
2023-11-01,55.89
2023-12-01,57.81
2024-01-01,63.26
2024-02-01,66.21
2024-03-01,68.49
2024-04-01,71.87
2024-05-01,75.57
2024-06-01,77.01
2024-07-01,73.88
2024-08-01,81.79
2024-09-01,83.8
2024-10-01,84.02
2024-11-01,90.66
2024-12-01,89.32
2025-01-01,102.36
2025-02-01,103.79
2025-03-01,100.88
2025-04-01,102.87
2025-05-01,105.26
2025-06-01,107.41
2025-07-01,104.92
2025-08-01,105.5
2025-09-01,97.63
2025-10-01,100.72
2025-11-01,101.58
2025-12-01,95.35
2026-01-01,93.53
2026-02-01,76.85
2026-03-01,62.75
2026-04-01,57.61
2026-05-01,48.31
2026-06-01,42.68
2026-07-01,46.73
2026-08-01,48.3
2026-09-01,44.68
2026-09-25,43.92
