Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,3813.343,,,,725.788,,,,,,,,millions,USD
FY2007,1482.289,,,,336.375,22.692943144015775,625.3530000000001,1553.381,104.7960957680992,10.98,631.654,,,4383.331,,,,1506.921,120.78,12.358,,,,,,millions,USD
H1-2008,740.112,,,,158.453,21.40932723695873,307.51300000000003,159.958,21.61267483840284,1.34,250.985,,,,,,,,121.168,11.064,,,,,,millions,USD
Q2 2008,368.68,,,,82.067,22.25968319409786,156.456,75.483,20.47385266355647,0.63,,,,,,,,112.11,121.315,,,,,,,millions,USD
Q3 2008,357.988,,,,47.956,13.395979753511291,123.277,52.353,14.624233214521157,0.36,114.69799999999998,,,,,,,55.597,121.369,,,,,,,millions,USD
FY2008,1469.442,,,,577.39,39.293146650225054,881.537,130.723,8.896097974605327,0.88,565.311,,,4259.105,10917.476,6602.719,6092.884,241.51,121.299,23.106,,,,,,millions,USD
Q1 2009,377.224,,,,46.138,12.230929103132356,123.50800000000001,54.03,14.323054736708162,0.37,110.136,,,,,,,143.789,121.468,7.094,,,,,,millions,USD
H1-2009,767.034,,,,122.069,15.914418396055455,286.444,134.103,17.48331886200612,0.91,316.937,,,,,,5957.696,,123.554,13.653,,,,,,millions,USD
Q2 2009,389.048,,,,75.931,19.517128991795357,162.93599999999998,80.073,20.581779112088995,0.54,206.80100000000002,,,4444.056,11580.664,6455.103,5957.696,819.245,138.548661,6.3,,,,,,millions,USD
Q3 2009,375.79,,,,68.906,18.336304851113656,147.087,77.65,20.6631363261396,0.47,130.97899999999998,,,5076.766,11631.777,6499.359,6008.99,782.106,139.225,6.2,,,,,,millions,USD
