Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,7376.9,,,,796.7,,,,,,,,millions,USD
Q3 2008,23437.1,,901.2,3.845185624501325,286.6,1.222847536597958,334.0,249.1,1.0628448058846873,0.7,-155.2,57.4,-212.6,,,,,387.4,361.1,21.0,0.14,,,,,millions,USD
H2-2008,47554.9,,1816.3,3.8193750801704973,599.7,1.2610687857612992,715.8000000000001,565.6,1.1893621898058875,1.58,211.2,130.5,80.69999999999999,,,,,,361.2,50.2,0.28,,,,,millions,USD
Q4 2008,24117.8,,915.1,3.7942930118004132,313.1,1.2982112796357879,,316.5,1.3123087512127973,0.48,,,,,,,,582.6,360.3,,0.14,,,,,millions,USD
FY2008,87408.2,,3777.1,4.321219290638636,1392.4,1.5929855551309835,1612.4,1300.6,1.487961083742715,3.63,1541.7,,,7747.5,,,,808.8,364.0,107.9,,,,,,millions,USD
Q1 2009,24089.3,,986.9,4.096839675706641,380.9,1.5811999518458402,,312.9,1.2989169465281265,0.88,,,,,,,,971.8,360.9,,0.14,,,,,millions,USD
Q2 2009,24347.3,,944.3,3.8784588024134092,,,,273.2,1.1220956738529528,0.56,,,,,,,,,,,,,,,,millions,USD
Q3 2009,24780.7,,908.8,3.667370171141251,239.9,0.9680921039357242,306.2,-38.2,-0.15415222330281225,-0.17,406.0,37.0,369.0,4941.2,20434.7,,2465.8,1584.8,359.1,22.0,0.175,,,,,millions,USD
H2-2009,49700.4,,1866.5,3.755502973819124,606.7,1.2207145214123025,732.5,196.3,0.39496664010752425,0.55,930.6,79.9,850.7,,,,,,361.1,42.1,0.35,,,,,millions,USD
Q4 2009,24919.7,,957.7,3.84314417910328,366.8,1.4719278321970168,,234.5,0.9410225644771003,0.64,,,,5226.1,20821.5,,2111.9,1746.8,361.0,20.1,0.175,,,,,millions,USD
FY2009,95991.5,,3747.5,3.9039914992473292,1287.4,1.3411604152450998,1513.2,1151.6,1.1996895558460905,3.22,1423.9,421.2,1002.7,8725.0,25118.8,,4004.0,1221.0,361.5,109.9,,,,,,millions,USD
Q1 2010,24342.8,,1010.1,4.149481571552985,366.3,1.5047570534203132,,222.4,0.9136171681154182,0.63,,,,5360.9,21270.2,,2108.2,2638.8,361.8,21.7,0.175,,,,,millions,USD
Q2 2010,24459.6,,904.1,3.6962992035846867,,,,223.5,0.9137516557915911,0.54,,,,,,,,,,,,,,,,millions,USD
Q3 2010,24438.0,,962.0,3.93649234798265,363.9,1.4890743923397987,432.4,295.0,1.2071364268761764,0.84,217.0,61.9,155.1,5239.0,20972.5,,2140.0,2712.2,351.9,21.4,0.195,,,,,millions,USD
H2-2010,49809.3,,1956.4,3.927780555036911,707.8,1.4210197694004933,849.5,510.2,1.0243067057758288,1.46,360.8,123.3,237.5,,,,,,351.3,42.4,0.39,,,,,millions,USD
Q4 2010,25372.0,,994.0,3.917704556203689,343.9,1.3554311839823427,,215.0,0.847390824530979,0.62,,,,5421.4,22849.7,,2960.0,1348.0,350.7,21.0,0.195,,,,,millions,USD
FY2010,98503.0,,3781.0,3.8384617727378862,1307.0,1.3268631412241252,1561.0,642.0,0.651756799285301,1.79,2134.0,260.0,1874.0,5276.0,19990.0,,2362.5,2755.0,361.0,100.0,,,,,,millions,USD
Q1 2011,26071.0,,1162.0,4.45705956810249,447.3,1.7156994361551148,,246.0,0.9435771546929539,0.72,,,,5656.8,23196.8,,2589.5,1961.8,352.9,18.0,0.195,,,,,millions,USD
Q2 2011,26764.0,,1044.0,3.900762217904648,,,,203.0,0.7584815423703481,0.59,,,,,,,,,,,,,,,,millions,USD
Q3 2011,26792.0,,1084.0,4.045983875783816,412.0,1.5377724693938488,490.0,237.0,0.8845924156464617,0.69,504.0,45.0,459.0,5713.9,23183.0,,2528.1,2011.0,349.0,20.0,0.215,,,,,millions,USD
H2-2011,53870.0,,2198.0,4.080193057360312,862.0,1.6001485056617784,1018.0,499.0,0.9263040653424912,1.44,390.0,101.0,289.0,,,,,,349.0,42.0,0.43,,,,,millions,USD
Q4 2011,27078.0,,1114.0,4.114040918827092,449.0,1.6581726863136126,,262.0,0.9675751532609498,0.76,,,,5927.7,24263.2,,2553.2,1798.0,349.0,22.0,0.215,,,,,millions,USD
FY2011,102644.0,,4162.0,4.054791317563618,1514.0,1.4750009742410661,1827.0,959.0,0.9342971824948365,2.75,1395.0,291.0,1104.0,5849.0,22846.0,,2502.0,1929.0,353.0,80.0,,,,,,millions,USD
Q1 2012,26918.0,,1207.0,4.483988409242886,527.0,1.9577977561483024,,333.0,1.2370904227654358,0.96,,,,6240.1,24642.1,,2553.4,2410.0,349.0,22.0,0.215,,,,,millions,USD
Q2 2012,26764.0,,1136.0,4.244507547451801,,,,236.0,0.8817814975340008,,,,,,,,,,,,,,,,,millions,USD
Q3 2012,25889.0,,1159.0,4.47680482058017,457.0,1.7652284754142686,545.0,271.0,1.046776623276295,0.8,568.0,26.0,542.0,6281.0,24820.0,,2879.0,2440.0,344.0,24.0,0.2375,,,,,millions,USD
H2-2012,51121.0,,2382.0,4.659533264216272,963.0,1.8837659670194244,1139.0,575.0,1.1247823790614424,1.69,438.0,62.0,376.0,,,,,,344.0,46.0,0.5125,,,,,millions,USD
Q4 2012,25232.0,,1224.0,4.850982878883957,506.0,2.0053899809765374,,303.0,1.200856055802156,0.89,,,,6542.0,24642.0,,2897.0,2305.0,343.0,22.0,0.275,,,,,millions,USD
FY2012,107552.0,,4541.0,4.222143707229991,1792.0,1.6661707825052066,2117.0,1069.0,0.9939378161261528,3.1,1176.0,260.0,916.0,6244.0,24260.0,,2894.0,2274.0,349.0,85.0,,,,,,millions,USD
Q1 2013,24552.0,,1291.0,5.25822743564679,475.0,1.9346692733789508,,345.0,1.4051808406647115,1.01,,,,6830.0,26723.0,,4160.0,2305.0,345.0,22.0,0.275,,,,,millions,USD
Q2 2013,25420.0,,1247.0,4.90558615263572,,,,-586.0,-2.305271439811172,,,,,,,,,,,,,,,,,millions,USD
Q3 2013,24523.0,,1264.0,5.1543449007054605,471.0,1.920645924234392,588.0,339.0,1.3823757289075562,1.0,951.0,26.0,925.0,6297.0,23816.0,,3883.0,2753.0,344.0,24.0,0.3025,,,,,millions,USD
H2-2013,46763.0,,2608.0,5.577058785792186,990.0,2.1170583581036286,1224.0,617.0,1.3194191989393322,1.81,988.0,90.0,898.0,,,,,,345.0,48.0,0.605,,,,,millions,USD
Q4 2013,22240.0,,1345.0,6.047661870503597,519.0,2.33363309352518,,278.0,1.25,0.81,,,,6589.0,25009.0,,3934.0,2741.0,346.0,24.0,0.3025,,,,,millions,USD
FY2013,101093.0,,4921.0,4.867795000642972,996.0,0.9852314205731356,1393.0,334.0,0.33038884987091094,0.98,1727.0,195.0,1532.0,5975.0,25819.0,,3854.0,1901.0,344.0,93.0,,,,,,millions,USD
Q1 2014,21427.0,,1297.0,6.053110561441173,508.0,2.370840528305409,,315.0,1.470107807905913,0.92,,,,6532.0,24701.0,,3920.0,3041.0,347.0,24.0,0.3025,,,,,millions,USD
Q2 2014,22894.0,,1256.0,5.486153577356513,,,,234.0,1.0221018607495413,,,,,,,,,,,,,,,,,millions,USD
Q3 2014,24070.0,,1341.0,5.571250519318654,466.0,1.9360199418363107,574.0,266.0,1.1051100955546325,0.79,61.0,36.0,25.0,6256.0,25711.0,,4007.0,2469.0,340.0,25.0,0.3425,,,,,millions,USD
H2-2014,49607.0,,2794.0,5.632269639365412,1012.0,2.0400346725260547,1232.0,555.0,1.1187937186284194,1.66,1014.0,83.0,931.0,,,,,,337.0,53.0,0.685,,,,,millions,USD
Q4 2014,25537.0,,1454.0,5.693699338215138,546.0,2.1380741668950933,,289.0,1.1316912714884286,0.87,,,,6100.0,27248.0,,3976.0,2881.0,334.0,28.0,0.3425,,,,,millions,USD
FY2014,91084.0,,5161.0,5.666198234596636,1885.0,2.069518246892978,2344.0,1166.0,1.280137016380484,3.42,2524.0,249.0,2275.0,6401.0,26033.0,,3972.0,2865.0,345.0,96.0,,,,,,millions,USD
Q1 2015,25375.0,,1459.0,5.749753694581281,591.0,2.329064039408867,,365.0,1.438423645320197,1.1,,,,6369.0,27888.0,,4003.0,3183.0,334.0,27.0,0.3425,,,,,millions,USD
Q2 2015,27547.0,,1458.0,5.292772352706284,,,,295.0,1.0708970123788435,,,,,,,,,,,,,,,,,millions,USD
Q3 2015,28055.0,,1579.0,5.628230261985386,620.0,2.209944751381215,757.0,384.0,1.3687399750490108,1.17,-52.0,83.0,-135.0,6527.0,31222.0,,5550.0,2974.0,331.0,30.0,0.387,,,,,millions,USD
H2-2015,59499.0,,3188.0,5.3580732449284865,1183.0,1.9882687103984942,1489.0,710.0,1.1932973663422914,2.16,1411.0,175.0,1236.0,,,,,,332.0,56.0,0.774,,,,,millions,USD
Q4 2015,31445.0,,1609.0,5.116870726665606,563.0,1.790427730958817,,326.0,1.0367307998091908,0.99,,,,6728.0,33507.0,,5525.0,2324.0,332.0,26.0,0.387,,,,,millions,USD
FY2015,102531.0,,5712.0,5.570998039617287,2161.0,2.1076552457305593,2612.0,1215.0,1.1850074611580887,3.66,2540.0,300.0,2240.0,6256.0,30142.0,,5492.0,4616.0,335.0,110.0,,,,,,millions,USD
Q1 2016,30662.0,,1689.0,5.508446937577458,656.0,2.1394560041745483,,386.0,1.2588872219685605,1.18,,,,6730.0,34055.0,,5546.0,2598.0,331.0,26.0,0.387,,,,,millions,USD
Q2 2016,31384.0,,1665.0,5.305251083354576,,,,335.0,1.0674228906449146,,,,,,,,,,,,,,,,,millions,USD
Q3 2016,32039.0,,1590.0,4.962701707294235,535.0,1.669839882643029,708.0,310.0,0.9675707731202597,,104.0,100.0,4.0,6531.0,34406.0,,5532.0,2001.0,322.0,23.0,0.4489,,,,,millions,USD
H2-2016,65189.0,,3192.0,4.896531623433401,1076.0,1.6505852214330639,1415.0,634.0,0.9725567196919727,,658.0,213.0,445.0,,,,,,321.0,47.0,0.8978,,,,,millions,USD
Q4 2016,33150.0,,1602.0,4.832579185520363,542.0,1.6349924585218703,,324.0,0.9773755656108597,,,,,6341.0,35021.0,,5462.0,1881.0,319.0,24.0,0.4489,,,,,millions,USD
FY2016,121546.0,115003.0,6543.0,5.383147121254504,2459.0,2.023102364536883,3100.0,1431.0,1.177332038898853,4.36,2971.0,465.0,2506.0,6571.0,34122.0,,5539.0,2356.0,330.0,111.0,,,,,,millions,USD
Q1 2017,31821.0,,1728.0,5.43037616668238,605.0,1.9012601740988657,,382.0,1.2004651016624241,,,,,6665.0,34174.0,,5461.0,1368.0,318.0,25.0,0.4489,,,,,millions,USD
Q2 2017,32966.0,,1623.0,4.923254261966875,,,,278.0,0.8432930898501487,,,,,,,,,,,,,,,,,millions,USD
Q3 2017,32641.0,30969.0,1672.0,5.122392083575871,262.0,0.8026714867804294,491.0,117.0,0.3584449005851536,,1181.0,67.0,1114.0,6695.0,41940.0,,10003.0,1181.0,318.0,17.0,0.4624,,,,,millions,USD
H2-2017,67827.0,64294.0,3533.0,5.208840137408407,661.0,0.974538163268315,1181.0,1170.0,1.724976779158742,,1460.0,168.0,1292.0,,,,,,317.0,40.0,0.9248,,,,,millions,USD
Q4 2017,35186.0,33325.0,1861.0,5.289035411811516,399.0,1.133973739555505,,1053.0,2.9926675382254304,,,,,7619.0,42905.0,,9759.0,1249.0,316.0,23.0,0.4624,,,,,millions,USD
FY2017,129976.0,123432.0,6544.0,5.034775650889395,2120.0,1.6310703514494984,2837.0,1294.0,0.995568412630024,4.06,1184.0,387.0,797.0,6828.0,40112.0,,10395.0,6879.0,320.0,96.0,,,,,,millions,USD
Q1 2018,33633.0,31720.0,1913.0,5.687866083905687,546.0,1.6234055838016233,,255.0,0.7581839265007582,,,,,7538.0,41031.0,,9578.0,2175.0,315.0,24.0,0.4624,,,,,millions,USD
Q2 2018,35349.0,,1735.0,4.908201080652918,,,,-1166.0,-3.2985374409459958,,,,,,,,,,,,,,,,,millions,USD
Q3 2018,35213.0,33546.0,1667.0,4.734047084883423,816.0,2.317325987561412,1061.0,594.0,1.686877005651322,1.95,365.0,58.0,307.0,5913.0,40011.0,,9001.0,2045.0,306.0,19.0,0.4763,,,,,millions,USD
H2-2018,72953.0,69556.0,3397.0,4.6564226282675145,1320.0,1.8093841240250572,1818.0,874.0,1.1980316093923484,,736.0,116.0,620.0,,,,,,303.0,41.0,0.9526,,,,,millions,USD
Q4 2018,37740.0,36010.0,1730.0,4.583995760466348,504.0,1.3354531001589824,,281.0,0.744568097509274,,,,,6043.0,40462.0,,9049.0,2182.0,300.0,22.0,0.4763,,,,,millions,USD
FY2018,136809.0,129628.0,7181.0,5.248923681921511,126.0,0.09209920399973687,1158.0,259.0,0.18931503044390355,0.82,2768.0,384.0,2384.0,6059.0,39951.0,,9013.0,1763.0,315.0,85.0,,,,,,millions,USD
Q1 2019,35228.0,33464.0,1764.0,5.007380492789826,432.0,1.2262972635403655,,296.0,0.8402407176109912,,,,,6232.0,40809.0,,9080.0,3438.0,299.0,23.0,0.4763,,,,,millions,USD
Q2 2019,37353.0,,1674.0,4.4815677455626055,,,,194.0,0.5193692608358097,,,,,,,,,,,,,,,,,millions,USD
Q3 2019,37341.0,35662.0,1679.0,4.496398061112449,-5264.0,-14.097105058782573,-5030.0,-4922.0,-13.181221713398141,-16.65,-653.0,72.0,-725.0,903.0,39179.0,,7991.0,1212.0,296.0,20.0,0.4811,,,,,millions,USD
H2-2019,77076.0,73683.0,3393.0,4.4021485287248945,-4930.0,-6.396284187036172,-4466.0,-4702.0,-6.100472261144843,,44.0,149.0,-105.0,,,,,,294.0,41.0,0.9622,,,,,millions,USD
Q4 2019,39735.0,38021.0,1714.0,4.3135774506102935,334.0,0.8405687680885868,,220.0,0.5536680508367937,,,,,1002.0,41042.0,,7934.0,1659.0,294.0,21.0,0.4811,,,,,millions,USD
FY2019,145534.0,138700.0,6834.0,4.695809913834568,2060.0,1.415476795800294,3060.0,1365.0,0.9379251583822338,4.55,2722.0,328.0,2394.0,6330.0,40963.0,,8031.0,2531.0,301.0,82.0,,,,,,millions,USD
Q1 2020,39157.0,37272.0,1885.0,4.813954082284138,562.0,1.4352478484051383,,351.0,0.8963914498046326,,,,,1206.0,41148.0,,7262.0,2329.0,294.0,27.0,0.4811,,,,,millions,USD
Q2 2020,36689.0,,1590.0,4.333724004470005,,,,657.0,1.7907274659979833,,,,,,,,,,,,,,,,,millions,USD
Q3 2020,39065.0,37350.0,1715.0,4.390119032381928,-624.0,-1.5973377703826956,-419.0,-253.0,-0.6476385511327275,-0.86,270.0,78.0,192.0,1425.0,41727.0,,6740.0,2746.0,293.0,28.0,0.4859,,,,,millions,USD
H2-2020,80606.0,77115.0,3491.0,4.330943105972261,-163.0,-0.20221819715653921,241.0,377.0,0.4677071185767809,,1487.0,174.0,1313.0,,,,,,295.0,51.0,0.9718,,,,,millions,USD
Q4 2020,41541.0,39765.0,1776.0,4.275294287571315,461.0,1.1097469969427793,,630.0,1.51657398714523,,,,,1975.0,44719.0,,6733.0,3737.0,295.0,23.0,0.4859,,,,,millions,USD
FY2020,152922.0,146054.0,6868.0,4.4911785093053975,-4098.0,-2.6797975438458823,-3185.0,-3696.0,-2.416918429003021,-12.61,1960.0,375.0,1585.0,1792.0,40766.0,,6775.0,2771.0,293.0,90.0,,,,,,millions,USD
Q1 2021,39275.0,37463.0,1812.0,4.613621896880968,473.0,1.2043284532145129,,120.0,0.305537873965627,,,,,1794.0,43874.0,,6731.0,3499.0,294.0,33.0,0.4859,,,,,millions,USD
Q3 2021,43968.0,42326.0,1642.0,3.734534206695779,415.0,0.94386826783115,583.0,272.0,0.61863173216885,0.94,-646.0,67.0,-713.0,1396.0,42993.0,,5654.0,2463.0,289.0,24.0,0.4908,,,,,millions,USD
