Date,Close
2016-09-30,75.48
2016-10-31,74.5
2016-11-30,80.15
2016-12-31,75.37
2017-01-31,80.69
2017-02-28,86.56
2017-03-31,91.9
2017-04-30,92.16
2017-05-31,90.48
2017-06-30,92
2017-07-31,93.13
2017-08-31,99.16
2017-09-30,104.35
2017-10-31,96.88
2017-11-30,98.89
2017-12-31,106.95
2018-01-31,102.95
2018-02-28,101.2
2018-03-31,114
2018-04-30,112.65
2018-05-31,115.2
2018-06-30,109.8
2018-07-31,110.5
2018-08-31,108.4
2018-09-30,108
2018-10-31,103.05
2018-11-30,86.8
2018-12-31,96.48
2019-01-31,105.2
2019-02-28,108.1
2019-03-31,108.1
2019-04-30,100.1
2019-05-31,109.35
2019-06-30,115.25
2019-07-31,109.15
2019-08-31,108.1
2019-09-30,100.95
2019-10-31,107.35
2019-11-30,108.9
2019-12-31,112.35
2020-01-31,99.22
2020-02-29,77
2020-03-31,85.74
2020-04-30,92.1
2020-05-31,101.95
2020-06-30,109.5
2020-07-31,116
2020-08-31,109.75
2020-09-30,99.14
2020-10-31,116.3
2020-11-30,126.8
2020-12-31,119.5
2021-01-31,133.15
2021-02-28,145.1
2021-03-31,152.4
2021-04-30,152.65
2021-05-31,162
2021-06-30,182.25
2021-07-31,190.15
2021-08-31,180.15
2021-09-30,201.3
2021-10-31,204.1
2021-11-30,215.5
2021-12-31,197.45
2022-01-31,188.3
2022-02-28,202.5
2022-03-31,196.1
2022-04-30,180.5
2022-05-31,163.45
2022-06-30,185.35
2022-07-31,173
2022-08-31,165.5
2022-09-30,166.25
2022-10-31,171
2022-11-30,155.95
2022-12-31,173.9
2023-01-31,177.85
2023-02-28,170.75
2023-03-31,164.9
2023-04-30,162.8
2023-05-31,173.55
2023-06-30,164.85
2023-07-31,172.35
2023-08-31,165.8
2023-09-30,166.5
2023-10-31,188
2023-11-30,188.75
2023-12-31,207.2
2024-01-31,224.7
2024-02-29,213.3
2024-03-31,197.9
2024-04-30,185.6
2024-05-31,185.7
2024-06-30,183.6
2024-07-31,187.5
2024-08-31,193.95
2024-09-30,159.2
2024-10-31,151.9
2024-11-30,158.15
2024-12-31,175.95
2025-01-31,149.15
2025-02-28,138.05
2025-03-31,139.85
2025-04-30,146.25
2025-05-31,145.05
2025-06-30,130.9
2025-07-31,121.45
2025-08-31,123.55
2025-09-30,133.5
2025-10-31,134.8
2025-11-30,142.25
2025-12-31,131.2
2026-01-31,106.95
2026-02-28,100.5
2026-03-31,103
2026-04-30,101.95
2026-05-31,87.96
2026-06-30,102.5
2026-07-31,107.25
2026-08-31,106.4
2026-09-07,105.1
