Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,,,,,,,,,,,,,,14784.0,,,,,,,,,,,,millions,USD
FY2018,18914.0,,,,3637.0,19.229142434175742,3994.0,2769.0,14.639949243946281,3.16,2055.0,263.0,1792.0,14269.0,,,,1129.0,866.2,44.0,,,,,,millions,USD
Q1 2019,4323.0,,,,500.0,11.566042100393245,,403.0,9.322229932916956,0.46,-183.0,41.0,-224.0,14690.0,,,,863.0,866.0,8.0,,,,,,millions,USD
H1-2019,9285.0,,,,1305.0,14.054927302100161,,1197.0,12.891760904684975,1.37,371.0,89.0,282.0,,,,,,866.2,22.0,,,,,,millions,USD
Q2 2019,4962.0,,,,805.0,16.22329705763805,,794.0,16.00161225312374,0.91,554.0,48.0,506.0,14960.0,,,,936.0,866.2,14.0,,,,,,millions,USD
Q3 2019,4822.0,,,,629.0,13.04437992534218,,504.0,10.452094566569887,0.57,618.0,50.0,568.0,14644.0,,,,862.0,866.2,18.0,,,,,,millions,USD
Q4 2019,4501.0,,,,557.0,12.37502777160631,,,,0.5,,,,,,,,,,,,,,,,millions,USD
FY2019,18608.0,,,,2491.0,13.386715391229579,2826.0,2155.0,11.58104041272571,2.44,2063.0,243.0,1820.0,14435.0,22406.0,7971.0,556.0,952.0,866.2,58.0,,,,,,millions,USD
Q1 2020,3888.0,,,,315.0,8.101851851851851,,102.0,2.6234567901234565,0.11,47.0,48.0,-1.0,3026.0,22001.0,18975.0,11465.0,768.0,866.2,13.0,,,,,,millions,USD
H1-2020,7860.0,,,,757.0,9.631043256997456,,371.0,4.7201017811704835,0.41,556.0,94.0,462.0,,,,,,870.9,35.0,,,,,,millions,USD
Q2 2020,3972.0,,,,442.0,11.127895266868077,,269.0,6.772406847935549,0.3,509.0,46.0,463.0,4366.0,24176.0,19810.0,12330.0,2704.0,870.9,26.0,0.08,,,,,millions,USD
Q3 2020,5002.0,,,,1081.0,21.61135545781687,,748.0,14.954018392642944,0.86,937.0,57.0,880.0,5437.0,25728.0,20291.0,11974.0,3848.0,881.5,26.0,,,,,,millions,USD
Q4 2020,4594.0,,,,1245.0,27.100565955594252,,,,1.02,,,,,,,,,,,,,,,,millions,USD
FY2020,17456.0,,,,3083.0,17.6615490375802,3419.0,2006.0,11.491750687442712,2.29,1692.0,312.0,1380.0,6578.0,25093.0,18515.0,10227.0,3115.0,880.2,88.0,0.28,,,,,millions,USD
Q1 2021,4699.0,,,,571.0,12.151521600340498,,392.0,8.34220046818472,0.44,184.0,53.0,131.0,6818.0,24868.0,18050.0,9730.0,2599.0,889.8,23.0,,,,,,millions,USD
H1-2021,10139.0,,,,1354.0,13.354374198638919,,889.0,8.768123089062039,1.0,745.0,132.0,613.0,,,,,,890.4,50.0,,,,,,millions,USD
Q2 2021,5440.0,,,,783.0,14.393382352941176,,497.0,9.136029411764705,0.56,561.0,79.0,482.0,7120.0,25738.0,18618.0,9725.0,2630.0,890.9,27.0,0.24,,,,,millions,USD
Q3 2021,5341.0,,,,828.0,15.502714847406853,,480.0,8.987081070960494,0.54,579.0,74.0,505.0,7222.0,25788.0,18566.0,9688.0,2671.0,892.0,26.0,,,,,,millions,USD
FY2021,20613.0,,,,2645.0,12.83170814534517,2983.0,1701.0,8.252073933925193,1.92,2237.0,344.0,1893.0,7094.0,26172.0,19078.0,9696.0,2987.0,890.3,111.0,0.51,,,,,millions,USD
Q1 2022,4654.0,,,,1737.0,37.322733132789,,1387.0,29.802320584443486,1.62,-202.0,56.0,-258.0,7430.0,24193.0,16763.0,8561.0,3604.0,874.1,21.0,,,,,,millions,USD
H1-2022,9865.0,,,,2556.0,25.909782057780028,,1974.0,20.010136847440446,2.3,-170.0,122.0,-292.0,,,,,,868.4,41.0,,,,,,millions,USD
Q2 2022,5211.0,,,,819.0,15.716753022452504,,587.0,11.264632508155824,0.68,32.0,66.0,-34.0,6992.0,23662.0,16670.0,8567.0,3017.0,862.7,9.0,0.3,,,,,millions,USD
Q3 2022,5451.0,,,,1526.0,27.994863327829755,,1332.0,24.435883324160702,1.56,790.0,91.0,699.0,7463.0,25350.0,17887.0,8889.0,2985.0,856.5,18.0,,,,,,millions,USD
FY2022,17288.0,12991.0,,,3984.0,23.044886626561777,4312.0,3584.0,20.73114298935678,4.19,1743.0,317.0,1426.0,8076.0,26086.0,18010.0,8842.0,3298.0,861.2,77.0,0.635,,,,,millions,USD
Q1 2023,4518.0,,,,460.0,10.18149623727313,,387.0,8.565737051792828,0.45,120.0,70.0,50.0,8468.0,26411.0,17943.0,8850.0,3347.0,852.2,23.0,,,,,,millions,USD
H1-2023,11265.0,,,,1044.0,9.267643142476697,,620.0,5.503772747447847,0.68,504.0,144.0,360.0,,,,,,851.5,42.0,,,,,,millions,USD
Q2 2023,5182.0,,,,651.0,12.562717097645695,,233.0,4.496333461983791,0.24,384.0,74.0,310.0,8288.0,26284.0,17996.0,8789.0,3209.0,850.9,19.0,0.37,,,,,millions,USD
Q3 2023,4935.0,,,,510.0,10.33434650455927,,381.0,7.720364741641338,0.43,1041.0,73.0,968.0,8502.0,26544.0,18042.0,8785.0,3685.0,854.7,24.0,,,,,,millions,USD
Q4 2023,4316.0,,,,539.0,12.488415199258572,,,,,,,,,,,,,,,,,,,,millions,USD
FY2023,18951.0,13789.0,,,2160.0,11.397815418711414,2651.0,1440.0,7.598543612474276,1.61,2607.0,439.0,2168.0,9005.0,32822.0,23817.0,14293.0,9852.0,853.0,84.0,0.745,,,,,millions,USD
Q1 2024,5420.0,,,,385.0,7.103321033210332,,289.0,5.332103321033211,0.3,40.0,102.0,-62.0,11906.0,40810.0,28904.0,16895.0,1180.0,913.0,22.0,,,,,,millions,USD
H1-2024,11354.0,,,,1109.0,9.76748282543597,,2658.0,23.41025189360578,2.9,700.0,210.0,490.0,,,,,,913.6,49.0,,,,,,millions,USD
Q2 2024,5934.0,,,,724.0,12.200876306033031,,2369.0,39.922480620155035,2.59,660.0,108.0,552.0,14079.0,40424.0,26345.0,13322.0,2756.0,915.3,27.0,0.38,,,,,millions,USD
Q3 2024,5984.0,,,,763.0,12.75066844919786,,481.0,8.038101604278076,0.5,-269.0,92.0,-361.0,15042.0,40201.0,25159.0,12432.0,2224.0,915.0,30.0,,,,,,millions,USD
Q4 2024,5148.0,,,,774.0,15.034965034965033,,,,,,,,,,,,,,,,,,,,millions,USD
FY2024,22486.0,16505.0,,,2646.0,11.767321889175488,3878.0,5708.0,25.38468380325536,6.24,563.0,519.0,44.0,14395.0,37403.0,23008.0,12362.0,3969.0,911.7,100.0,0.795,,,,,millions,USD
Q1 2025,5218.0,,,,629.0,12.054426983518589,,437.0,8.374856266768877,0.47,483.0,63.0,420.0,14198.0,36447.0,22249.0,11184.0,1698.0,878.3,23.0,,,,,,millions,USD
H1-2025,11331.0,,,,1532.0,13.520430676904068,,1070.0,9.443120642485217,1.17,1132.0,144.0,988.0,,,,,,872.3,45.0,,,,,,millions,USD
Q2 2025,6113.0,,,,903.0,14.771797807950271,,633.0,10.354981187632914,0.69,649.0,81.0,568.0,15014.0,38493.0,23479.0,11443.0,1797.0,866.3,23.0,0.45,,,,,millions,USD
Q3 2025,5579.0,,,,539.0,9.661229611041405,,455.0,8.155583437892096,0.5,341.0,117.0,224.0,14839.0,38077.0,23238.0,11916.0,1423.0,858.6,11.0,,,,,,millions,USD
FY2025,21747.0,,,,2172.0,9.987584494413023,3446.0,1587.0,7.297558283901227,1.74,2513.0,392.0,2121.0,14128.0,37190.0,23062.0,11833.0,1555.0,862.4,74.0,0.675,,,,,millions,USD
Q1 2026,5341.0,,,,259.0,4.849279161205767,,265.0,4.961617674592773,0.29,79.0,94.0,-15.0,13801.0,37186.0,23385.0,12158.0,1371.0,842.8,22.0,,,,,,millions,USD
