Date,Close
2020-04-01,17.71
2020-05-01,20.47
2020-06-01,22.22
2020-07-01,27.24
2020-08-01,29.85
2020-09-01,30.54
2020-10-01,33.39
2020-11-01,38.07
2020-12-01,37.72
2021-01-01,38.5
2021-02-01,36.53
2021-03-01,42.22
2021-04-01,43.58
2021-05-01,45.93
2021-06-01,48.6
2021-07-01,55.25
2021-08-01,57.6
2021-09-01,51.76
2021-10-01,52.23
2021-11-01,54.12
2021-12-01,54.24
2022-01-01,47.68
2022-02-01,44.88
2022-03-01,45.87
2022-04-01,38.27
2022-05-01,39.31
2022-06-01,35.66
2022-07-01,40.53
2022-08-01,39.12
2022-09-01,35.56
2022-10-01,39.76
2022-11-01,44.32
2022-12-01,41.25
2023-01-01,45.53
2023-02-01,45.03
2023-03-01,45.75
2023-04-01,41.82
2023-05-01,40.9
2023-06-01,49.71
2023-07-01,59.55
2023-08-01,57.45
2023-09-01,55.2
2023-10-01,47.66
2023-11-01,51.96
2023-12-01,57.45
2024-01-01,54.71
2024-02-01,55.58
2024-03-01,58.13
2024-04-01,61.49
2024-05-01,63.19
2024-06-01,63.08
2024-07-01,68.11
2024-08-01,72.78
2024-09-01,80.49
2024-10-01,72.72
2024-11-01,77.37
2024-12-01,68.26
2025-01-01,65.38
2025-02-01,64.8
2025-03-01,63.4
2025-04-01,62.54
2025-05-01,71.2
2025-06-01,73.19
2025-07-01,68.62
2025-08-01,65.2
2025-09-01,59.7
2025-10-01,59.49
2025-11-01,54.88
2025-12-01,52.84
2026-01-01,59.58
2026-02-01,64.4
2026-03-01,56.31
2026-04-01,67.17
2026-05-01,63.87
2026-06-01,73.35
2026-07-01,61.81
2026-08-01,58.22
2026-09-01,54.87
2026-09-25,56.37
