Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,,,,,565.0,,,,,,,,millions,USD
FY2007,14154.0,,,,,,,2578.0,18.2139324572559,7.7,4701.0,,,16677.0,,,,510.0,,,,,,,,millions,USD
H1-2008,6910.0,,,,,,,1123.0,16.251808972503618,3.31,2082.0,,,,,,,,,,,,,,,millions,USD
Q2 2008,3834.0,,,,,,,746.0,19.45748565466875,2.2,,,,,,,,582.0,,,,,,,,millions,USD
Q3 2008,3619.0,,,,,,,54.0,1.4921248963802156,0.16,1058.0,,,,,,,479.0,,,,,,,,millions,USD
FY2008,13632.0,,,,,,,1197.0,8.78080985915493,3.52,4101.0,,,14446.0,72057.0,57611.0,2806.0,867.0,334.606237,,1.09,,,,,millions,USD
Q1 2009,3575.0,,,,,,,567.0,15.86013986013986,1.69,562.0,,,14718.0,,,,844.0,,,0.3,,,,,millions,USD
H1-2009,7122.0,,,,,,,1102.0,15.473181690536366,3.28,1322.0,,,,,,,,336.501916,,0.57,,,,,millions,USD
Q2 2009,3547.0,,,,,,,535.0,15.083168875105724,1.58,760.0,,,16561.0,75655.0,59094.0,3322.0,654.0,337.508296,,0.31,,,,,millions,USD
Q3 2009,3681.0,,,,,,,494.0,13.420266232002174,1.46,1010.0,,,18733.0,77821.0,59088.0,3321.0,742.0,338.411869,,0.31,,,,,millions,USD
Q4 2009,4272.0,,,,,,,953.0,22.30805243445693,2.82,,,,,,,,,,,,,,,,millions,USD
FY2009,15075.0,,,,,,,2549.0,16.908789386401327,7.57,3335.0,,,19667.0,77980.0,58313.0,3319.0,669.0,337.539294,27.0,1.26,,,,,millions,USD
Q1 2010,3949.0,,,,,,,755.0,19.118764244112434,2.23,823.0,,,20636.0,79329.0,58693.0,3158.0,726.0,339.865476,,0.31,,,,,millions,USD
H1-2010,7709.0,,,,,,,1432.0,18.57569075107018,4.22,1691.0,,,,,,,,340.388318,,0.64,,,,,millions,USD
Q2 2010,3760.0,,,,,,,677.0,18.00531914893617,1.99,868.0,,,21410.0,80160.0,58750.0,3305.0,668.0,338.755604,,0.33,,,,,millions,USD
Q3 2010,3888.0,,,,,,,675.0,17.36111111111111,1.98,1084.0,,,22845.0,82388.0,59543.0,3313.0,487.0,341.855519,,0.33,,,,,millions,USD
Q4 2010,4409.0,,,,,,,1001.0,22.70356089816285,2.94,,,,,,,,,,,,,,,,millions,USD
FY2010,16006.0,,,,,,,3085.0,19.274022241659377,9.08,3546.0,,,22835.0,83355.0,60381.0,4658.0,772.0,341.246387,28.0,1.31,,,,,millions,USD
Q1 2011,3808.0,,,,,,,250.0,6.565126050420169,0.74,1003.0,,,23228.0,86220.0,62844.0,4759.0,1115.0,339.661199,,0.3,,,,,millions,USD
H1-2011,8061.0,,,,,,,844.0,10.470164991936484,2.5,2063.0,,,,,,,,340.618396,,0.59,,,,,millions,USD
Q2 2011,4253.0,,,,,,,594.0,13.96661180343287,1.75,1060.0,,,23952.0,89254.0,65141.0,4760.0,833.0,341.688968,,0.29,,,,,millions,USD
Q3 2011,4294.0,,,,,,,-39.0,-0.9082440614811363,-0.11,935.0,,,23581.0,88720.0,64970.0,4610.0,766.0,338.385734,,0.31,,,,,millions,USD
Q4 2011,4479.0,,,,,,,735.0,16.409912926992632,2.17,,,,,,,,,,,,,,,,millions,USD
FY2011,16834.0,,,,,,,1540.0,9.148152548413924,4.55,3470.0,,,24332.0,87321.0,62989.0,3360.0,614.0,340.780224,27.0,1.22,,,,,millions,USD
Q1 2012,4185.0,,,,,,,973.0,23.249701314217443,2.87,572.0,,,25431.0,89749.0,64318.0,3360.0,715.0,341.690982,,0.53,,,,,millions,USD
H1-2012,8111.0,,,,,,,1301.0,16.039945752681543,3.83,1383.0,,,,,,,,342.171399,,1.01,,,,,millions,USD
Q2 2012,3926.0,,,,,,,328.0,8.354559347936831,0.96,811.0,,,25762.0,90701.0,64939.0,3360.0,617.0,342.674038,,0.48,,,,,millions,USD
Q3 2012,5138.0,,,,,,,640.0,12.456208641494745,1.88,1642.0,,,26963.0,93508.0,66545.0,3360.0,690.0,342.872713,,0.45,,,,,millions,USD
Q4 2012,4687.0,,,,,,,765.0,16.32174098570514,2.24,,,,,,,,,,,,,,,,millions,USD
FY2012,17936.0,,,,,,,2706.0,15.086975914362178,7.96,3995.0,,,27531.0,92545.0,65014.0,3360.0,615.0,342.74695,,1.91,,,,,millions,USD
Q1 2013,4419.0,,,,,,,734.0,16.610092781172213,2.16,913.0,,,27942.0,93461.0,65519.0,4307.0,855.0,343.906368,,0.46,,,,,millions,USD
H1-2013,9015.0,,,,,,,1844.0,20.45479755962285,5.41,1808.0,,,,,,,,344.033713,,0.94,,,,,millions,USD
Q2 2013,4815.0,,,,,,,779.0,16.178608515057114,2.3,895.0,,,27295.0,93688.0,66393.0,3807.0,679.0,344.101265,,0.48,,,,,millions,USD
Q3 2013,5200.0,,,,,,,785.0,15.096153846153845,2.35,928.0,,,28218.0,94584.0,66366.0,3807.0,768.0,343.817737,,0.46,,,,,millions,USD
Q4 2013,4737.0,,,,,,,555.0,11.716276124129196,1.68,,,,,,,,,,,,,,,,millions,USD
FY2013,19261.0,,,,,,,3758.0,19.510928819895124,11.02,4022.0,,,28825.0,94510.0,65685.0,3807.0,579.0,344.147575,,1.85,,,,,millions,USD
Q1 2014,4389.0,,,,,,,681.0,15.516062884483937,2.08,1250.0,,,29369.0,95179.0,65810.0,3808.0,847.0,342.040736,,0.65,,,,,millions,USD
H1-2014,9234.0,,,,,,,1513.0,16.38509854884124,4.47,2096.0,,,,,,,,341.620759,,1.23,,,,,millions,USD
Q2 2014,5048.0,,,,,,,942.0,18.660855784469096,2.89,846.0,,,30325.0,97447.0,67122.0,4057.0,594.0,341.132587,,0.58,,,,,millions,USD
Q3 2014,4871.0,,,,,,,528.0,10.839663313487991,1.63,1126.0,,,30017.0,97557.0,67540.0,4057.0,806.0,337.67398,,0.61,,,,,millions,USD
Q4 2014,4679.0,,,,,,,683.0,14.597136140200897,2.1,,,,,,,,,,,,,,,,millions,USD
FY2014,19171.0,,,,,,,2853.0,14.88185279849773,8.5,4496.0,,,29587.0,98248.0,68661.0,3357.0,655.0,338.986287,,2.47,,,,,millions,USD
Q1 2015,4389.0,,,,,,,681.0,15.516062884483937,2.08,1075.0,,,29702.0,98398.0,68696.0,4157.0,948.0,331.69272,,0.62,,,,,millions,USD
H1-2015,9437.0,,,,,,,1623.0,17.198262159584612,4.97,1891.0,,,,,,,,330.169647,,1.24,,,,,millions,USD
Q2 2015,5048.0,,,,,,,942.0,18.660855784469096,2.89,816.0,,,29555.0,99840.0,70285.0,4157.0,790.0,328.685758,,0.62,,,,,millions,USD
Q3 2015,4871.0,,,,,,,528.0,10.839663313487991,1.63,808.0,,,29127.0,97760.0,68633.0,4157.0,1038.0,327.17342,,0.65,,,,,millions,USD
Q4 2015,4679.0,,,,,,,683.0,14.597136140200897,2.1,,,,,,,,,,,,,,,,millions,USD
FY2015,18987.0,,,,,,,2834.0,14.926002001369357,8.71,3864.0,,,29135.0,102306.0,73171.0,9389.0,1775.0,328.835378,,2.56,,,,,millions,USD
Q1 2016,6877.0,,,,,,,439.0,6.383597498909409,0.98,1020.0,,,45897.0,156644.0,110747.0,12636.0,1091.0,464.28352,,0.66,,,,,millions,USD
H1-2016,14774.0,,,,,,,1165.0,7.885474482198457,2.55,,,,,,,,,460.482361,,1.34,,,,,millions,USD
Q2 2016,7897.0,,,,,,,726.0,9.193364568823604,1.55,,,,47226.0,160203.0,112977.0,12631.0,1011.0,471.157297,,0.68,,,,,millions,USD
Q3 2016,8527.0,,,,,,,1360.0,15.94933739885071,2.9,,,,48372.0,161810.0,113438.0,12621.0,870.0,471.396362,,0.67,,,,,millions,USD
Q4 2016,8168.0,,,,,,,1610.0,19.711067580803135,3.44,,,,,,,,,,,,,,,,millions,USD
FY2016,31469.0,,,,,,,4135.0,13.139915472369633,8.94,,,,48275.0,159786.0,111511.0,12610.0,985.0,465.968716,,,,,,,millions,USD
Q1 2017,7510.0,,,,,,,1093.0,14.55392809587217,2.33,,,,49224.0,160967.0,111743.0,12300.0,1063.0,472.73169,,0.69,,,,,millions,USD
H1-2017,15618.0,,,,,,,2398.0,15.354078627224995,5.12,,,,,,,,,472.145136,,1.38,,,,,millions,USD
Q2 2017,8108.0,,,,,,,1305.0,16.095214602861372,2.79,,,,50349.0,162988.0,112639.0,11667.0,1297.0,471.853937,,0.69,,,,,millions,USD
Q3 2017,8610.0,,,,,,,-70.0,-0.8130081300813009,-0.15,,,,50471.0,167578.0,117107.0,11559.0,1088.0,466.370784,,0.68,,,,,millions,USD
Q4 2017,8015.0,,,,,,,1533.0,19.12663755458515,3.29,,,,,,,,,,,,,,,,millions,USD
FY2017,32243.0,,,,,,,3861.0,11.974692181248644,8.26,4503.0,,,51172.0,167022.0,115850.0,11556.0,728.0,471.196901,,,,,,,millions,USD
Q1 2018,7831.0,,,,,,,1082.0,13.816881624313627,2.32,,,,51287.0,168781.0,117494.0,12786.0,1988.0,469.473591,,0.66,,,,,millions,USD
H1-2018,16341.0,,,,,,,2376.0,14.540113824123372,5.1,,,,,,,,,468.977737,,1.39,,,,,millions,USD
Q2 2018,8510.0,,,,,,,1294.0,15.205640423031728,2.78,,,,50971.0,167534.0,116563.0,12184.0,1000.0,468.380324,,0.73,,,,,millions,USD
Q3 2018,8750.0,,,,,,,1231.0,14.068571428571428,2.66,,,,50934.0,167684.0,116750.0,12149.0,1053.0,466.016498,,0.72,,,,,millions,USD
Q4 2018,7626.0,,,,,,,355.0,4.655127196433255,0.77,,,,,,,,,,,,,,,,millions,USD
FY2018,32717.0,,,,,,,3962.0,12.109912278020602,8.55,5480.0,,,50312.0,167771.0,117459.0,12087.0,1247.0,466.802348,,,,,,,millions,USD
Q1 2019,7876.0,,,,,,,1040.0,13.204672422549518,2.27,1322.0,,,52355.0,171347.0,118992.0,12071.0,1271.0,461.53694,,,,,,,millions,USD
H1-2019,16403.0,,,,,,,2190.0,13.351216240931537,4.78,2708.0,,,,,,,,460.873556,,,,,,,millions,USD
Q2 2019,8527.0,,,,,,,1150.0,13.486572065204644,2.52,1386.0,,,53802.0,174516.0,120714.0,13371.0,1270.0,460.169692,,,,,,,millions,USD
Q3 2019,9045.0,,,,,,,1091.0,12.061912658927584,2.4,2205.0,,,54572.0,175148.0,120576.0,13285.0,1478.0,458.150369,,,,,,,millions,USD
Q4 2019,8738.0,,,,,,,1173.0,13.424124513618677,2.59,,,,,,,,,,,,,,,,millions,USD
FY2019,34186.0,,,,,,,4454.0,13.028725209149943,9.77,6342.0,,,55331.0,176943.0,121612.0,13559.0,1537.0,458.914663,,,,,,,millions,USD
Q1 2020,7697.0,,,,,,,252.0,3.274002858256463,0.56,1712.0,,,52197.0,173127.0,120930.0,13510.0,1512.0,454.520268,,,,,,,millions,USD
H1-2020,16682.0,,,,,,,-79.0,-0.4735643208248412,-0.17,3697.0,,,,,,,,451.635733,,,,,,,millions,USD
Q2 2020,8985.0,,,,,,,-331.0,-3.683917640511964,-0.73,1985.0,,,54760.0,181474.0,126714.0,13656.0,1557.0,451.402807,,,,,,,millions,USD
Q3 2020,9464.0,,,,,,,1194.0,12.616229923922232,2.64,3544.0,,,56413.0,187786.0,131373.0,14830.0,1707.0,453.26548,,,,,,,millions,USD
FY2020,35994.0,,,,,,,3533.0,9.815524809690505,7.82,9785.0,,,59441.0,190774.0,131333.0,14948.0,1747.0,453.441512,,,,,,,millions,USD
Q1 2021,9971.0,,,,,,,2300.0,23.06689399257848,5.1,2105.0,,,59076.0,191977.0,132901.0,14879.0,1684.0,453.335539,,,,,,,millions,USD
H1-2021,19635.0,,,,,,,4565.0,23.249299719887954,10.2,5227.0,,,,,,,,450.702519,,,,,,,millions,USD
