Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2008,,,,,,,,,,,,,,381.66,,,,281.423,,,,,,,,millions,USD
FY2009,426.082,,,,177.585,41.678597077557846,205.097,106.451,24.98368858576518,1.17,112.766,,,188.134,,,,383.73,90.733,0.0,,,,,,millions,USD
Q1 2010,101.081,,,,38.729,38.314816830066974,,22.676,22.4334939306101,0.25,,,,,,,,,,,,,,,,millions,USD
H1-2010,213.699,,,,80.555,37.69554373207175,95.15700000000001,47.566,22.258410193777227,0.52,71.279,,,,,,,,91.487,0.636,,,,,,millions,USD
Q2 2010,112.618,,,,41.826,37.13971123621446,49.127,24.89,22.1012626755936,0.27,,,,,,,,324.066,92.233,,,,,,,millions,USD
Q3 2010,106.015,,,,34.933,32.95099750035372,42.032,20.454,19.29349620336745,0.2,13.525000000000006,,,,,,,322.936,102.103,,,,,,,millions,USD
Q4 2010,117.39,,,,51.853,44.17156486923929,,31.376,26.728000681489057,0.31,,,,,,,,,,,,,,,,millions,USD
FY2010,437.104,,,,167.341,38.28402393938285,197.232,99.396,22.73966836267799,1.03,134.913,,,175.874,254.112,78.238,,53.789,95.754,20.801,,,,,,millions,USD
Q1 2011,124.042,,,,57.535,46.383483013817894,66.231,32.871,26.499895196788188,0.36,78.224,,,,,,,115.689,90.085,3.413,,,,,,millions,USD
H1-2011,244.332,,,,113.987,46.65250560712473,131.679,66.272,27.1237496521127,0.72,92.564,,,,,,,,90.124,6.632,,,,,,millions,USD
Q2 2011,120.29,,,,56.452,46.92991936154293,65.448,33.401,27.76706293124948,0.36,14.33999999999999,,,227.294,319.422,92.128,,106.545,90.164,3.219,,,,,,millions,USD
Q3 2011,143.604,,,,74.966,52.203281245647744,83.863,41.327,28.778446282833343,0.45,71.733,,,245.701,344.643,98.942,,147.22,90.334,2.976,,,,,,millions,USD
Q4 2011,120.208,,,,52.679,43.823206442166914,,31.807,26.45996938639691,0.35,,,,,,,,,,,,,,,,millions,USD
FY2011,508.144,,,,241.632,47.55187505903839,275.726,139.406,27.434349318303475,1.52,203.129,,,236.27,327.868,91.598,,134.936,89.994,12.618,,,,,,millions,USD
Q1 2012,121.392,,,,57.415,47.297185976011605,65.735,33.417,27.528173190984578,0.37,63.343,,,231.202,353.441,122.239,,148.629,88.146,2.939,,,,,,millions,USD
H1-2012,253.941,,,,123.485,48.62743708184185,140.125,71.913,28.3187827093695,0.81,86.734,,,,,,,,87.649,5.966,,,,,,millions,USD
Q2 2012,132.549,,,,66.069,49.84496299481701,74.38900000000001,38.496,29.042844532965166,0.44,23.39099999999999,,,239.907,343.806,103.899,,127.137,87.153,3.027,,,,,,millions,USD
Q3 2012,128.319,,,,60.861,47.429453159703556,69.495,45.758,35.65956717243745,0.52,54.134,,,275.521,377.526,102.005,,160.281,87.272,3.082,,,,,,millions,USD
Q4 2012,130.078,,,,59.752,45.9355156137087,,39.724,30.538599916972892,0.45,,,,,,,,,,,,,,,,millions,USD
FY2012,512.338,,,,244.097,47.64374299778662,275.582,157.395,30.720930323341232,1.78,200.535,,,239.122,338.858,99.736,,135.597,87.46,12.348,,,,,,millions,USD
Q1 2013,142.705,,,,69.43,48.65281524823937,77.712,42.373,29.692722749728457,0.48,95.297,,,274.726,409.625,134.899,,210.486,87.272,6.739,,,,,,millions,USD
H1-2013,293.477,,,,144.788,49.335382329790754,161.692,88.533,30.16692960606794,1.0,,,,,,,,,87.307,12.949,,,,,,millions,USD
Q2 2013,150.772,,,,75.358,49.981428912530184,83.98,46.161,30.61642745337331,0.52,,,,309.906,429.862,119.956,,207.766,87.700964,6.21,,,,,,millions,USD
Q3 2013,136.743,,,,68.427,50.04058708672474,76.903,41.356,30.243595650234383,0.47,,,,325.399,441.15,115.751,,226.378,87.647,3.918,,,,,,millions,USD
Q4 2013,141.83,,,,72.599,51.18733695268985,,46.11,32.51075230910244,0.52,,,,,,,,,,,0.18,,,,,millions,USD
FY2013,572.05,,,,285.814,49.963115112315364,320.302,175.999,30.766366576348226,1.99,,,,284.517,441.589,157.072,,221.341,87.331,20.823,,,,,,millions,USD
Q1 2014,157.885,,,,82.038,51.9606042372613,90.642,49.024,31.050448110966844,0.56,,,,286.68,412.844,126.164,,199.065,86.453,6.913,,,,,,millions,USD
H1-2014,301.827,,,,151.754,50.278470779618786,170.253,92.005,30.482693728526606,1.06,,,,,,,,,86.14,11.37,,,,,,millions,USD
Q2 2014,143.942,,,,69.716,48.433396784816104,79.61099999999999,42.981,29.85994358838977,0.5,,,,263.891,385.781,121.89,,145.111,85.831,4.457,0.18,,,,,millions,USD
Q3 2014,148.91,,,,75.084,50.42240279363375,85.44500000000001,48.366,32.4800214894903,0.57,,,,245.124,367.086,121.962,,126.519,85.051,2.109,0.21,,,,,millions,USD
Q4 2014,166.488,,,,86.963,52.23379462784104,,49.342,29.63697083273269,0.58,,,,,,,,,,,0.21,,,,,millions,USD
FY2014,617.225,,,,313.801,50.84061727895014,353.714,189.714,30.736603345619507,2.21,,,,250.0,383.901,133.834,,147.9,85.406,15.577,0.78,,,,,millions,USD
Q1 2015,142.839,,,,69.553,48.69328404707397,79.955,42.259,29.58505730227739,0.5,,,,243.735,375.797,132.062,,137.558,83.956,2.655,,,,,,millions,USD
H1-2015,291.564,,,,142.924,49.019769244488344,164.601,87.105,29.87508745935712,1.04,,,,,,,,,83.621,5.801,,,,,,millions,USD
Q2 2015,148.725,,,,73.37,49.33266095142041,84.64500000000001,44.845,30.15296688519079,0.54,,,,227.017,362.109,135.092,,89.634,83.29,3.1,0.21,,,,,millions,USD
Q3 2015,187.035,,,,101.11,54.05940064693774,113.504,67.516,36.09805651348678,0.81,,,,259.817,397.419,137.602,,121.678,82.755,3.2,0.23,,,,,millions,USD
Q4 2015,155.946,,,,75.895,48.66748746360919,,50.403,32.320803355007506,0.61,,,,,,,,,,,0.23,,,,,millions,USD
FY2015,663.8,102.1,561.7,84.6188611027418,319.9,48.192226574269355,366.2,205.0,30.882796022898468,2.46,245.3,39.3,206.0,259.7,384.788,125.143,,102.3,83.1,12.2,0.88,,,,,millions,USD
Q1 2016,162.33,27.4,143.1,88.15376085751247,79.5,48.974311587506925,91.4,49.2,30.308630567362776,0.6,97.4,8.9,88.5,247.927,394.83,134.303,,107.5,81.8,3.4,,,,,,millions,USD
H1-2016,343.6,56.4,287.2,83.58556461001163,157.5,45.838183934807915,181.7,100.6,29.27823050058207,1.22,114.9,25.4,89.5,,,,,,81.6,7.1,,,,,,millions,USD
Q2 2016,163.329,29.0,144.1,88.22683050774816,78.0,47.75636904652572,90.3,50.9,31.164092108566145,0.62,17.5,16.5,1.0,265.763,406.644,128.281,,52.2,81.3,3.7,,,,,,millions,USD
Q3 2016,156.207,32.5,136.2,87.19199523708924,65.8,42.12359241263196,76.0,40.5,25.927135147592615,0.5,59.19999999999999,11.0,48.19999999999999,289.565,441.342,139.177,,72.8,81.285307,3.8,,,,,,millions,USD
Q4 2016,175.08,,143.0,81.67694768106008,74.9,42.78044322595385,,45.1,25.759652730180488,0.55,,,,,,,,,,,,,,,,millions,USD
FY2016,703.1,136.7,566.4,80.55753093443322,298.2,42.412174655098845,342.59999999999997,186.8,26.568055753093446,2.27,229.6,44.4,185.2,317.9,476.7,146.069,0.0,97.3,81.4,14.5,0.96,,,,,millions,USD
