Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,1252.156,,,,342.874,,,,,,,,millions,USD
FY2008,5128.817,,,,-788.469,-15.37331123337019,-685.652,-1049.741,-20.46750741935226,-4.81,-130.373,51.471,-181.844,345.723,,,,158.823,210.539032,,,,,,,millions,USD
H1-2009,1846.116,,,,44.403,2.4052118068420403,93.961,-68.125,-3.6901798153528813,-0.16,-82.719,5.88,-88.59899999999999,,,,,,263.851431,,,,,,,millions,USD
Q2 2009,955.667,,,,38.924,4.072966838867513,63.09,-13.706,-1.4341815716143802,-0.02,,,,,,,,309.52,265.683366,,,,,,,millions,USD
Q3 2009,1023.205,,,,56.994,5.570144790144692,81.439,12.377,1.2096305236975973,0.04,136.17,6.767,129.403,,,,,326.045,285.923601,,,,,,,millions,USD
FY2009,4165.82,,,,241.842,5.80538765477145,341.315,33.341,0.8003466304353045,0.12,213.645,28.2,185.44500000000002,784.295,5039.406,4255.111,2120.803,741.557,279.995081,,,,,,,millions,USD
Q1 2010,1025.883,,,,45.688,4.453529301099638,71.983,-6.627,-0.6459800971455809,-0.02,7.091,2.898,4.193,,,,,680.295,312.87964,,,,,,,millions,USD
H1-2010,2197.802,,,,142.867,6.500449085040416,196.778,48.163,2.191416697227502,0.15,101.007,7.161,93.846,,,,,,317.736844,,,,,,,millions,USD
Q2 2010,1171.919,,,,97.179,8.29229665190171,124.795,54.79,4.675237793738304,0.17,93.91600000000001,4.263,89.653,820.61,4931.05,4110.44,2060.158,743.563,318.425227,,,,,,,millions,USD
Q3 2010,1266.218,,,,130.579,10.312521224623248,156.184,57.038,4.50459557516952,0.18,223.91699999999997,10.724000000000002,213.19299999999998,956.964,5075.063,4118.099,1906.295,768.675,322.980362,,,,,,,millions,USD
Q4 2010,1651.296,,,,172.933,10.47256215723892,,95.144,5.761777416041703,0.3,,,,,,,,,321.208613,,,,,,,millions,USD
FY2010,5115.316,,,,446.379,8.726323065867291,554.76,200.345,3.9165713320545597,0.64,616.587,68.464,548.123,1065.795,5121.568,4055.773,1937.775,506.574,323.594919,,,,,,,millions,USD
Q1 2011,1185.105,,,,73.119,6.169833052767476,96.297,34.369,2.9000805835769827,0.11,-113.882,13.622,-127.504,1149.145,4792.898,3643.753,1419.102,427.645,322.920829,,,,,,,millions,USD
H1-2011,2607.323,,,,203.301,7.797307813416289,251.86399999999998,119.353,4.5776069938400425,0.3,-156.39,47.148,-203.53799999999998,,,,,,323.510069,,,,,,,millions,USD
Q2 2011,1422.218,,,,130.182,9.153449049301864,155.56699999999998,61.223,4.304754967241308,0.19,-42.50799999999998,33.526,-76.03399999999999,1239.658,5282.732,4043.074,1809.952,752.109,324.093042,,,,,,,millions,USD
Q3 2011,1534.463,,,,143.005,9.319546968548606,174.313,63.807,4.158262532234404,0.2,260.514,48.24999999999999,212.264,1358.062,6415.103,5057.041,2198.769,662.594,327.906396,,,,,,,millions,USD
Q4 2011,1763.625,,,,116.556,6.608887943865617,,79.763,4.52267347083422,0.25,,,,,,,,,324.117111,,,,,,,millions,USD
FY2011,5905.411,,,,462.862,7.837930332029389,578.581,290.325,4.916253923731981,0.75,361.219,147.98,213.239,1417.163,7219.143,5801.98,3298.727,1093.182,327.972156,44.327,,,,,,millions,USD
Q1 2012,1349.989,,,,76.063,5.634342205751306,122.52000000000001,26.975,1.998164429487944,0.08,-298.949,8.086,-307.035,1402.343,6539.557,5137.214,2464.721,703.937,325.738859,,,,,,,millions,USD
H1-2012,2951.106,,,,248.763,8.429483725762477,333.55600000000004,105.545,3.5764557423555776,0.32,-201.659,38.705,-240.36399999999998,,,,,,325.910274,,,,,,,millions,USD
Q2 2012,1601.117,,,,172.7,10.78621987025308,211.036,75.873,4.738754257184204,0.24,97.29000000000002,30.619,66.67100000000002,1434.942,6576.395,5141.453,2442.638,731.202,326.081681,,,,,,,millions,USD
Q3 2012,1557.147,,,,103.595,6.652872207954676,143.697,42.705,2.7425156391785745,0.12,81.72299999999998,41.882000000000005,39.84099999999998,1519.106,6768.777,5249.671,2442.56,776.26,329.161194,,,,,,,millions,USD
Q4 2012,2005.846,,,,232.723,11.602236662236285,,172.998,8.624690031039272,0.53,,,,,,,,,329.01291,,,,,,,millions,USD
FY2012,6514.099,,,,585.081,8.981764016788816,754.726,315.555,4.844184898018898,0.98,291.081,150.232,140.84900000000002,1681.812,7809.542,6127.73,3600.122,1089.297,330.082187,51.712,,,,,,millions,USD
Q1 2013,1475.063,,,,101.174,6.858961278264047,147.455,61.855,4.1933802149467505,0.11,-79.886,8.815,-88.701,1705.787,6887.64,5181.853,2013.928,518.7,331.185248,11.671,,,,,,millions,USD
H1-2013,3217.077,,,,288.798,8.977031012935033,378.68,136.089,4.2302064886852255,0.33,84.671,39.552,45.11900000000001,,,,,,331.218705,22.299,,,,,,millions,USD
Q2 2013,1742.014,,,,187.624,10.770521936103844,231.225,74.234,4.261389403299859,0.21,164.55700000000002,30.737000000000002,133.82000000000002,1711.449,6348.288,4636.839,1863.194,485.495,331.631185,,,,,,,millions,USD
