Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,6.726,-1.069,5.657,84.1,-0.891,-13.2,-0.647,-4.097,-60.9,-0.84,,,,0.013,10.729,10.716,5.909,0.714,489509248.0,0.358,,millions,NZD
H1 FY2019,2.928,-0.552,2.376,81.1,-1.511,-51.6,-1.394,-1.926,-65.8,-0.39,-0.964,0.017,-0.981,-3.231,8.799,12.03,5.909,0.531,489509248.0,0.185,,millions,NZD
FY2019,5.936,-1.171,4.765,80.3,-3.679,-62.0,-3.415,-4.682,-78.9,-0.95,-1.916,,,-5.731,8.432,14.163,7.919,0.45,489509248.0,0.0,,millions,NZD
H1 FY2020,3.891,-0.982,2.909,74.8,-0.597,-15.3,-0.278,-1.489,-38.3,-0.3,-0.718,0.035,-0.753,-5.286,27.801,33.087,,0.566,489509248.0,0.0,,millions,NZD
FY2020,4.001,-0.133,3.868,96.7,0.379,9.5,1.079,-4.541,-113.5,-0.87,,0.08,,-5.892,27.187,33.079,5.495,0.253,525979949.0,0.0,,millions,NZD
H1 FY2021,1.641,-0.138,1.503,91.6,-0.708,-43.1,-0.628,-1.207,-73.6,-0.19,0.568,0.307,0.261,-0.075,48.773,48.848,,1.862,627833832.0,0.0,,millions,NZD
FY2021,1.714,,1.576,91.9,-1.727,-100.8,-0.908,-2.545,-148.5,-0.42,0.036,0.103,-0.067,-1.721,44.959,46.68,7.507,0.886,627833831.0,0.0,,millions,NZD
H1 FY2022,3.665,-0.857,2.808,76.6,0.626,17.1,0.656,0.059,1.6,0.01,1.419,0.001,1.418,-1.962,44.556,46.518,8.17,1.235,627833831.0,0.0,,millions,NZD
FY2022,7.372,-1.628,5.744,77.9,0.233,3.2,0.814,-0.438,-5.9,-0.01,,,,3.067,35.067,32.0,3.249,1.156,53059493.0,0.0,,millions,NZD
H1 FY2023,3.099,-0.318,2.781,89.7,0.488,15.7,0.526,0.086,2.8,0.16,-0.026,0.002,-0.028,2.46,36.918,34.458,4.539,0.782,53059493.0,0.0,,millions,NZD
FY2023,6.613,-0.977,5.636,85.2,0.281,4.2,0.75,-3.316,-50.1,-5.97,-0.484,0.056,-0.54,1.413,33.875,32.462,3.141,0.445,60726349.0,0.029,,millions,NZD
H1 FY2024,2.04,-0.013,2.027,99.4,-0.052,-2.5,-0.02,-5.591,-274.1,-9.46,0.33,0.009,0.321,-3.593,25.404,28.997,3.358,0.381,56699955.0,0.03,,millions,NZD
FY2024,4.667,-0.123,4.544,97.4,0.179,3.8,0.203,-6.359,-136.3,-10.87,1.073,0.005,1.068,-4.001,29.346,33.347,3.035,1.174,60002448.0,0.0,,millions,NZD
H1 FY2025,2.579,-0.022,2.557,99.1,0.724,28.1,0.735,0.534,20.7,0.87,-1.183,0.009,-1.192,-3.011,29.98,32.991,2.991,0.211,64238671.0,0.0,,millions,NZD
FY2025,6.728,-0.387,6.341,94.2,1.101,16.4,1.218,0.813,12.1,1.3,-0.274,0.366,-0.64,-2.891,36.405,39.296,4.336,2.686,64238670.0,0.0,,millions,NZD
H1 FY2026,5.596,-0.836,4.76,85.1,0.318,5.7,0.546,-0.151,-2.7,-0.24,0.135,0.512,-0.377,-2.718,34.57,37.288,2.567,0.833,66377342.0,0.0,,millions,NZD
FY2026,12.785,-1.69,11.095,86.8,0.927,7.3,1.393,0.407,3.2,0.62,0.975,0.743,0.232,-1.897,34.94,36.837,2.86,1.123,66377342.0,0.0,,millions,NZD
