Date,Close
2016-10-01,38.44
2016-11-01,32.46
2016-12-01,31.4
2017-01-01,34.53
2017-02-01,34.69
2017-03-01,37.69
2017-04-01,38.62
2017-05-01,41.04
2017-06-01,40.67
2017-07-01,43.23
2017-08-01,43
2017-09-01,41.62
2017-10-01,40.86
2017-11-01,38.99
2017-12-01,39.85
2018-01-01,40.16
2018-02-01,38.02
2018-03-01,41.66
2018-04-01,39.2
2018-05-01,37.97
2018-06-01,40.64
2018-07-01,41.24
2018-08-01,42.64
2018-09-01,45.47
2018-10-01,45.49
2018-11-01,48.54
2018-12-01,45.85
2019-01-01,47.58
2019-02-01,47.14
2019-03-01,51.74
2019-04-01,53.59
2019-05-01,55.4
2019-06-01,56.5
2019-07-01,55.28
2019-08-01,56.34
2019-09-01,55.45
2019-10-01,53.51
2019-11-01,50.46
2019-12-01,50.88
2020-01-01,52.61
2020-02-01,50.96
2020-03-01,37.53
2020-04-01,39.64
2020-05-01,37.7
2020-06-01,37.76
2020-07-01,41.17
2020-08-01,41.16
2020-09-01,38.81
2020-10-01,35.71
2020-11-01,44.68
2020-12-01,49.83
2021-01-01,46.47
2021-02-01,50.95
2021-03-01,52.16
2021-04-01,56.82
2021-05-01,60.52
2021-06-01,59.32
2021-07-01,62.06
2021-08-01,57.74
2021-09-01,55.29
2021-10-01,52.65
2021-11-01,49.37
2021-12-01,55.93
2022-01-01,57.15
2022-02-01,51.21
2022-03-01,48.61
2022-04-01,49.95
2022-05-01,53.13
2022-06-01,51.61
2022-07-01,54.12
2022-08-01,49.17
2022-09-01,42.62
2022-10-01,47.05
2022-11-01,53.09
2022-12-01,55.32
2023-01-01,56.22
2023-02-01,55
2023-03-01,59.19
2023-04-01,64.47
2023-05-01,62.39
2023-06-01,64.43
2023-07-01,63.39
2023-08-01,64.11
2023-09-01,62.48
2023-10-01,58.51
2023-11-01,60.64
2023-12-01,66.74
2024-01-01,68.9
2024-02-01,68.63
2024-03-01,69.95
2024-04-01,72.02
2024-05-01,73.71
2024-06-01,72.87
2024-07-01,73.77
2024-08-01,80.49
2024-09-01,78.75
2024-10-01,76
2024-11-01,77.58
2024-12-01,76.81
2025-01-01,78.55
2025-02-01,86.26
2025-03-01,87.03
2025-04-01,90.74
2025-05-01,91.79
2025-06-01,92.72
2025-07-01,96.92
2025-08-01,88.86
2025-09-01,90.41
2025-10-01,88.83
2025-11-01,91.69
2025-12-01,90.7
2026-01-01,91.7
2026-02-01,110.43
2026-03-01,90.67
2026-04-01,94.57
2026-05-01,90.69
2026-06-01,100.07
2026-07-01,109.46
2026-08-01,108.02
2026-09-01,100.31
2026-09-25,101.73
