Date,Close
2022-02-01,45.98
2022-03-01,56.25
2022-04-01,59.21
2022-05-01,62.08
2022-06-01,57.26
2022-07-01,66.1
2022-08-01,81.59
2022-09-01,83.19
2022-10-01,94.54
2022-11-01,96.12
2022-12-01,86.21
2023-01-01,85.36
2023-02-01,74.89
2023-03-01,78.5
2023-04-01,77.4
2023-05-01,84.02
2023-06-01,91.55
2023-07-01,96.65
2023-08-01,104.16
2023-09-01,109.08
2023-10-01,112.92
2023-11-01,121.04
2023-12-01,116.89
2024-01-01,122
2024-02-01,168.45
2024-03-01,184.85
2024-04-01,185.94
2024-05-01,217.25
2024-06-01,200.27
2024-07-01,189.8
2024-08-01,196.7
2024-09-01,260.02
2024-10-01,262.96
2024-11-01,256.56
2024-12-01,223.71
2025-01-01,299.98
2025-02-01,250.545
2025-03-01,201.63
2025-04-01,223.44
2025-05-01,306.15
2025-06-01,322.76
2025-07-01,347.84
2025-08-01,307.98
2025-09-01,329.07
2025-10-01,377
2025-11-01,364.36
2025-12-01,353.27
2026-01-01,280.68
2026-02-01,329.88
2026-03-01,279.25
2026-04-01,313
2026-05-01,287.75
2026-06-01,248.37
2026-07-01,262.75
2026-08-01,274.77
2026-09-01,261.62
2026-09-25,263.27
