Date,Close
2016-09-30,10.76
2016-10-31,10.65
2016-11-30,11.24
2016-12-31,11.02
2017-01-31,11.44
2017-02-28,12.55
2017-03-31,13.22
2017-04-30,12.79
2017-05-31,13.34
2017-06-30,12.85
2017-07-31,12.54
2017-08-31,12.45
2017-09-30,13.3
2017-10-31,13.99
2017-11-30,14.03
2017-12-31,13.64
2018-01-31,12.6
2018-02-28,11.54
2018-03-31,10.8
2018-04-30,12.89
2018-05-31,11.83
2018-06-30,12.44
2018-07-31,10.83
2018-08-31,11.2
2018-09-30,10.26
2018-10-31,9.52
2018-11-30,9.49
2018-12-31,7.24
2019-01-31,8.05
2019-02-28,8.28
2019-03-31,8.22
2019-04-30,8.07
2019-05-31,6.64
2019-06-30,7.09
2019-07-31,6.71
2019-08-31,7.37
2019-09-30,7.96
2019-10-31,8.14
2019-11-30,8.09
2019-12-31,8.95
2020-01-31,9.09
2020-02-29,4
2020-03-31,4.96
2020-04-30,5.01
2020-05-31,4.41
2020-06-30,4.34
2020-07-31,4.08
2020-08-31,3.83
2020-09-30,4.81
2020-10-31,5.75
2020-11-30,6.44
2020-12-31,6.66
2021-01-31,6.45
2021-02-28,6.4
2021-03-31,5.11
2021-04-30,5.22
2021-05-31,5.41
2021-06-30,5.69
2021-07-31,6.45
2021-08-31,6.28
2021-09-30,6.94
2021-10-31,6.46
2021-11-30,6.53
2021-12-31,5.72
2022-01-31,6.75
2022-02-28,6.75
2022-03-31,7.29
2022-04-30,7.23
2022-05-31,6.84
2022-06-30,6.98
2022-07-31,6.4
2022-08-31,5.85
2022-09-30,7.02
2022-10-31,7.29
2022-11-30,7.62
2022-12-31,7.22
2023-01-31,7.49
2023-02-28,6.24
2023-03-31,6.03
2023-04-30,6.2
2023-05-31,6.48
2023-06-30,7.17
2023-07-31,6.81
2023-08-31,6.42
2023-09-30,5.85
2023-10-31,5.94
2023-11-30,6.49
2023-12-31,6.55
2024-01-31,6.73
2024-02-29,7.11
2024-03-31,6.75
2024-04-30,6.48
2024-05-31,7.01
2024-06-30,7.04
2024-07-31,6.88
2024-08-31,6.5
2024-09-30,6.05
2024-10-31,6.22
2024-11-30,6.01
2024-12-31,6.32
2025-01-31,5.82
2025-02-28,6.03
2025-03-31,7.09
2025-04-30,7.61
2025-05-31,8.08
2025-06-30,8.23
2025-07-31,8.34
2025-08-31,8.66
2025-09-30,9.31
2025-10-31,8.88
2025-11-30,9.41
2025-12-31,9.21
2026-01-31,8.93
2026-02-28,8.28
2026-03-31,8.54
2026-04-30,8.86
2026-05-31,10
2026-06-30,9.81
2026-07-31,9.45
2026-08-31,10.2
2026-09-22,10.36
