Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2018,147.029,,,,3.216,2.1873,49.432,-2.822,-1.9193,-0.9,35.027,109.728,-74.701,751.539,1349.732,598.193,272.0,6.802,,0.151,3.0,millions,NZD
FY2018,359.316,,,,55.572,15.5,152.647,29.616,8.2,9.5,104.636,162.316,-57.68,769.636,1390.326,620.69,258.601,0.779,312.243,0.303,7.5,millions,NZD
H1-2019,169.413,,,,1.913,1.1292,54.05,-3.503,-2.0677,-1.12,47.932,29.782,18.15,743.194,1376.636,633.442,259.971,4.448,,0.121,2.0,millions,NZD
FY2019,344.861,,,,18.304,5.3,118.235,4.165,1.2,1.3,117.125,77.695,39.43,756.744,1381.055,624.311,246.616,5.255,312.177,0.241,2.0,millions,NZD
H1-2020,116.154,,,,-250.821,-215.9383,15.382,-186.348,-160.4318,-59.6,13.667,21.954,-8.287,555.285,1124.042,568.757,279.552,29.809,,,0.0,millions,NZD
FY2020,233.937,,,,-260.492,-111.4,50.423,-198.279,-84.8,-63.5,31.624,33.939,-2.315,563.93,1167.898,603.968,274.611,43.289,312.293,0.448,0.0,millions,NZD
H1-2021,115.271,,,,-0.277,-0.2403,41.504,-4.914,-4.263,-1.57,22.374,20.811,1.563,577.503,1114.087,536.584,264.638,34.5,,0.115,0.0,millions,NZD
FY2021,231.742,,,,-754.069,-325.4,72.846,-552.629,-238.5,-173.9,34.695,33.447,1.248,495.488,1157.577,662.089,199.698,16.069,317.756,1.076,0.0,millions,NZD
H1-2022,98.832,,,,11.387,11.5216,46.131,17.184,17.3871,4.6,-14.828,18.858,-33.686,522.404,1129.758,607.354,223.33,8.046,,1.335,0.0,millions,NZD
FY2022,158.187,,,,32.842,20.8,57.452,11.96,7.6,3.2,-14.13,59.143,-73.273,518.492,946.928,428.436,259.583,2.386,371.629,0.0,7.0,millions,NZD
H1-2023,63.182,,,,27.304,43.2148,43.537,11.421,18.0764,3.0,21.264,32.743,-11.479,504.14,957.064,452.924,297.276,1.897,,0.388,4.2,millions,NZD
FY2023,137.569,,,,51.751,37.6,87.16,24.064,17.5,6.4,36.715,63.06,-26.345,499.211,973.455,474.244,320.622,4.87,374.695,0.309,10.5,millions,NZD
H1-2024,69.991,,,,29.394,41.9968,48.102,16.611,23.7331,4.4,36.794,23.27,13.524,486.154,968.406,482.252,328.261,1.351,,,4.4,millions,NZD
FY2024,140.005,,,,56.423,40.3,95.085,13.887,9.9,3.7,64.888,52.616,12.272,818.257,1348.139,529.882,299.742,1.283,380.198,0.129,11.0,millions,NZD
H1-2025,70.24,,,,26.456,37.6651,48.457,11.628,16.5547,2.8,39.7,20.467,19.233,801.699,1334.823,533.124,301.198,2.538,,,6.25,millions,NZD
FY2025,140.511,,,,48.295,34.4,93.366,11.793,8.4,2.9,74.353,50.118,24.235,779.612,1351.559,571.947,334.723,2.902,410.377,0.502,13.0,millions,NZD
