Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,943.722,,,,348.592,,,,,,,,millions,USD
FY2007,7316.223,,,,509.684,6.966490769895888,537.0500000000001,324.261,4.432081963603352,1.9,308.43,43.713,264.717,1042.249,,,,338.885,174.04,38.002,0.76,,,,,millions,USD
H1-2008,4306.918,,,,280.583,6.514704946785614,295.95300000000003,176.736,4.103537610885557,1.04,63.185,11.053,52.132000000000005,,,,,,173.747,12.596,,,,,,millions,USD
Q2 2008,2321.706,,,,144.506,6.224130014739162,,90.418,3.894463812386237,0.53,,,,,,,,318.713,173.483,,,,,,,millions,USD
Q3 2008,2316.593,,,,148.619,6.415412633984477,,93.56,4.038689575596576,0.55,112.14599999999999,5.055,107.09099999999998,,,,,311.917,172.446,,,,,,,millions,USD
FY2008,8578.614,,,,571.586,6.66291780933377,602.75,359.177,4.186888464733348,2.12,447.579,23.035,424.544,1107.221,1815.721,708.5,,494.743,172.733,20.804,0.9,,,,,millions,USD
Q1 2009,1688.0,,,,137.368,8.137914691943129,144.849,85.383,5.058234597156398,0.5,58.683,11.613,47.07,,,,,449.7,170.825,5.627,,,,,,millions,USD
H1-2009,3614.02,,,,287.252,7.948268133546577,301.906,177.636,4.915191393517468,1.05,86.337,18.225,68.112,,,,,,170.089,11.667,,,,,,millions,USD
Q2 2009,1926.02,,,,149.844,7.7799815162874735,,92.253,4.789825650823979,0.55,27.654000000000003,6.612000000000002,21.042,1101.309,1803.671,702.362,,356.871,169.584,6.04,,,,,,millions,USD
Q3 2009,1954.803,,,,154.801,7.919007695404599,,95.46,4.883356532602006,0.57,156.034,7.895,148.13899999999998,1118.243,1842.033,723.79,,376.274,168.648,5.52,,,,,,millions,USD
