Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2015,,,,,,,,,,,,,,12020.0,,,,1968.0,,,,,,,,millions,USD
FY2016,39838.0,2468.0,,,3088.0,7.751393142226015,3698.0,1843.0,4.626236256840203,7.31,4026.0,461.0,3565.0,13703.0,,,,3185.0,259.647,128.0,,,,,,millions,USD
Q1 2017,10428.0,,,,,,,,,2.34,,,,,,,,,,,0.04,,,,,millions,USD
Q2 2017,10374.0,,,,,,,,,3.2,,,,,,,,,,,0.0,,,,,millions,USD
Q3 2017,10372.0,,,,,,,,,2.25,,,,,,,,,,,0.0,,,,,millions,USD
Q4 2017,10632.0,,,,,,,,,1.09,,,,,,,,,,,0.0,,,,,millions,USD
FY2017,41806.0,2456.0,,,3942.0,9.429268526048892,4508.0,2232.0,5.33894656269435,8.92,4086.0,471.0,3615.0,13711.0,61759.0,47999.0,5439.0,2972.0,0.0,178.0,0.04,,,,,millions,USD
Q1 2018,11413.0,561.0,,,1308.0,11.460615088057478,1448.0,917.0,8.034697275037237,3.78,2025.0,103.0,1922.0,14195.0,,,,2771.0,245.788,,0.04,,,,,millions,USD
H1-2018,22893.0,1174.0,,,2469.0,10.78495610011794,2745.0,1725.0,7.535054383435985,7.1,3020.0,220.0,2800.0,,,,,,245.564,,,,,,,millions,USD
Q2 2018,11480.0,613.0,,,1161.0,10.113240418118467,,808.0,7.038327526132404,3.32,995.0,117.0,878.0,14743.0,,,,3634.0,245.339,,0.0,,,,,millions,USD
Q3 2018,11457.0,602.0,,,1132.0,9.88042244915772,,774.0,6.755695208169678,3.18,624.0,126.0,498.0,15555.0,,,,24032.0,246.112,,0.0,,,,,millions,USD
Q4 2018,14300.0,,,,,,,,,0.56,,,,,,,,,,,0.0,,,,,millions,USD
FY2018,48650.0,4793.0,,,4160.0,8.550873586844808,4855.0,2646.0,5.438848920863309,10.69,3770.0,528.0,3242.0,41035.0,153226.0,112154.0,42478.0,3855.0,380.924,180.0,0.04,,,,,millions,USD
Q1 2019,37946.0,24050.0,,,2230.0,5.876772255310177,3127.0,1372.0,3.6156643651504767,3.61,3192.0,194.0,2998.0,42413.0,154348.0,111897.0,40486.0,4976.0,384.024,,0.04,,,,,millions,USD
H1-2019,76765.0,49013.0,,,4393.0,5.722660066436528,6204.0,2782.0,3.624047417442845,7.33,4231.0,497.0,3734.0,,,,,,382.496,,0.04,,,,,millions,USD
Q2 2019,38819.0,24963.0,,,2163.0,5.5720137046291764,,1410.0,3.6322419433782427,3.73,1039.0,303.0,736.0,43818.0,154401.0,110552.0,39195.0,3610.0,380.969,,0.0,,,,,millions,USD
Q3 2019,38556.0,24552.0,,,2123.0,5.506276584707957,,1354.0,3.5117750804025314,3.6,2461.0,243.0,2218.0,44699.0,154847.0,110114.0,38753.0,4577.0,378.321,,0.0,,,,,millions,USD
Q4 2019,38245.0,,,,,,,,,2.63,,,,,,,,,,,0.0,,,,,millions,USD
FY2019,153566.0,97668.0,,,8077.0,5.25962778219137,11728.0,5120.0,3.3340713439172736,13.58,9485.0,1050.0,8435.0,45344.0,155774.0,110395.0,37407.0,4619.0,372.531,299.0,0.04,,,,,millions,USD
Q1 2020,38469.0,24190.0,,,2061.0,5.357560633237152,2754.0,1189.0,3.0908003847253633,3.19,1887.0,,,45086.0,154711.0,109590.0,36487.0,4452.0,374.639,,0.04,,,,,millions,USD
H1-2020,77734.0,49801.0,,,4700.0,6.046260323667893,6087.0,2949.0,3.7937067435099183,7.96,5161.0,,,,,,,,372.668,,0.04,,,,,millions,USD
Q2 2020,39265.0,25611.0,,,2639.0,6.720998344581688,,1760.0,4.482363427989303,4.77,3274.0,,,47371.0,159628.0,112223.0,36524.0,7185.0,370.697,,,,,,,millions,USD
Q3 2020,40955.0,26624.0,,,2108.0,5.147112684653889,,1398.0,3.413502624832133,3.81,895.0,,,48039.0,160044.0,111946.0,35986.0,5344.0,367.19,,,,,,,millions,USD
