Date,Close
2016-10-01,70.78
2016-11-01,76.74
2016-12-01,75.75
2017-01-01,70.58
2017-02-01,72.96
2017-03-01,72.27
2017-04-01,72.09
2017-05-01,70.08
2017-06-01,72.45
2017-07-01,76.18
2017-08-01,76.84
2017-09-01,76.57
2017-10-01,70.17
2017-11-01,74.73
2017-12-01,74.97
2018-01-01,76.9
2018-02-01,74.59
2018-03-01,74.26
2018-04-01,70.34
2018-05-01,69.37
2018-06-01,66.86
2018-07-01,75.63
2018-08-01,76.67
2018-09-01,76.81
2018-10-01,78.64
2018-11-01,81.73
2018-12-01,77.42
2019-01-01,81.12
2019-02-01,86.82
2019-03-01,85.9
2019-04-01,96.18
2019-05-01,98.24
2019-06-01,103.67
2019-07-01,107.33
2019-08-01,112.49
2019-09-01,116.67
2019-10-01,113.21
2019-11-01,107.05
2019-12-01,105.15
2020-01-01,104.95
2020-02-01,93.24
2020-03-01,75.45
2020-04-01,65.8
2020-05-01,58.95
2020-06-01,64.03
2020-07-01,77.93
2020-08-01,79.41
2020-09-01,77.97
2020-10-01,70.74
2020-11-01,76.35
2020-12-01,87.37
2021-01-01,84.09
2021-02-01,97.87
2021-03-01,103.09
2021-04-01,112.68
2021-05-01,121.71
2021-06-01,116.62
2021-07-01,117.88
2021-08-01,123.4
2021-09-01,114.22
2021-10-01,121.44
2021-11-01,113.9
2021-12-01,113.93
2022-01-01,117.83
2022-02-01,122.79
2022-03-01,135.96
2022-04-01,122.66
2022-05-01,127.86
2022-06-01,118.98
2022-07-01,97.34
2022-08-01,96.96
2022-09-01,89.57
2022-10-01,103.32
2022-11-01,110.96
2022-12-01,102.39
2023-01-01,113.15
2023-02-01,120.7
2023-03-01,112.08
2023-04-01,106.44
2023-05-01,96.5
2023-06-01,97.32
2023-07-01,107.58
2023-08-01,105.79
2023-09-01,102.29
2023-10-01,99.67
2023-11-01,102.79
2023-12-01,103.46
2024-01-01,110.8
2024-02-01,114
2024-03-01,124.17
2024-04-01,115.69
2024-05-01,117.58
2024-06-01,118.1
2024-07-01,130.62
2024-08-01,137.03
2024-09-01,136.12
2024-10-01,140.83
2024-11-01,159.83
2024-12-01,143.7
2025-01-01,137.05
2025-02-01,147.81
2025-03-01,147.72
2025-04-01,139.21
2025-05-01,150.82
2025-06-01,148.92
2025-07-01,147.51
2025-08-01,153.6
2025-09-01,158.1
2025-10-01,154.59
2025-11-01,167.59
2025-12-01,163.32
2026-01-01,160.89
2026-02-01,163.98
2026-03-01,157.35
2026-04-01,163.6
2026-05-01,157.42
2026-06-01,185.14
2026-07-01,177.68
2026-08-01,169.9
2026-09-01,162.33
2026-09-25,162.54
