Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,41345.0,,,,1239.0,,,,,,,,millions,USD
FY2007,31060.0,,,,5578.0,17.95878943979395,,2587.0,8.329040566645203,0.84,8189.0,6158.0,2031.0,41489.0,,,,963.0,,212.0,0.0,,,,,millions,USD
H1-2008,16942.0,,,,3305.0,19.507732263014994,,1364.0,8.050997520953842,0.46,4928.0,2731.0,2197.0,,,,,,,,0.13,,,,,millions,USD
Q2 2008,8553.0,,,,1750.0,20.46065707938735,,632.0,7.3892201566701745,0.21,,,,,,,,1767.0,,,0.06,,,,,millions,USD
Q3 2008,8549.0,,,,1670.0,19.534448473505673,,771.0,9.018598666510703,0.26,2445.0,1306.0,1139.0,40333.0,,,,2714.0,,,0.06,,,,,millions,USD
FY2008,34423.0,,,,6732.0,19.5566917467972,13132.0,2547.0,7.399122679603753,0.87,10231.0,5750.0,4481.0,40576.0,113017.0,,32456.0,1195.0,2952.0,258.0,0.25,,,,,millions,USD
Q1 2009,8866.0,,,,1811.0,20.426347845702683,,778.0,8.775095871870066,0.27,2512.0,1160.0,1352.0,41189.0,,,,1879.0,,,0.0675,,,,,millions,USD
H1-2009,17844.0,,,,3686.0,20.656803407307777,6979.0,1739.0,9.745572741537773,0.6,5113.0,2281.0,2832.0,,,,,,2893.0,121.0,0.135,,,,,millions,USD
Q2 2009,8978.0,,,,1875.0,20.884384049899754,3535.0,967.0,10.770773000668301,0.33,2601.0,1121.0,1480.0,41814.0,115237.0,,33037.0,3989.0,2891.0,57.0,0.0675,,,,,millions,USD
Q3 2009,8845.0,,,,1711.0,19.34426229508197,3326.0,944.0,10.672696438665913,0.33,2612.0,1227.0,1385.0,42381.0,112463.0,,29447.0,862.0,2877.0,60.0,0.0675,,,,,millions,USD
Q4 2009,9067.0,,,,1817.0,20.039704422631523,,955.0,10.532701003639572,0.33,,,,,,,,,,,0.0945,,,,,millions,USD
FY2009,35756.0,,,,7214.0,20.17563485848529,13714.0,3638.0,10.17451616511914,1.27,10281.0,5117.0,5164.0,42811.0,112733.0,,29096.0,671.0,2885.0,257.0,0.297,,,,,millions,USD
Q1 2010,9202.0,,,,1935.0,21.02803738317757,3565.0,879.0,9.552271245381439,0.31,2903.0,925.0,1978.0,43179.0,115420.0,,30919.0,3483.0,2837.0,82.0,0.0945,,,,,millions,USD
H1-2010,18727.0,,,,4013.0,21.428952848827894,7302.0,1765.0,9.424894537299087,0.62,5332.0,2063.0,3269.0,,,,,,2830.0,153.0,0.189,,,,,millions,USD
Q2 2010,9525.0,,,,2078.0,21.816272965879264,3737.0,886.0,9.301837270341206,0.31,2429.0,1138.0,1291.0,43524.0,115627.0,,30992.0,4028.0,2822.0,60.0,0.0945,,,,,millions,USD
Q3 2010,9489.0,,,,1954.0,20.592264727579302,3578.0,870.0,9.168510907366425,0.31,2400.0,1366.0,1034.0,43868.0,116525.0,,31038.0,4542.0,2810.0,60.0,0.0945,,,,,millions,USD
Q4 2010,9721.0,,,,2013.0,20.707746116654665,,1018.0,10.47217364468676,0.37,,,,,,,,,,,0.0945,,,,,millions,USD
FY2010,37937.0,,,,7980.0,21.034873606241927,14596.0,3668.0,9.668661201465587,1.29,11179.0,4961.0,6218.0,44434.0,118534.0,,31415.0,5984.0,2820.0,300.0,0.378,,,,,millions,USD
Q1 2011,12128.0,,,,2224.0,18.337730870712402,4066.0,1039.0,8.566952506596307,0.34,3468.0,1106.0,2362.0,46607.0,154259.0,,40426.0,1822.0,2805.0,84.0,0.1125,,,,,millions,USD
H1-2011,26461.0,,,,5162.0,19.507955103737576,8867.0,2406.0,9.092626884849402,0.71,6956.0,2377.0,4579.0,,,,,,2799.0,174.0,0.225,,,,,millions,USD
Q2 2011,14333.0,,,,2938.0,20.498151119793484,4801.0,1367.0,9.537431103048908,0.37,3488.0,1271.0,2217.0,46905.0,154782.0,,39559.0,1997.0,2789.0,75.0,0.1125,,,,,millions,USD
Q3 2011,14339.0,,,,2641.0,18.41829974196248,4574.0,1166.0,8.131668875095892,0.33,3250.0,1408.0,1842.0,47012.0,156827.0,,40970.0,1806.0,2761.0,69.0,0.1125,,,,,millions,USD
Q4 2011,15042.0,,,,2918.0,19.39901608828613,,1287.0,8.556043079377742,0.47,,,,,,,,,,,0.1125,,,,,millions,USD
FY2011,55842.0,,,,10721.0,19.198810930840583,18357.0,5157.0,9.234984420328784,1.51,14345.0,5307.0,9038.0,47655.0,157818.0,,39309.0,1620.0,2778.0,344.0,0.45,,,,,millions,USD
Q1 2012,14878.0,,,,2758.0,18.53743782766501,4688.0,1447.0,9.72576959268719,0.45,4393.0,1174.0,3219.0,47821.0,157949.0,,37785.0,2207.0,2744.0,89.0,0.1625,,,,,millions,USD
H1-2012,30089.0,,,,5837.0,19.39911595599721,9692.0,3080.0,10.236298979693576,0.95,7815.0,2461.0,5354.0,,,,,,2733.0,189.0,0.325,,,,,millions,USD
Q2 2012,15211.0,,,,3079.0,20.241930182105055,5004.0,1633.0,10.73565183091184,0.5,3422.0,1287.0,2135.0,48179.0,157688.0,,37129.0,2101.0,2717.0,82.0,0.1625,,,,,millions,USD
Q3 2012,16544.0,,,,3048.0,18.423597678916828,5008.0,2978.0,18.000483558994198,0.79,3424.0,1582.0,1842.0,49341.0,162454.0,,38590.0,8899.0,2703.0,74.0,0.1625,,,,,millions,USD
Q4 2012,15937.0,,,,3294.0,20.668883729685636,,1518.0,9.525004706029993,0.57,,,,,,,,,,,0.1625,,,,,millions,USD
FY2012,62570.0,,,,12179.0,19.4645996483938,19977.0,7865.0,12.569921687709765,2.32,14854.0,5714.0,9140.0,49796.0,164971.0,,40458.0,10951.0,2717.0,371.0,0.65,,,,,millions,USD
Q1 2013,15310.0,,,,3067.0,20.032658393207054,5034.0,1645.0,10.744611365120836,0.55,4369.0,1361.0,3008.0,48651.0,156364.0,,47226.0,1839.0,2675.0,102.0,0.195,,,,,millions,USD
H1-2013,31580.0,,,,6502.0,20.58898036732109,10459.0,3389.0,10.731475617479418,1.2,7685.0,2867.0,4818.0,,,,,,2672.0,213.0,0.39,,,,,millions,USD
Q2 2013,16270.0,,,,3435.0,21.112476951444375,5425.0,1744.0,10.719114935464043,0.66,3316.0,1506.0,1810.0,49486.0,156819.0,,46649.0,1389.0,2666.0,89.0,0.195,,,,,millions,USD
Q3 2013,16151.0,,,,3414.0,21.138010030338677,5330.0,1778.0,11.008606278249026,0.66,3994.0,1726.0,2268.0,50134.0,156595.0,,46525.0,1603.0,2658.0,82.0,0.195,,,,,millions,USD
Q4 2013,16926.0,,,,3647.0,21.54673283705542,,1913.0,11.30213872149356,0.73,,,,,,,,,,,0.195,,,,,millions,USD
FY2013,64657.0,,,,13563.0,20.97684705445659,21434.0,7135.0,11.035154739626027,2.6,14160.0,6596.0,7564.0,51058.0,158813.0,,47847.0,1718.0,2665.0,419.0,0.78,,,,,millions,USD
Q1 2014,17408.0,,,,3568.0,20.496323529411764,5538.0,1938.0,11.1328125,0.72,4486.0,1448.0,3038.0,51632.0,157773.0,,47400.0,3054.0,2645.0,119.0,0.225,,,,,millions,USD
H1-2014,34252.0,,,,7372.0,21.522830783603876,11342.0,3963.0,11.570127291836974,1.49,7547.0,3246.0,4301.0,,,,,,2636.0,266.0,0.45,,,,,millions,USD
Q2 2014,16844.0,,,,3804.0,22.58370933270007,5804.0,2025.0,12.022085015435763,0.77,3061.0,1798.0,1263.0,52332.0,157459.0,,46549.0,1529.0,2628.0,122.0,0.225,,,,,millions,USD
Q3 2014,16791.0,,,,3745.0,22.303615031862307,5704.0,2633.0,15.681019593830028,1.0,4755.0,1950.0,2805.0,53653.0,159237.0,,48350.0,4547.0,2616.0,98.0,0.225,,,,,millions,USD
Q4 2014,17732.0,,,,3787.0,21.356868937514097,,1925.0,10.8560794044665,0.75,,,,,,,,,,,0.225,,,,,millions,USD
FY2014,68775.0,,,,14904.0,21.670665212649943,22923.0,8592.0,12.492911668484187,3.24,16945.0,7420.0,9525.0,53068.0,159186.0,,48081.0,3910.0,2620.0,513.0,0.9,,,,,millions,USD
Q1 2015,17853.0,,,,3890.0,21.7890550607741,5956.0,2141.0,11.992382232677981,0.82,5245.0,1726.0,3519.0,52511.0,158757.0,,47133.0,3937.0,2556.0,135.0,0.25,,,,,millions,USD
H1-2015,36596.0,,,,7995.0,21.84664990709367,12222.0,4316.0,11.793638649032681,1.67,8834.0,3697.0,5137.0,,,,,,2544.0,294.0,0.5,,,,,millions,USD
