Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,1519.1,,,,969.5,,,,,,,,millions,USD
FY2007,1756.1,,,,1051.9,59.899777916975125,1157.6000000000001,658.5,37.49786458629919,15.05,814.4,163.7,650.7,12305.6,,,,845.3,44.107,22.9,,,,,,millions,USD
H1-2008,1188.3,,,,743.6,62.57679037280148,812.4,484.7,40.78936295548262,8.96,504.7,77.3,427.4,,,,,,54.39,12.7,,,,,,millions,USD
Q2 2008,563.2,,,,343.7,61.02627840909091,378.2,201.2,35.72443181818181,3.69,,,,13328.4,,,,1067.6,54.752,,,,,,,millions,USD
Q3 2008,680.9,,,,420.7,61.78587164047584,454.8,168.7,24.776031722719928,2.82,358.00000000000006,42.10000000000001,315.90000000000003,19028.8,,,,582.4,60.086,,,,,,,millions,USD
FY2008,2561.0,,,,1582.2,61.7805544709098,1719.5,715.5,27.938305349472863,12.18,1197.2,200.1,997.1,18688.6,48158.7,29470.1,,297.9,58.967,37.6,,,,,,millions,USD
Q1 2009,647.1,,,,386.4,59.712563745943434,417.4,199.1,30.768042033688765,3.0,254.7,35.3,219.39999999999998,18799.1,,,,339.2,66.439,8.6,,,,,,millions,USD
H1-2009,1294.9,,,,785.2,60.63788709552861,846.3000000000001,420.9,32.50444049733569,6.35,438.4,79.0,359.4,,,,,,66.47,18.2,,,,,,millions,USD
Q2 2009,647.8,,,,398.8,61.562210558814456,428.90000000000003,221.8,34.23896264279099,3.34,183.7,43.7,140.0,18981.3,38531.2,19549.9,,448.7,66.526,,,,,,,millions,USD
Q3 2009,650.4,,,,401.4,61.715867158671585,433.7,202.3,31.1039360393604,3.05,299.4,33.900000000000006,265.5,19130.3,36519.6,17389.3,,204.1,66.573,,,,,,,millions,USD
Q4 2009,667.5,,,,402.5,60.2996254681648,,202.6,30.352059925093634,3.05,,,,,,,,,,,,,,,,millions,USD
FY2009,2612.8,,,,1589.1,60.81981016533986,1715.3999999999999,825.8,31.605939987752595,12.44,1083.1,157.9,925.1999999999999,19301.0,35651.0,16350.0,,260.6,66.548,33.4,,,,,,millions,USD
Q1 2010,693.2,,,,414.7,59.824004616272354,446.9,240.2,34.65089440276976,3.63,355.7,26.3,329.4,19189.7,35202.4,15945.4,,444.2,66.428,9.9,,,,,,millions,USD
H1-2010,1507.1,,,,929.8,61.694645345365274,994.8,511.4,33.93271846592794,7.75,649.1,53.8,595.3000000000001,,,,,,66.104,20.1,,,,,,millions,USD
Q2 2010,813.9,,,,515.1,63.28787320309621,547.9,271.2,33.32104681164762,4.13,293.40000000000003,27.499999999999996,265.90000000000003,19383.5,34258.9,14807.5,,363.6,65.784,,,,,,,millions,USD
Q3 2010,733.4,,,,442.9,60.38996454867739,476.0,244.3,33.31060812653395,3.67,313.9,43.900000000000006,270.0,19900.8,33686.5,13717.9,,568.2,66.744,,,,,,,millions,USD
Q4 2010,763.2,,,,458.4,60.062893081761004,,196.2,25.707547169811317,2.94,,,,,,,,,,,,,,,,millions,USD
FY2010,3003.7,,,,1831.1,60.961480840296964,1961.0,952.1,31.697572993308253,2.87,1359.6,160.0,1199.6,20060.1,35046.1,14917.9,,855.2,332.475,40.9,0.92,,,,,millions,USD
Q1 2011,831.6,,,,524.1,63.02308802308802,555.1,457.1,54.966329966329965,1.37,362.1,41.4,320.70000000000005,20787.5,34709.0,13852.9,,664.7,67.062,12.9,,,,,,millions,USD
H1-2011,1669.9,,,,1058.6,63.39301754596083,1121.3,752.7,45.07455536259656,2.25,576.1,88.4,487.70000000000005,,,,,,335.09,25.6,,,,,,millions,USD
Q2 2011,838.3,,,,534.5,63.75999045687701,566.2,295.6,35.261839436955746,4.4,214.0,47.00000000000001,167.0,20902.5,35589.2,14616.1,,693.6,333.337,,,,,,,millions,USD
Q3 2011,874.2,,,,572.1,65.442690459849,604.5,316.1,36.15877373598719,4.76,423.69999999999993,41.0,382.69999999999993,20864.3,38887.6,17953.8,,829.3,333.337,,,,,,,millions,USD
Q4 2011,736.5,,,,390.4,53.00746775288526,,745.9,101.27630685675493,2.26,,,,,,,,,,,,,,,,millions,USD
FY2011,3280.6,,,,2021.1,61.60763275010669,2149.6,1814.4,55.30695604462599,5.45,1346.3,172.2,1174.1,21552.0,40758.7,19136.4,,1042.3,333.811,51.3,1.12,,,,,millions,USD
Q1 2012,774.6,,,,451.2,58.249419054996125,486.09999999999997,266.6,34.41776400722954,0.81,395.6,26.7,368.90000000000003,21549.1,39289.1,17670.0,,1061.7,331.851,14.3,,,,,,millions,USD
H1-2012,1570.5,,,,920.4,58.60553963705826,988.9,519.7,33.091372174466734,1.55,657.8,63.6,594.1999999999999,,,,,,332.009,35.0,,,,,,millions,USD
Q2 2012,795.9,,,,469.2,58.952129664530716,502.8,253.4,31.838170624450306,0.74,262.19999999999993,36.900000000000006,225.29999999999993,21620.0,37945.9,16247.5,,1293.2,332.162,,,,,,,millions,USD
Q3 2012,683.2,,,,396.0,57.96252927400468,430.5,218.9,32.0403981264637,0.66,239.4000000000001,40.300000000000004,199.10000000000008,21708.8,39858.0,18069.8,,2016.9,332.458,,,,,,,millions,USD
Q4 2012,660.9,,,,375.6,56.83159328188834,,166.8,25.23831139355425,0.5,,,,,,,,,,,,,,,,millions,USD
FY2012,2914.6,,,,1692.0,58.052562958896594,1828.9,906.7,31.108900020586017,2.71,1219.7,141.8,1077.9,21424.9,38863.2,17357.5,,1604.7,332.319,61.4,3.7,,,,,millions,USD
Q1 2013,718.6,,,,405.5,56.42916782632897,438.1,237.4,33.036459782911216,0.71,396.0,20.2,375.8,21555.8,42421.8,20783.8,,1843.4,333.372,12.4,,,,,,millions,USD
H1-2013,1534.7,,,,913.3,59.51000195477943,979.0999999999999,548.7,35.75291587932495,1.65,768.8,55.8,713.0,,,,,,333.739,26.0,,,,,,millions,USD
Q2 2013,816.1,,,,507.8,62.22276681779194,541.0,311.3,38.144835191765715,0.94,372.79999999999995,35.599999999999994,337.19999999999993,21854.6,46882.7,25028.1,,1968.0,334.073,,,,,,,millions,USD
Q3 2013,714.6,,,,400.5,56.04534005037783,435.5,236.7,33.123425692695214,0.71,129.80000000000007,38.900000000000006,90.90000000000006,21977.9,48979.9,27002.0,,2065.0,334.674,,,,,,,millions,USD
Q4 2013,687.0,,,,323.2,47.04512372634643,,193.1,28.107714701601168,0.58,,,,,,,,,,,,,,,,millions,USD
FY2013,2936.3,,,,1637.0,55.75043421993665,1772.1,978.1,33.310629022920004,2.94,1280.5,125.6,1154.9,21160.5,54277.8,33117.3,,2469.7,334.398,54.4,4.4,,,,,millions,USD
Q1 2014,777.4,,,,454.5,58.46411113969643,488.6,266.8,34.31952662721894,0.8,383.0,36.5,346.5,21310.1,53167.1,31857.0,,1053.7,335.644,13.2,,,,,,millions,USD
H1-2014,1509.0,,,,866.5,57.42213386348575,934.9,530.6,35.16235917826375,1.59,554.7,77.4,477.30000000000007,,,,,,335.705,26.4,,,,,,millions,USD
Q2 2014,731.6,,,,412.0,56.31492618917441,446.3,263.8,36.05795516675779,0.79,171.70000000000005,40.900000000000006,130.80000000000004,21465.4,51611.3,30145.9,,1037.3,335.8,,,,,,,millions,USD
Q3 2014,762.4,,,,430.4,56.45330535152151,463.09999999999997,290.0,38.03777544596013,0.87,234.19999999999993,26.799999999999997,207.39999999999992,21537.1,63970.3,42433.2,,1087.9,336.172,,,,,,,millions,USD
Q4 2014,841.1,,,,471.5,56.05754369278326,,306.5,36.44037569849007,0.91,,,,,,,,,,,,,,,,millions,USD
FY2014,3112.5,,,,1768.4,56.81606425702812,1901.0,1127.1,36.21204819277108,3.37,1291.4,140.7,1150.7,20923.5,72241.5,51318.0,,1366.1,336.063,55.0,4.4,,,,,millions,USD
Q1 2015,842.7,,,,507.3,60.19935920256319,539.1,330.4,39.20730983742731,0.98,418.9,31.4,387.5,21095.5,77128.4,56032.9,,1694.8,337.416,14.7,,,,,,millions,USD
H1-2015,1662.7,,,,1002.4,60.28748421242557,1067.5,595.4,35.80922595777951,1.77,677.7,60.7,617.0,,,,,,337.574,33.7,,,,,,millions,USD
Q2 2015,820.0,,,,495.1,60.3780487804878,528.4,265.0,32.31707317073171,0.79,258.80000000000007,29.300000000000004,229.50000000000006,21258.8,73663.1,52404.3,,1151.0,337.796,,,,,,,millions,USD
Q3 2015,850.3,,,,516.4,60.73150652710808,548.8,359.9,42.32623779842409,1.07,463.5,29.599999999999994,433.9,21376.8,80949.6,59572.8,,1434.3,338.139,,,,,,,millions,USD
Q4 2015,813.8,,,,469.9,57.74145981813713,,291.7,35.84418776112067,0.87,,,,,,,,,,,,,,,,millions,USD
FY2015,3326.8,,,,1988.7,59.778165203799446,2117.9,1247.0,37.48346759648912,3.71,1532.5,114.2,1418.3,20551.8,67359.4,46807.6,,1692.6,337.894,61.0,4.9,,,,,millions,USD
Q1 2016,934.2,,,,573.9,61.432241490044944,607.8,367.8,39.37058445728966,1.09,530.0,20.2,509.8,20841.4,68768.2,47926.8,,1146.0,338.549,16.0,,,,,,millions,USD
H1-2016,1840.6,,,,1137.2,61.78420080408563,1201.5,687.9,37.37368249483864,2.04,753.7,39.6,714.1,,,,,,338.599,30.0,,,,,,millions,USD
