Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2016,867.237,727.605,139.632,16.10078905766244,32.999,3.8050728924157986,37.181,21.479,2.476716284014635,0.657,38.242,7.426,30.816,163.822,300.918,135.113,88.902,15.402,32.694632,0.0,0.4,millions,NZD
H1-2017,438.193,368.442,69.751,15.917871805346046,16.997,3.8788844185096525,18.912,10.032,2.2894021584096502,0.307,12.432,,,165.543,294.064,126.45,82.579,,32.694632,0.0,0.13,millions,NZD
FY2017,854.764,716.611,138.153,16.162706899214285,35.902,4.20022368747397,39.652,22.232,2.6009518416779365,0.68,15.827,14.077,1.75,180.864,316.892,134.007,88.719,8.06,32.694632,0.0,0.44,millions,NZD
H1-2018,449.489,376.747,72.742,16.183265886373192,19.968,4.442377900237825,21.689,12.001,2.669920732209242,0.3670000000000001,-4.359,,,183.519,331.341,145.185,101.212,8.256,32.694632,0.0,0.15,millions,NZD
FY2018,904.034,755.544,148.49,16.425267191278202,42.406,4.690752781421938,46.147,24.985,2.7637234882758834,0.764,-11.354,14.895,-26.249,196.875,389.368,189.622,130.328,10.251,32.694632,0.0,0.5,millions,NZD
H1-2019,468.858,393.348,75.51,16.10508938740514,19.087,4.070955385212581,21.108,10.883,2.3211718686681255,0.33299999999999996,36.777,,,195.245,366.171,168.382,109.132,8.85,32.694632,0.0,0.15,millions,NZD
FY2019,909.002,757.262,151.74,16.693032578586187,38.685,4.255766213935723,43.056,21.901,2.4093456340030057,0.67,36.582,16.319,20.263,209.155,387.696,175.402,123.009,7.182,32.694632,0.0,0.45,millions,NZD
FY2020,754.922,609.316,145.606,19.28755553553877,31.215,4.134864264122651,37.504,21.828,2.89142454452248,0.6679999999999999,64.221,13.626,50.595,227.31,384.232,153.432,108.245,16.995,32.694632,0.0,0.32,millions,NZD
H1-2021,437.78,357.922,79.858,18.24158253003792,19.659,4.490611722783133,23.0,12.789,2.9213303485769107,0.391,31.253,12.14,19.113,228.69,380.767,148.988,96.169,16.452,32.694632,0.0,0.15,millions,NZD
FY2021,901.173,734.905,166.268,18.4501754934957,43.707,4.850012150830085,50.492,24.833,2.7556307168545886,0.76,28.89,22.916,5.974,262.443,447.745,181.911,118.782,14.736,32.694632,0.0,0.55,millions,NZD
H1-2022,535.675,438.408,97.267,18.15783824147104,28.736,5.364446726093247,32.693,18.094,3.3777943715872496,0.5529999999999999,-1.477,8.0,-9.477,266.839,462.615,191.988,139.796,13.512,32.694632,0.0,0.15,millions,NZD
FY2022,1002.848,815.425,187.423,18.689073518618972,53.775,5.362228373592011,61.857,33.186,3.3091754682663774,1.015,67.255,22.518,44.736999999999995,303.34,458.213,150.373,95.879,11.844,32.694632,0.0,0.62,millions,NZD
H1-2023,500.922,405.026,95.896,19.143898650887763,24.538,4.8985670423738625,28.484,14.291,2.8529391801518003,0.43700000000000006,-50.672,5.026,-55.69799999999999,298.478,527.071,224.409,158.774,16.128,32.694632,0.0,0.15,millions,NZD
FY2023,997.225,801.918,195.307,19.58504850961418,54.351,5.45022437263406,62.522,27.848,2.792549324375141,0.852,-10.224,24.927,-35.150999999999996,310.773,548.418,232.496,151.395,9.854,32.694632,0.0,0.57,millions,NZD
H1-2024,494.873,400.25,94.623,19.12066328128631,21.01,4.245533702586321,25.89,9.266,1.87239958534816,0.28300000000000003,-48.394,7.389,-55.783,303.133,625.459,316.852,167.53,12.779,32.694632,0.0,0.15,millions,NZD
FY2024,1012.92,821.895,191.025,18.858843738893498,43.166,4.261540891679501,53.187,4.535,0.4477155155392331,0.139,-40.981,16.118,-57.099000000000004,296.443,598.539,296.978,232.237,11.473,32.694632,0.0,0.35,millions,NZD
H1-2025,507.887,412.052,95.835,18.869354797425412,19.114,3.7634355673604563,24.065,6.921,1.3627046961233502,0.212,19.591,8.29,11.301000000000002,297.577,596.585,293.453,211.753,8.261,32.694632,0.0,0.15,millions,NZD
FY2025,1001.621,808.169,193.452,19.313892180774964,41.916,4.184816412595183,50.973,18.343,1.8313314117815023,0.561,45.305,11.668,33.637,306.981,586.516,274.056,215.594,11.996,32.694632,0.0,0.35,millions,NZD
H1-2026,552.437,448.937,103.5,18.73516799200633,20.68,3.74341327608397,25.404,10.715,1.9395876814912834,0.32799999999999996,42.882,2.076,40.806,311.183,570.22,253.532,194.88,15.655,32.694632,0.0,0.15,millions,NZD
