Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,25235.206,,,,,,,,,,,,millions,USD
FY2007,,,,,,,,1570.332,,4.02,12900.88,437.545,12463.335,24294.112,,,,,,229.228,0.11,,,,,millions,USD
H1-2008,,,,,,,,1001.409,,2.7,2503.77,203.047,2300.723,,,,,,,44.854,0.75,,,,,millions,USD
Q2 2008,,,,,,,,452.905,,1.21,,,,24921.465,,,,,,,,,,,,millions,USD
Q3 2008,,,,,,,,374.139,,1.0,1577.3670000000002,67.01700000000002,1510.3500000000001,25611.54,,,,,,,,,,,,millions,USD
FY2008,13893.0,,,,,,,-45.998,-0.331087598070971,-0.21,3482.975,356.327,3126.648,26611.0,165913.452,139301.019,,,378.0,111.646,1.5,,,,,millions,USD
Q1 2009,,,,,,,,-108.062,,-0.44,1479.567,107.218,1372.349,26747.976,,,,,,24.715,0.375,,,,,millions,USD
H1-2009,,,,,,,,115.0,,-1.11,2856.0,178.0,2678.0,,,,,,406.0,58.0,0.43,,,,,millions,USD
Q2 2009,,,,,,,,223.0,,-0.66,1376.433,70.782,1305.651,25332.0,171911.307,146581.731,,,422.0,,,,,,,millions,USD
Q3 2009,,,,,,,,394.0,,0.88,25.0,36.0,-11.0,26192.0,168503.921,142281.769,,,453.0,,,,,,,millions,USD
FY2009,12983.0,,,,,,,884.0,6.808903951320958,0.75,2082.0,243.0,1839.0,26590.0,169646.0,143056.953,15438.0,,431.0,146.0,0.53,,,,,millions,USD
Q1 2010,,,,,,,,636.0,,1.41,2024.0,74.0,1950.0,24375.0,200707.587,176333.205,,,455.0,47.0,0.05,,,,,millions,USD
H1-2010,,,,,,,,1244.0,,2.75,4811.0,150.0,4661.0,,,,,,456.0,87.0,0.1,,,,,millions,USD
Q2 2010,,,,,,,,608.0,,1.34,2787.0,76.0,2711.0,25270.0,197489.0,172219.0,,,456.0,,,,,,,millions,USD
Q3 2010,,,,,,,,803.0,,1.78,3209.0,75.0,3134.0,26061.0,196933.0,170872.0,29327.0,,457.0,,,,,,,millions,USD
FY2010,16171.0,,,,,,,2743.0,16.96246366953188,6.07,8142.0,340.0,7802.0,26541.0,197503.0,170962.0,40272.0,,456.0,149.0,0.2,,,,,millions,USD
Q1 2011,,,,,,,,1016.0,,2.24,1869.0,67.0,1802.0,27550.0,199300.0,171750.0,37827.0,,460.0,75.0,0.05,,,,,millions,USD
H1-2011,,,,,,,,1927.0,,4.24,4361.0,159.0,4202.0,,,,,,461.0,117.0,0.1,,,,,millions,USD
Q2 2011,,,,,,,,911.0,,2.0,2492.0,92.0,2400.0,28681.0,199753.0,171072.0,33295.0,,462.0,,,,,,,millions,USD
Q3 2011,,,,,,,,813.0,,1.78,1555.0,110.0,1445.0,29378.0,200148.0,170770.0,32874.0,,460.0,,,,,,,millions,USD
FY2011,16279.0,,,,,,,3147.0,19.331654278518336,6.85,7455.0,315.0,7140.0,29617.0,206019.0,176353.0,32262.0,,459.947217,189.0,0.2,,,,,millions,USD
Q1 2012,,,,,,,,1403.0,,2.74,1837.0,156.0,1681.0,36950.0,294481.0,257531.0,32115.0,,513.0,63.0,0.05,,,,,millions,USD
H1-2012,9990.0,,,,,,,1496.0,14.974974974974975,2.74,4031.0,262.0,3769.0,,,,,,548.0,116.0,0.1,,,,,millions,USD
Q2 2012,5055.0,,,,,,,93.0,1.8397626112759646,0.16,2194.0,106.0,2088.0,37192.0,296572.0,259380.0,30373.0,,583.0,,,,,,,millions,USD
Q3 2012,5782.0,,,,,,,1178.0,20.37357315807679,2.03,4988.0,97.0,4891.0,39700.0,301989.0,262317.0,29125.0,,584.1,,,,,,,millions,USD
FY2012,21396.0,,,,,,,3492.0,16.320807627593943,6.17,9524.0,560.0,8964.0,40425.0,312918.0,272419.0,28762.0,,582.207133,202.0,0.2,,,,,millions,USD
Q1 2013,5551.0,,,,,,,1056.0,19.023599351468203,1.79,2370.0,236.0,2134.0,41296.0,300163.0,258867.0,25336.0,,586.3,54.0,0.05,,,,,millions,USD
H1-2013,11189.0,,,,,,,2164.0,19.34042363035124,3.66,4924.0,450.0,4474.0,,,,,,587.9,112.0,0.35,,,,,millions,USD
Q2 2013,5638.0,,,,,,,1108.0,19.65235899255055,1.88,2554.0,214.0,2340.0,41041.0,296542.0,255501.0,24264.0,,588.8,,0.3,,,,,millions,USD
Q3 2013,5651.0,,,,,,,1105.0,19.554061228101222,1.87,3515.0,172.0,3343.0,41800.0,289888.0,248138.0,22958.0,,591.1,,0.3,,,,,millions,USD
Q4 2013,,,,,,,,852.0,,1.46,,,,,,,,,582.6,,,,,,,millions,USD
FY2013,22384.0,,,,,,,4121.0,18.410471765546816,6.99,9984.0,818.0,9166.0,41632.0,296933.0,255301.0,24439.0,,587.6,240.0,0.95,,,,,millions,USD
Q1 2014,5370.0,,,,,,,1154.0,21.48975791433892,1.99,3159.0,129.0,3030.0,42801.0,290500.0,247699.0,25674.0,,580.3,84.0,0.3,,,,,millions,USD
H1-2014,10838.0,,,,,,,2348.0,21.664513747923973,4.06,4920.0,250.0,4670.0,,,,,,578.9,137.0,0.6,,,,,millions,USD
Q2 2014,5468.0,,,,,,,1194.0,21.836137527432335,2.07,1761.0,121.0,1640.0,43815.0,298317.0,254502.0,28634.0,,577.6,,0.3,,,,,millions,USD
Q3 2014,5639.0,,,,,,,1081.0,19.17006561447065,1.89,2781.0,155.0,2626.0,44000.0,300202.0,256184.0,30113.0,,567.9,,0.3,,,,,millions,USD
Q4 2014,,,,,,,,999.0,,1.76,,,,,,,,,561.8,,,,,,,millions,USD
FY2014,22290.0,,,,,,,4428.0,19.865410497981156,7.71,9304.0,502.0,8802.0,45053.0,308167.0,263114.0,31377.0,,571.9,205.0,1.2,,,,,millions,USD
Q1 2015,5647.0,,,,,,,1153.0,20.417921020010628,2.03,1993.0,153.0,1840.0,45730.0,306224.0,260494.0,34346.0,,557.2,50.0,0.3,,,,,millions,USD
H1-2015,11319.0,,,,,,,2016.0,17.810760667903523,3.55,4348.0,229.0,4119.0,,,,,,554.7,124.0,0.7,,,,,millions,USD
Q2 2015,5672.0,,,,,,,863.0,15.215091678420311,1.52,2355.0,76.0,2279.0,46659.0,310510.0,263851.0,43878.0,,552.0,,0.4,,,,,millions,USD
Q3 2015,5900.0,,,,,,,1114.0,18.881355932203387,2.0,4657.0,182.0,4475.0,47685.0,313700.0,266015.0,41757.0,,546.3,,0.4,,,,,millions,USD
Q4 2015,,,,,,,,920.0,,1.6,,,,,,,,,536.3,,,,,,,millions,USD
