Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,83848.0,,,,817.0,,,,,,,,millions,USD
FY2007,187437.0,,,,,,,11978.0,6.390413845718829,7.32,24550.0,,,89507.0,,,,1456.0,1645.919,,,,,,,millions,USD
H1-2008,129905.0,,,,,,,9578.0,7.373080327931951,6.18,12021.0,,,,,,,,,,,,,,,millions,USD
Q2 2008,73353.0,,,,,,,5439.0,7.414829659318638,3.54,,,,,,,,787.0,,,,,,,,millions,USD
Q3 2008,70044.0,,,,,,,5203.0,7.428187996116726,3.43,7515.0,,,,,,,1116.0,1528.187,,,,,,,millions,USD
FY2008,240842.0,,,,,,,-16349.0,-6.788267827040134,-10.73,22658.0,,,56265.0,142865.0,86600.0,27455.0,755.0,1523.432,193.0,,,,,,millions,USD
Q1 2009,30741.0,,,,,,,816.0,2.6544354445203475,0.54,1885.0,,,,,,,802.0,1495.247,,,,,,,millions,USD
H1-2009,66189.0,,,,,,,1691.0,2.5548051791083113,1.12,4452.0,,,,,,,,1495.474,,,,,,,millions,USD
Q2 2009,35448.0,,,,,,,875.0,2.4684044233807265,0.58,2567.0,,,59529.0,150073.0,90066.0,30364.0,888.0,1495.7,,,,,,,millions,USD
Q3 2009,40173.0,,,,,,,1487.0,3.701491051203545,0.98,2933.0,,,61586.0,152427.0,90330.0,30458.0,641.0,1498.204,,,,,,,millions,USD
FY2009,149341.0,,,,,,,4492.0,3.0078812918086792,2.96,12479.0,,,62628.0,152138.0,89525.0,28653.0,542.0,1497.608,121.0,,,,,,millions,USD
Q1 2010,44821.0,,,,,,,2112.0,4.712076928225609,1.41,3040.0,,,63417.0,154810.0,91393.0,28988.0,855.0,1503.565,,,,,,,millions,USD
H1-2010,90507.0,,,,,,,6295.0,6.955263128818766,4.2,6515.0,,,,,,,,1502.529,,,,,,,millions,USD
Q2 2010,45686.0,,,,,,,4183.0,9.155977761239766,2.79,3475.0,,,65945.0,151456.0,85511.0,26279.0,4120.0,1501.257,,,,,,,millions,USD
Q3 2010,47208.0,,,,,,,3069.0,6.501016776817489,2.06,4339.0,,,69917.0,155333.0,85416.0,23601.0,7996.0,1493.08,,,,,,,millions,USD
FY2010,63335.0,,,,,,,11417.0,18.026367727165074,7.68,17045.0,,,69124.0,156314.0,87205.0,23592.0,9454.0,,211.0,,,,,,millions,USD
Q1 2011,56530.0,,,,,,,3042.0,5.381213514947816,2.11,1947.0,,,70521.0,159643.0,89122.0,23209.0,6172.0,1445.477,,,,,,,millions,USD
H1-2011,34471.0,,,,,,,6461.0,18.743291462388676,4.54,8221.0,,,,,,,,1428.76,,,,,,,millions,USD
Q2 2011,17668.0,,,,,,,3419.0,19.35136970794657,2.43,6274.0,,,70593.0,160068.0,89490.0,23196.0,5505.0,1412.147,,,,,,,millions,USD
Q3 2011,16695.0,,,,,,,2631.0,15.759209344115005,1.93,5613.0,,,66341.0,154689.0,88363.0,23150.0,3437.0,,,,,,,,millions,USD
FY2011,66069.0,,,,,,,12502.0,18.922641480876052,9.04,19646.0,,,65749.0,153230.0,87481.0,22623.0,5780.0,,246.0,,,,,,millions,USD
Q1 2012,16083.0,,,,,,,2955.0,18.37343779145682,2.29,4182.0,,,67058.0,162881.0,95838.0,28360.0,3707.0,,,,,,,,millions,USD
H1-2012,30925.0,,,,,,,5244.0,16.957154405820535,4.11,6532.0,,,,,,,,,,,,,,,millions,USD
Q2 2012,14842.0,,,,,,,2289.0,15.422449804608544,1.82,2350.0,,,46443.0,114008.0,67565.0,23008.0,1044.0,,,,,,,,millions,USD
Q3 2012,14713.0,,,,,,,1813.0,12.322435941004555,1.47,3520.0,,,47877.0,115369.0,67492.0,21117.0,1268.0,,,,,,,,millions,USD
FY2012,62004.0,,,,,,,8498.0,13.7055673827495,6.77,13922.0,14172.0,-250.0,48427.0,117144.0,68717.0,21725.0,3618.0,,321.0,,,,,,millions,USD
Q1 2013,14651.0,,,,,,,2153.0,14.695242645553206,1.74,4730.0,,,49240.0,117780.0,68540.0,21670.0,5422.0,,,,,,,,millions,USD
H1-2013,28793.0,,,,,,,4216.0,14.642447817177787,3.4,8471.0,,,,,,,,,,,,,,,millions,USD
Q2 2013,14142.0,,,,,,,2063.0,14.587752793098572,1.66,3741.0,,,48932.0,116947.0,68015.0,21721.0,3909.0,,,,,,,,millions,USD
Q3 2013,15470.0,,,,,,,2496.0,16.134453781512605,2.01,3705.0,,,51537.0,119760.0,68223.0,21668.0,3883.0,,,,,,,,millions,USD
FY2013,58248.0,,,,,,,9215.0,15.820285675044637,7.43,16141.0,15537.0,604.0,52492.0,118057.0,65565.0,21662.0,6246.0,,308.0,,,,,,millions,USD
Q1 2014,16048.0,,,,,,,2137.0,13.316301096709871,1.72,6336.0,3895.0,2441.0,53621.0,120025.0,66404.0,21206.0,7520.0,,,,,,,,millions,USD
H1-2014,30749.0,,,,,,,4235.0,13.77280561969495,3.4,9887.0,8141.0,1746.0,,,,,,,,,,,,,millions,USD
Q2 2014,14701.0,,,,,,,2098.0,14.271138017821915,1.68,3551.0,4246.0,-695.0,55686.0,121648.0,65962.0,21234.0,6142.0,,,,,,,,millions,USD
Q3 2014,12917.0,,,,,,,2727.0,21.11171324610978,2.18,3871.0,4588.0,-717.0,55661.0,118986.0,63325.0,21187.0,5408.0,,,,,,,,millions,USD
FY2014,55517.0,,,,,,,6938.0,12.497072968640238,5.54,16569.0,17085.0,-516.0,52273.0,116539.0,64266.0,22565.0,5062.0,,358.0,,,,,,millions,USD
Q1 2015,8002.0,,,,,,,286.0,3.5741064733816543,0.22,2068.0,3332.0,-1264.0,49008.0,110042.0,61034.0,22511.0,2664.0,,,,,,,,millions,USD
H1-2015,16662.0,,,,,,,122.0,0.7322050174048734,0.07,4042.0,5739.0,-1697.0,,,,,,,,,,,,,millions,USD
Q2 2015,8660.0,,,,,,,-179.0,-2.066974595842956,-0.15,1974.0,2407.0,-433.0,48969.0,112003.0,63034.0,24925.0,3813.0,,,,,,,,millions,USD
Q3 2015,7507.0,,,,,,,-1071.0,-14.266684427867323,-0.87,1934.0,2174.0,-240.0,44555.0,105949.0,61394.0,24891.0,2413.0,,,,,,,,millions,USD
FY2015,30935.0,,,,,,,-4428.0,-14.313883950218202,-3.58,7572.0,10050.0,-2478.0,40082.0,97484.0,57402.0,24880.0,2368.0,,362.0,,,,,,millions,USD
Q1 2016,5121.0,,,,,,,-1469.0,-28.68580355399336,-1.18,421.0,1821.0,-1400.0,39407.0,99834.0,60427.0,29455.0,4866.0,,,,,,,,millions,USD
H1-2016,10590.0,,,,,,,-2540.0,-23.984891406987725,-2.04,1680.0,2954.0,-1274.0,,,,,,,,,,,,,millions,USD
Q2 2016,5575.0,,,,,,,-1071.0,-19.210762331838566,-0.86,1259.0,1133.0,126.0,37831.0,96054.0,58223.0,28677.0,2863.0,1244.892,,,,,,,millions,USD
Q3 2016,6516.0,,,,,,,-1040.0,-15.960712093308778,-0.84,1280.0,916.0,364.0,36456.0,94284.0,57828.0,28689.0,4090.0,1245.961,,,,,,,millions,USD
FY2016,24360.0,9994.0,,,,,,-3615.0,-14.839901477832512,-2.91,4403.0,4869.0,-466.0,35226.0,89772.0,54546.0,27275.0,3610.0,,272.0,,,,,,millions,USD
Q1 2017,7771.0,,,,,,,599.0,7.7081456697979664,0.47,1790.0,966.0,824.0,35601.0,87973.0,52372.0,26435.0,3109.0,,,,,,,,millions,USD
H1-2017,16653.0,,,,,,,-2854.0,-17.138053203626974,-2.3,3541.0,1986.0,1555.0,,,,,,,,,,,,,millions,USD
Q2 2017,8882.0,,,,,,,-3440.0,-38.73001576221572,-2.78,1751.0,1020.0,731.0,30499.0,78004.0,47505.0,23468.0,7534.0,,,,,,,,millions,USD
Q3 2017,7195.0,2926.0,,,,,,436.0,6.059763724808895,0.35,1055.0,1088.0,-33.0,30712.0,74861.0,44149.0,21004.0,6911.0,,,,,,,,millions,USD
FY2017,32584.0,12475.0,,,,,,-855.0,-2.6239872329977905,-0.7,7077.0,4591.0,2486.0,30801.0,73362.0,42561.0,25010.0,6325.0,,227.0,,,,,,millions,USD
Q1 2018,8961.0,3714.0,,,,,,900.0,10.04352192835621,0.75,2399.0,1535.0,864.0,30718.0,70727.0,40009.0,19245.0,4984.0,,,,,,,,millions,USD
H1-2018,18201.0,6778.0,,,,,,2554.0,14.03219603318499,2.15,5741.0,3534.0,2207.0,,,,,,,,,,,,,millions,USD
