Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,8687.0,,,,2780.0,,,,,,,,millions,USD
Q4 2008,16395.0,,,,422.0,2.573955474229948,577.0,266.0,1.622445867642574,0.61,-15.0,375.0,-390.0,,,,,2215.0,440.533,44.0,,,,,,millions,USD
FY2008,72483.0,,,,1969.0,2.716499041154478,2622.0,1295.0,1.7866258295048496,2.95,2206.0,1599.0,607.0,9274.0,20682.0,,,2619.0,444.24,166.0,,,,,,millions,USD
Q1 2009,16843.0,,,,398.0,2.3629994656533873,,243.0,1.4427358546577214,0.55,,,,,,,,2705.0,439.688,,,,,,,millions,USD
H1-2009,33238.0,,,,820.0,2.467055779529454,1136.0,509.0,1.531379746073771,1.16,850.0,671.0,179.0,,,,,,440.095,89.0,,,,,,millions,USD
Q2 2009,15806.0,,,,359.0,2.271289383778312,,212.0,1.3412628115905352,0.48,,,,,,,,3083.0,439.997,,,,,,,millions,USD
Q3 2009,22378.0,,,,598.0,2.6722674054875326,,378.0,1.6891589954419517,0.86,693.0,226.0,467.0,,,,,,441.699,,,,,,,millions,USD
Q4 2009,17299.0,,,,428.0,2.4741314526851266,612.0,270.0,1.560783860338748,0.61,751.0,313.0,438.0,10431.0,23478.0,13047.0,2185.0,3617.0,444.849,52.0,,,,,,millions,USD
FY2009,71422.0,,,,1777.0,2.4880288986586767,2505.0,1099.0,1.5387415642239086,2.5,2092.0,1250.0,842.0,10104.0,21979.0,11875.0,2290.0,3157.0,440.454,181.0,,,,,,millions,USD
Q1 2010,18742.0,,,,470.0,2.5077366342973,655.0,305.0,1.6273610073631417,0.68,,193.0,,10743.0,23366.0,12623.0,2179.0,4134.0,446.918,48.0,,,,,,millions,USD
H1-2010,36041.0,,,,898.0,2.4916067811658946,1267.0,575.0,1.595405232929164,1.29,1360.0,506.0,854.0,,,,,,445.87,100.0,,,,,,millions,USD
Q2 2010,17780.0,,,,491.0,2.7615298087739033,671.0,311.0,1.749156355455568,0.69,,138.0,,10972.0,23899.0,12927.0,2132.0,4413.0,448.391,39.0,,,,,,millions,USD
Q3 2010,24125.0,,,,688.0,2.8518134715025907,,437.0,1.8113989637305699,0.99,809.0,138.0,671.0,,,,,,444.289,,0.205,,,,,millions,USD
Q4 2010,19239.0,,,,525.0,2.728832059878372,716.0,332.0,1.725661416913561,0.72,720.0,306.0,414.0,11707.0,26043.0,14336.0,2143.0,3739.0,441.36,57.0,0.205,,,,,millions,USD
FY2010,77946.0,,,,2077.0,2.664665281092038,2872.0,1323.0,1.6973289200215533,2.97,2780.0,1055.0,1725.0,10930.0,23815.0,12885.0,2141.0,3214.0,445.97,190.0,,,,,,millions,USD
