Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,286.425,,,,86.608,,,,,,,,millions,USD
H1-2008,510.699,105.389,405.31,79.36377396470327,31.519,6.1717371680774775,48.547,19.551,3.8282824129281625,0.16,136.907,37.213,99.69400000000002,,,,,,125.091,36.949,,,,,,millions,USD
Q2 2008,,,,,,,,,,,,,,,,,,378.548,,,,,,,,millions,USD
Q3 2008,263.077,54.091,208.986,79.43909957921065,16.098,6.119121017800872,24.967999999999996,9.996,3.799648011798827,0.08,53.075,13.036,40.039,,,,,427.043,125.626,18.884,,,,,,millions,USD
Q4 2008,276.487,56.348,220.139,79.62001830104127,16.133,5.83499405035318,24.043,11.683,4.225515123676701,0.08,17.121,11.614,5.506999999999998,,,,,382.314,125.133,19.276,,,,,,millions,USD
FY2008,748.7,171.591,577.109,77.08147455589689,20.309,2.7125684519834383,44.528000000000006,22.828,3.049018298383865,0.16,204.275,43.552,160.723,461.002,,,,279.095,122.422,55.207,,,,,,millions,USD
H1-2009,620.985,124.296,496.689,79.98405758593204,59.612,9.59958775171703,83.90100000000001,40.834,6.5756821823393485,0.32,143.831,32.056,111.77499999999999,,,,,,125.894,42.54,,,,,,millions,USD
Q2 2009,304.924,61.8,243.124,79.73265469428448,30.123,9.878855058965513,42.268,18.993,6.228765200508979,0.15,97.976,13.428,84.548,,,,,341.705,125.349,21.663,,,,,,millions,USD
Q3 2009,316.061,62.496,253.565,80.22660182686255,29.489,9.330160949943208,41.633,21.841,6.910374895985269,0.17,45.855,18.628,27.226999999999997,791.117,1556.527,754.137,,246.169,126.566,20.877,,,,,,millions,USD
Q4 2009,330.549,65.57,264.979,80.16330407897165,30.141,9.11846655110135,43.742,21.443,6.48708663465931,0.17,35.52,10.389,25.131000000000004,870.54,1643.201,772.661,,242.888,128.596,20.407,,,,,,millions,USD
FY2009,1076.769,220.471,856.298,79.52476343579727,63.742,5.919746946652438,99.713,48.035,4.461031103235698,0.36,229.557,61.059,168.498,682.487,1479.822,797.335,,483.834,125.228,77.366,,,,,,millions,USD
Q1 2010,354.049,,285.99,80.77695460232907,25.519,7.207759377939212,,20.394,5.760219630616101,0.16,,,,,,,,,,,,,,,,millions,USD
H1-2010,771.185,149.371,621.814,80.63097700292407,62.732,8.134494317187187,95.03,36.459,4.727659381341702,0.25,219.279,39.521,179.75799999999998,,,,,,133.437,53.1,,,,,,millions,USD
Q2 2010,376.813,71.581,305.232,81.0035747174328,33.05,8.770928816150185,47.555,19.876,5.2747649364538916,0.14,143.183,11.69,131.493,1148.367,2488.097,1339.73,,690.794,132.251,26.468,,,,,,millions,USD
Q3 2010,394.372,77.79,316.582,80.2749688111732,29.682,7.526396397310153,47.474999999999994,16.583,4.204913127706835,0.11,76.096,27.831,48.265,1255.555,2698.476,1442.921,,409.925,134.176,26.615,,,,,,millions,USD
Q4 2010,429.087,82.131,346.956,80.85912647085557,35.156,8.193210234754257,54.866,22.368,5.212928846597543,0.16,74.04,20.79,53.25000000000001,1212.466,2740.694,1528.228,,630.303,137.044,25.632,,,,,,millions,USD
FY2010,1305.583,257.925,1047.658,80.24445783990753,115.272,8.829159080655922,168.449,84.692,6.486910445371913,0.65,270.911,49.501,221.41,1056.666,2460.201,1403.535,,1011.306,128.114,88.892,,,,,,millions,USD
Q1 2011,456.867,,364.556,79.7947761602392,-0.391,-0.0855828939275544,,10.913,2.388660157113558,0.08,,,,,,,,,,,,,,,,millions,USD
H1-2011,1050.366,223.976,826.39,78.67638518383116,-18.551,-1.7661462766311933,51.28099999999999,-3.738,-0.355875951811083,-0.03,222.451,72.365,150.086,,,,,,134.273,102.2,,,,,,millions,USD
Q2 2011,504.364,103.066,401.298,79.56515532432927,-2.803,-0.5557494190703539,26.79,0.53,0.10508283699867556,0.0,139.518,27.314,112.20400000000001,1255.642,3128.068,1775.795,,664.612,141.062,47.6,,,,,,millions,USD
Q3 2011,546.002,120.91,425.092,77.85539247108986,-15.748,-2.8842385192728233,24.491,-4.268,-0.7816821183805188,-0.03,82.933,45.051,37.882000000000005,1418.123,3421.328,1912.433,,449.794,135.093,54.594,,,,,,millions,USD
Q4 2011,584.26,128.565,455.695,77.99524184438434,-10.157,-1.7384383664806764,31.395999999999997,-3.756,-0.6428644781432924,-0.03,128.709,34.678,94.031,1498.389,3511.278,1928.118,,502.987,135.847,57.006,,,,,,millions,USD
FY2011,1657.139,323.813,1333.326,80.45951486266391,97.497,5.883453349417279,173.243,69.697,4.205863237785123,0.5,459.081,90.887,368.194,1276.491,3091.165,1814.674,,424.292,136.598,120.429,,,,,,millions,USD
Q1 2012,631.913,,495.568,78.4234538615284,-6.377,-1.0091579062307627,,-4.078,-0.6453420011932023,-0.03,,,,,,,,,,,,,,,,millions,USD
H1-2012,1427.116,313.969,1113.147,77.99975615156721,-35.715,-2.5025996485219144,63.724999999999994,-29.304,-2.0533719753685054,-0.05,349.409,74.025,275.384,,,,,,555.156,166.683,,,,,,millions,USD
Q2 2012,695.467,151.551,543.916,78.20874318982786,-22.249,-3.1991453224955313,27.192000000000004,-19.475,-2.8002766486404105,-0.04,213.212,44.721,168.49099999999999,1809.769,4156.092,2346.323,,440.785,552.6,81.266,,,,,,millions,USD
Q3 2012,731.649,162.418,569.231,77.8011040813286,-13.466,-1.8405000211850215,36.533,-9.829,-1.3434037359444215,-0.02,136.197,29.304,106.893,1892.314,4453.57,2494.899,,1000.73,557.7,85.417,,,,,,millions,USD
Q4 2012,788.398,186.248,602.15,76.37639872247264,-54.188,-6.873178267829193,5.7719999999999985,-220.297,-27.94235906230102,-0.39,105.915,51.054,54.861000000000004,2083.615,4642.29,2498.676,,521.72,568.812,105.112,,,,,,millions,USD
FY2012,2266.539,488.886,1777.653,78.43028511752941,-35.085,-1.547954833338407,122.201,-11.572,-0.5105581682027089,-0.02,591.507,151.645,439.86199999999997,1587.36,4164.154,2498.053,,607.284,137.036541,229.3,,,,,,millions,USD
