Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ExplorationAndEvaluationAssets,ShareIssuanceProceeds
FY2016,0.0,,,,-0.726144,,-0.725337,-0.72523,,-0.0019,-0.866777,0.162562,-1.029339,3.377275,4.266302,0.889027,0.0,0.166461,,0.0,0.0,,,,,millions,CAD,3.763864,1.064693
FY2017,0.0,,,,-1.641957,,-1.641426,-1.63655,,-0.0024,-1.067795,0.233044,-1.300839,4.384855,5.68901,1.304155,0.0,0.762672,,0.0,0.0,,,,,millions,CAD,4.244497,1.925191
FY2018,0.004585,,,,-1.185186,,-1.18501,-1.228005,,-0.0793,-1.219965,1.198371,-2.418336,4.576402,4.839631,0.263229,0.0,0.081484,15.486362,0.0,0.0,,,,,millions,CAD,4.552204,1.296954
FY2019,0.005358,,,,-0.910755,,-0.910755,-0.911839,,-0.0455,-0.811587,0.219612,-1.031199,4.996787,5.079279,0.082492,0.0,0.243615,20.057457,0.230787,0.0,,,,,millions,CAD,4.680435,1.189282
FY2020,0.005166,,,,-0.642021,,-0.641923,-0.640296,,-0.0249,-0.444992,0.087574,-0.532566,4.3326,4.540822,0.208222,0.0,0.012352,25.746023,0.0391,0.0,,,,,millions,CAD,4.456736,0.320531
FY2021,0.005202,,,,-0.569499,,-0.569499,-0.572937,,-0.0166,-0.767547,0.072826,-0.840373,5.136327,5.221738,0.085411,0.0,0.378868,34.590008,0.0,0.0,,,,,millions,CAD,4.691425,1.173074
FY2022,0.005328,,,,-1.033885,,-1.03072,-1.033401,,-0.0163,-0.80287,0.085508,-0.888378,7.076609,8.126137,1.049528,0.0,1.367472,63.326686,0.157408,0.0,,,,,millions,CAD,6.645551,2.008965
9M FY2023,0.000409,,,,-1.111099,,-1.1092,-1.102085,,-0.013,-1.109648,0.109177,-1.218825,,,,,1.187597,,,0.0,,,,,millions,CAD,,
FY2023,0.000412,,,,-1.823635,,-1.819576,-1.770917,,-0.0208,-1.496457,0.093141,-1.589598,7.274009,7.852828,0.578819,0.087052,0.820381,84.96251,0.0,0.0,,,,,millions,CAD,6.607691,1.114244
9M FY2024,0.0,,,,-1.398797,,-1.368052,-1.313817,,-0.0148,-1.376356,0.081294,-1.45765,6.532906,7.222709,0.689803,0.065575,0.224046,,,0.0,,,,,millions,CAD,6.619013,
FY2024,0.0,,,,-1.567188,,-1.529666,-1.472047,,-0.0164,-1.519637,0.154843,-1.67448,6.550158,6.958501,0.408343,0.057727,0.110172,89.987227,0.0,0.0,,,,,millions,CAD,6.568266,1.020276
9M FY2025,0.0,,,,-1.002535,,-0.976612,-1.006426,,-0.01,-1.082951,0.062999,-1.14595,6.513303,6.777382,0.264079,0.036735,0.051161,,,0.0,,,,,millions,CAD,6.594761,
Q1 FY2025,0.0,,,,-0.355091,,-0.343804,-0.354227,,-0.004,-0.39755,0.0,-0.39755,,,,,0.167146,,,0.0,,,,,millions,CAD,,
H1 FY2025,0.0,,,,-0.70767,,-0.689105,-0.708804,,-0.007,-0.841256,0.067144,-0.9084,,,,,0.054341,,,0.0,,,,,millions,CAD,,
FY2025,0.0,,,,-1.223905,,-1.189983,-1.182703,,-0.0115,-1.142751,0.122337,-1.265088,6.476041,6.876175,0.400134,0.029412,0.035206,103.251401,0.0,0.0,,,,,millions,CAD,6.710333,1.209077
9M FY2026,0.0,,,,-0.752698,,-0.735382,-0.725733,,-0.007,-0.354459,0.057875,-0.412334,6.283488,6.808863,0.525375,0.0,0.071441,,0.331225,0.0,,,,,millions,CAD,6.5968,
Q1 FY2026,0.0,,,,-0.142785,,-0.134709,-0.142773,,-0.001,-0.058845,0.0,-0.058845,6.408616,6.937205,0.528589,0.021491,0.023974,,0.0,0.0,,,,,millions,CAD,6.80484,
H1 FY2026,0.0,,,,-0.267815,,-0.25254,-0.266136,,-0.002,-0.245891,0.058758,-0.304649,6.281666,6.869254,0.587588,0.013896,0.03961,,0.0,0.0,,,,,millions,CAD,6.675286,
