Period,Revenue,SubscriptionRevenue,ProfessionalServicesRevenue,GrossProfit,GrossMargin,SubscriptionGrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPSDiluted,SharesOutstanding,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,ARR,NetNewARR,SubscriptionCustomers,DollarBasedNetRetentionRate,RemainingPerformanceObligations
Q1 FY2020,96.1,86.0,10.1,66.8,69.5,,-25.8,-26.8,-26.0,-27.1,-0.55,47.2,,,,,364.6,,3059,,
Q2 FY2020,108.1,97.6,10.5,76.5,70.8,,-50.6,-46.8,-51.9,-48.0,-0.40,130.1,,,,,423.8,,3789,,
Q3 FY2020,125.1,114.2,10.9,87.8,70.1,,-38.5,-30.8,-35.5,-28.4,-0.17,204.1,,,,,501.7,,4561,,
Q4 FY2020,152.1,138.5,13.6,108.7,71.5,,-31.1,-20.5,-28.4,-18.7,,,,,,,,,,,
FY2020,481.4,436.3,45.1,339.8,70.6,74.0,-146.1,-30.3,-141.8,-29.5,-0.96,148.1,12.5,742.6,0.0,912.1,600.5,,5431,124.0,764.0
Q1 FY2021,178.1,162.2,15.9,131.2,73.7,,-22.6,-12.7,-19.2,-10.8,-0.09,213.1,87.0,,,,,,,
Q2 FY2021,199.0,183.1,15.9,144.6,72.7,,-30.0,-15.1,-29.9,-15.0,-0.14,216.7,32.4,,,,,,,
Q3 FY2021,232.5,213.5,19.0,170.9,73.5,,-24.2,-10.4,-24.5,-10.5,-0.11,219.4,76.1,,,,,,,
Q4 FY2021,264.9,244.7,20.2,198.2,74.8,,-15.8,-6.0,-19.0,-7.2,,97.4,,,,,,,
FY2021,874.4,804.7,69.8,644.9,73.7,77.0,-92.5,-10.6,-92.6,-10.6,-0.43,217.8,292.9,871.9,738.0,1918.6,1050.1,449.6,9896,125.0,1400.0
Q1 FY2022,302.8,281.2,21.6,224.3,74.1,,-31.3,-10.3,-85.0,-28.1,-0.38,224.2,117.3,,,,,,,
Q2 FY2022,337.7,315.8,21.9,247.3,73.2,,-47.4,-14.0,-57.3,-17.0,-0.25,226.4,73.6,,,,,,,
Q3 FY2022,380.1,357.0,23.1,278.4,73.2,,-40.3,-10.6,-50.5,-13.3,-0.22,228.3,123.5,,,,,,,
Q4 FY2022,431.0,405.4,25.6,318.4,73.9,,-23.5,-5.5,-42.0,-9.7,,127.3,,,,,,,
FY2022,1451.6,1359.5,92.1,1068.4,73.6,76.0,-142.5,-9.8,-234.8,-16.2,-1.03,227.1,441.8,1037.6,739.5,1996.6,1731.3,681.3,16325,123.9,2300.0
Q1 FY2023,487.8,459.8,28.0,361.0,74.0,,-23.9,-4.9,-31.5,-6.5,-0.14,231.2,157.5,,,,1921.8,,17945,,
Q2 FY2023,535.2,506.2,29.0,394.6,73.7,,-48.3,-9.0,-49.3,-9.2,-0.21,232.6,135.8,,,,2139.9,,19686,,
Q3 FY2023,580.9,547.4,33.5,422.7,72.8,,-56.4,-9.7,-55.0,-9.5,-0.24,233.8,174.1,,,,2338.0,,21146,,
Q4 FY2023,637.4,598.3,39.1,461.8,72.4,,-61.5,-9.6,-47.5,-7.4,,209.5,,,,,,,
FY2023,2241.2,2111.7,129.6,1640.0,73.2,76.0,-190.1,-8.5,-183.2,-8.2,-0.79,233.1,676.9,1487.4,741.0,2705.4,2559.7,828.4,23019,125.3,3400.0
Q1 FY2024,692.6,651.2,41.4,523.4,75.6,,-19.5,-2.8,0.5,0.1,0.00,240.6,227.7,,,,2733.9,,,,
Q2 FY2024,731.6,690.0,41.7,548.7,75.0,,-15.4,-2.1,8.5,1.2,0.03,242.1,189.3,,,,2930.1,,,,
Q3 FY2024,786.0,733.5,52.6,591.0,75.2,,3.2,0.4,26.7,3.4,0.11,243.8,239.6,,,,3153.2,,,,
Q4 FY2024,845.3,796.0,49.4,636.8,75.3,,29.7,3.5,53.7,6.4,,283.6,,,,,,,
FY2024,3055.6,2870.6,185.0,2299.8,75.3,78.0,-2.0,-0.1,89.3,2.9,0.37,243.6,940.2,2337.1,742.5,3474.7,3435.2,875.5,,119.0,4600.0
Q1 FY2025,921.0,872.2,48.9,696.0,75.6,78.3,6.9,0.8,42.8,4.6,0.17,250.2,323.1,,,,3646.9,211.7,,,
Q2 FY2025,963.9,918.3,45.6,726.5,75.4,78.2,13.7,1.4,47.0,4.9,0.19,251.3,326.6,,,,3864.5,217.6,,,
Q3 FY2025,1010.2,962.7,47.4,755.1,74.7,77.5,-55.7,-5.5,-16.8,-1.7,-0.07,245.5,326.1,,,,4017.5,153.0,,,
Q4 FY2025,1058.5,1008.3,50.2,784.5,74.1,,-85.3,-8.1,-92.3,-8.7,,240.8,,,,,,,
FY2025,3953.6,3761.5,192.1,2962.1,74.9,78.0,-120.4,-3.0,-19.3,-0.5,-0.08,244.8,1067.9,3318.9,744.0,4323.3,4241.8,806.7,,112.0,6500.0
Q1 FY2026,1103.4,1050.8,52.7,814.3,73.8,76.9,-124.7,-11.3,-110.2,-10.0,-0.44,248.4,280.9,,,,4435.6,193.8,,,6800.0
Q2 FY2026,1169.0,1102.9,66.0,858.7,73.5,77.0,-113.0,-9.7,-77.7,-6.6,-0.31,249.9,285.0,,,,4656.7,221.1,,,7200.0
Q3 FY2026,1234.2,1168.7,65.5,926.4,75.1,77.9,-69.4,-5.6,-34.0,-2.8,-0.14,251.3,297.4,,,,4922.0,265.3,,,7900.0
Q4 FY2026,1305.4,1242.3,63.1,989.5,75.8,,-6.9,-0.5,38.7,3.0,,257.9,,,,,5252.8,330.8,,,9000.0
FY2026,4812.0,4564.7,247.3,3593.1,74.7,78.0,-293.3,-6.1,-162.5,-3.4,-0.65,250.6,1241.5,4472.6,745.5,5230.1,5252.8,1010.9,,115.0,9000.0
Q1 FY2027,1385.6,1320.9,64.8,1043.4,75.3,78.2,-30.6,-2.2,27.8,2.0,0.11,257.9,470.7,4675.3,745.8,4552.8,5508.6,255.8,,,8800.0
