Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,31941.0,,,,3728.0,,,,,,,,millions,USD
Q4 2008,10331.0,3650.0,6681.0,64.66944148678733,2482.0,24.02477978898461,,2201.0,21.30481076372084,0.37,2718.0,361.0,2357.0,35059.0,,,,4197.0,5972.0,304.0,,,,,,millions,USD
FY2008,39540.0,14194.0,25346.0,64.10217501264542,9442.0,23.879615579160344,,8052.0,20.364188163884673,1.35,12089.0,1268.0,10821.0,34402.0,,,,5191.0,6163.0,1112.0,,,,,,millions,USD
Q1 2009,9089.0,3366.0,5723.0,62.96622290681043,1773.0,19.507096490262953,,1504.0,16.547474969743647,0.26,,,,36801.0,,,,4175.0,5864.0,,,,,,,millions,USD
H1-2009,19420.0,7016.0,12404.0,63.87229660144181,4255.0,21.910401647785786,,3705.0,19.07826982492276,0.63,5916.0,585.0,5331.0,,,,,,5901.0,602.0,,,,,,millions,USD
Q2 2009,8162.0,2933.0,5229.0,64.06518010291595,1607.0,19.68880176427346,,1348.0,16.515559911786326,0.23,,,,37283.0,,,,7359.0,5818.0,,,,,,,millions,USD
Q3 2009,8535.0,,5461.0,63.98359695371998,,,,1081.0,12.665495020503808,0.19,1996.0,209.0,1787.0,,,,,,,,,,,,,millions,USD
Q4 2009,9021.0,3133.0,5888.0,65.2699257288549,2124.0,23.545061523112736,,1787.0,19.809333776743156,0.31,1488.0,160.0,1328.0,40026.0,68680.0,28654.0,10273.0,4774.0,5871.0,321.0,,,,,,millions,USD
FY2009,36117.0,13023.0,23094.0,63.94218788935958,7322.0,20.273001633579753,,6134.0,16.98369189024559,1.05,9897.0,1005.0,8892.0,38677.0,68128.0,29451.0,10295.0,5718.0,5857.0,1231.0,,,,,,millions,USD
Q1 2010,9815.0,3483.0,6332.0,64.51349974528783,2370.0,24.14671421293938,,1853.0,18.879266428935303,0.32,,,,41532.0,76403.0,34871.0,15194.0,4710.0,5862.0,371.0,,,,,,millions,USD
H1-2010,18836.0,6616.0,12220.0,64.87576980250584,4494.0,23.858568698237416,,3640.0,19.324697387980464,0.63,3974.0,408.0,3566.0,,,,,,5866.0,692.0,,,,,,millions,USD
Q2 2010,10368.0,3738.0,6630.0,63.94675925925925,2345.0,22.61766975308642,,2192.0,21.141975308641975,0.38,,,,43852.0,79292.0,35440.0,15246.0,3961.0,5869.0,434.0,,,,,,millions,USD
Q3 2010,10836.0,,6793.0,62.68918420081211,,,,1935.0,17.857142857142858,0.34,2967.0,291.0,2676.0,,,,,,,,,,,,,millions,USD
Q4 2010,10750.0,3995.0,6755.0,62.83720930232558,2351.0,21.869767441860468,,1930.0,17.953488372093023,0.34,1667.0,326.0,1341.0,44695.0,80015.0,35320.0,18342.0,3796.0,5675.0,407.0,,,,,,millions,USD
