Date,Close
2016-10-01,51.35
2016-11-01,55.08
2016-12-01,56.03
2017-01-01,52.59
2017-02-01,59.27
2017-03-01,59.52
2017-04-01,60.23
2017-05-01,66.91
2017-06-01,66.4
2017-07-01,69.32
2017-08-01,70.77
2017-09-01,72.54
2017-10-01,75.67
2017-11-01,72.28
2017-12-01,71.02
2018-01-01,77.98
2018-02-01,82.02
2018-03-01,80.5
2018-04-01,81.82
2018-05-01,75.35
2018-06-01,78.99
2018-07-01,81.5
2018-08-01,78.43
2018-09-01,77.15
2018-10-01,69.03
2018-11-01,71.23
2018-12-01,63.48
2019-01-01,69.68
2019-02-01,70.98
2019-03-01,72.45
2019-04-01,72.96
2019-05-01,61.93
2019-06-01,63.39
2019-07-01,65.14
2019-08-01,61.39
2019-09-01,60.27
2019-10-01,60.94
2019-11-01,64.11
2019-12-01,62.02
2020-01-01,61.38
2020-02-01,60.93
2020-03-01,46.47
2020-04-01,58.02
2020-05-01,53
2020-06-01,56.82
2020-07-01,68.32
2020-08-01,66.86
2020-09-01,69.42
2020-10-01,71.42
2020-11-01,78.13
2020-12-01,81.95
2021-01-01,77.95
2021-02-01,73.48
2021-03-01,78.12
2021-04-01,80.4
2021-05-01,71.56
2021-06-01,69.26
2021-07-01,73.53
2021-08-01,76.31
2021-09-01,74.21
2021-10-01,78.09
2021-11-01,77.98
2021-12-01,88.72
2022-01-01,85.42
2022-02-01,86.13
2022-03-01,89.67
2022-04-01,80.9
2022-05-01,74.7
2022-06-01,67.49
2022-07-01,67.96
2022-08-01,63.17
2022-09-01,57.44
2022-10-01,62.25
2022-11-01,62.21
2022-12-01,57.19
2023-01-01,66.75
2023-02-01,62.63
2023-03-01,60.93
2023-04-01,59.71
2023-05-01,62.49
2023-06-01,65.28
2023-07-01,66.03
2023-08-01,71.61
2023-09-01,67.74
2023-10-01,64.47
2023-11-01,70.38
2023-12-01,75.53
2024-01-01,77.12
2024-02-01,79.02
2024-03-01,73.29
2024-04-01,65.68
2024-05-01,66.15
2024-06-01,68
2024-07-01,75.68
2024-08-01,77.77
2024-09-01,77.18
2024-10-01,74.59
2024-11-01,80.49
2024-12-01,76.9
2025-01-01,82.61
2025-02-01,83.33
2025-03-01,76.5
2025-04-01,73.57
2025-05-01,80.99
2025-06-01,78.03
2025-07-01,71.76
2025-08-01,72.25
2025-09-01,67.07
2025-10-01,72.88
2025-11-01,77.71
2025-12-01,83
2026-01-01,82.06
2026-02-01,64.43
2026-03-01,61.35
2026-04-01,52.9
2026-05-01,55.76
2026-06-01,38.73
2026-07-01,55.35
2026-08-01,64.58
2026-09-01,57.17
2026-09-25,57.33
