Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2016,1.411658,,,,-3.573896,-253.17010210688426,,-3.261046,-231.0082187045304,-0.073,-3.16979,0.004809,-3.174599,8.786558,11.280695,2.494137,0.0,7.498767,,,,,,,,millions,AUD
FY2016,6.419707,,,,-3.950249,-61.53316654482829,-3.924723,-3.153718,-49.1255753572554,-0.07,-5.036933,0.098051,-5.134984,17.83452,20.138267,2.303747,0.0,13.844703,45.286317,1.670425,,,,,,millions,AUD
H1 FY2017,6.990666,,,,2.484253,35.53671424153293,,2.522519,36.08410128591468,0.053,5.67052,0.041658,5.628862,20.552622,22.840681,2.288059,0.0,19.550345,,,,,,,,millions,AUD
FY2017,16.984536,,,,6.929118,40.79662817989258,6.982256,7.114286,41.88684342039135,0.149,9.916936,0.067479,9.849457,25.444025,28.606964,3.162939,0.0,23.752312,49.626791,0.395364,,,,,,millions,AUD
H1 FY2018,7.193183,,,,1.4108,19.613014155207786,,1.410947,19.61505775676776,0.03,4.0244,0.016208,4.008192,27.373896,30.156422,2.782526,0.0,27.938889,,,,,,,,millions,AUD
FY2018,25.750125,,,,12.192116,47.347793457313315,,13.224185,51.35580895238373,0.27699999999999997,11.693333,0.075123,11.61821,39.415988,42.904617,3.488629,0.0,36.198451,49.590644,0.427635,,,,,,millions,AUD
H1 FY2019,8.981388,,,,3.298411,36.72495832492706,,4.075519,45.37738487636878,0.085,7.24745,0.188114,7.059336,43.127839,45.708484,2.580605,0.0,42.826297,,,,,,,,millions,AUD
FY2019,31.047776,,,,16.664133,53.6725496860065,16.747026,18.13416,58.407275290829205,0.376,18.456107,0.257616,18.198491,57.179853,62.345372,5.165519,0.432518,54.268758,49.600786,0.139583,,,,,,millions,AUD
H1 FY2020,9.971065,,,,1.229946,12.335151761622255,,1.059248,10.623218282099254,0.022000000000000002,4.74657,0.206178,4.540392,58.026933,62.07728,4.050347,0.308059,57.43185,,,,,,,,millions,AUD
FY2020,32.565423,,,,11.792224,36.210873109187006,11.956698,16.646859,51.11820288654012,0.33799999999999997,14.188368,0.888826,13.299542,73.668547,81.541845,7.873298,1.319555,66.746521,50.458922,1.658713,,,,,,millions,AUD
H1 FY2021,15.743215,,,,6.03483,38.332894519956696,6.481914,6.48732,41.207085083955214,0.133,9.18782,0.79487,8.39295,,,,,,,1.206309,,,,,,millions,AUD
FY2021,47.975583,,,,25.237628,52.60515124954292,26.09906,24.728247,51.543400733660704,0.5,19.262061,0.854325,18.407736,98.737434,108.567574,9.83014,1.303472,82.690982,51.13107,2.602393,,,,,,millions,AUD
H1 FY2022,24.631266,,,,8.427811,34.21590672602862,8.820506,5.87038,23.833042118094944,0.11900000000000001,17.3243,0.056444,17.267856,107.291335,115.652882,8.361547,1.169759,98.992349,,3.223269,,,,,,millions,AUD
FY2022,65.722292,,,,33.055692,50.29601219628798,33.813518,20.878465,31.767706762265686,0.423,39.872282,0.434438,39.437844,125.559043,143.949537,18.390494,1.256531,121.509282,51.776444,6.120977,,,,,,millions,AUD
H1 FY2023,29.355042,,,,12.978815,44.21323941556616,13.354901,11.387675,38.792909919869984,0.23,21.023,0.395085,20.627915,139.171112,160.292798,21.121686,1.135667,140.703376,,3.827168,,,,,,millions,AUD
FY2023,78.321318,,,,40.909785,52.23326936352118,41.699193,30.604566,39.07565242964885,0.619,36.912063,1.027532,35.884531,164.631143,193.713556,29.082413,0.999865,156.813537,51.815997,8.989788,,,,,,millions,AUD
H1 FY2024,32.256885,,,,11.332687,35.132614324042756,11.908117,10.936043,33.90297296220636,0.221,26.3798,5.301549,21.078251,178.650022,211.681346,33.031324,1.068866,174.449193,,5.643074,,,,,,millions,AUD
FY2024,88.178308,,,,43.551549,49.39032057634855,44.693875,35.636359,40.41397460246118,0.715,37.053882,5.576215,31.477667,203.011366,231.123549,28.112183,0.879784,183.868471,51.026713,6.107272,,,,,,millions,AUD
H1 FY2025,35.645883,,,,14.292872,40.09683811171124,14.900711,14.075335,39.486565671553144,0.281,13.1523,0.057861,13.094439,217.301811,236.204932,18.903121,0.715377,198.220748,,1.008953,,,,,,millions,AUD
FY2025,95.01757,,80.204091,84.40974758668318,41.270373,43.43446480477242,42.451767,36.172518,38.06929392111375,0.722,41.095462,0.298567,40.796895,240.808626,271.750012,30.941386,0.528528,224.105942,50.380016,2.001467,,,,,,millions,AUD
H1 FY2026,36.930512,,,,10.956973,29.66916082831454,11.45702,10.442705,28.27663207052207,0.2082,12.5249,0.14947,12.37543,249.016213,269.697038,20.680825,0.323843,232.999375,,1.042168,,,,,,millions,AUD
FY2026,94.024398,,78.210676,83.18125684782369,40.531563,43.107495354556804,41.517031,33.916819,36.07235964435529,0.6779999999999999,36.909768,1.601939,35.307829,272.881295,295.091228,22.209933,1.938486,252.05539,50.746879,2.338206,,,,,,millions,AUD
