Date,Close
2016-09-30,8.45
2016-10-31,8.05
2016-11-30,7.45
2016-12-31,8.04
2017-01-31,6.73
2017-02-28,6.87
2017-03-31,6.8
2017-04-30,6.82
2017-05-31,6.98
2017-06-30,6.43
2017-07-31,7.27
2017-08-31,6.73
2017-09-30,6.99
2017-10-31,8.05
2017-11-30,8.19
2017-12-31,8.9
2018-01-31,8.73
2018-02-28,9.9
2018-03-31,11.75
2018-04-30,12.15
2018-05-31,11.01
2018-06-30,12.35
2018-07-31,14.76
2018-08-31,22.03
2018-09-30,16
2018-10-31,17
2018-11-30,18.1
2018-12-31,21.58
2019-01-31,26.73
2019-02-28,24.49
2019-03-31,23.9
2019-04-30,34.49
2019-05-31,33.68
2019-06-30,32.51
2019-07-31,27.07
2019-08-31,24.7
2019-09-30,30.56
2019-10-31,28.1
2019-11-30,28.45
2019-12-31,27.7
2020-01-31,17.77
2020-02-29,19.11
2020-03-31,22.03
2020-04-30,24.22
2020-05-31,25.65
2020-06-30,22.04
2020-07-31,20.79
2020-08-31,23.31
2020-09-30,20.66
2020-10-31,20.23
2020-11-30,22.32
2020-12-31,21.86
2021-01-31,22.41
2021-02-28,27.07
2021-03-31,29.08
2021-04-30,29.09
2021-05-31,30.7
2021-06-30,27.86
2021-07-31,37.78
2021-08-31,42.86
2021-09-30,38.61
2021-10-31,28.77
2021-11-30,27.21
2021-12-31,23.02
2022-01-31,20.17
2022-02-28,18.46
2022-03-31,16.56
2022-04-30,15.89
2022-05-31,14.85
2022-06-30,18.77
2022-07-31,20.17
2022-08-31,18.58
2022-09-30,19.56
2022-10-31,19.6
2022-11-30,21.67
2022-12-31,25.17
2023-01-31,19.09
2023-02-28,19.32
2023-03-31,20.22
2023-04-30,18.7
2023-05-31,17.88
2023-06-30,18.35
2023-07-31,19.2
2023-08-31,14.71
2023-09-30,14.69
2023-10-31,17.7
2023-11-30,16
2023-12-31,15.7
2024-01-31,13.68
2024-02-29,14.36
2024-03-31,15.05
2024-04-30,15.9
2024-05-31,15.37
2024-06-30,14.95
2024-07-31,15.69
2024-08-31,14.02
2024-09-30,14.2
2024-10-31,13.15
2024-11-30,12.06
2024-12-31,12.1
2025-01-31,11.49
2025-02-28,11.46
2025-03-31,11.36
2025-04-30,10.78
2025-05-31,10.38
2025-06-30,12.97
2025-07-31,10.65
2025-08-31,11.8
2025-09-30,11.5
2025-10-31,11.9
2025-11-30,12.46
2025-12-31,11
2026-01-31,10.01
2026-02-28,9.89
2026-03-31,9.12
2026-04-30,9.13
2026-05-31,10.28
2026-06-30,9.06
2026-07-31,8.02
2026-08-31,8.37
2026-09-22,8.25
