Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,,,,,530.0,,,,,,,,millions,USD
FY2007,76330.0,60222.0,16108.0,21.103104939080307,4794.0,6.280623608017817,5889.0,2637.0,3.45473601467313,1.97,3230.0,1805.0,1425.0,31322.0,,,,1056.0,1372.0,78.0,0.2288,,,,,millions,USD
H1-2008,42466.3,33800.1,8666.2,20.40724056487144,2848.2,6.706965287769359,3457.5,1523.3,3.5870796372653135,1.06,1392.1,955.3,436.79999999999995,,,,,,1468.5,61.8,0.12,,,,,millions,USD
Q2 2008,21140.3,16767.1,4373.2,20.686556009138943,1478.1,6.991859150532395,,774.8,3.6650378660662333,0.54,,,,,,,,615.7,1468.7,,0.06,,,,,millions,USD
Q3 2008,20863.4,16462.8,4400.6,21.09243939147023,1466.2,7.0276177420746375,,736.0,3.5277088106444774,0.51,786.2000000000003,527.9000000000001,258.3000000000002,,,,,1282.3,1469.7,,0.069,,,,,millions,USD
FY2008,87472.0,69182.0,18290.0,20.909548198280593,6046.0,6.911926102066947,7320.0,3212.0,3.6720321931589535,2.23,3947.0,2180.0,1767.0,34574.0,60960.0,26385.5,8710.0,1352.0,1469.0,92.0,0.258,,,,,millions,USD
Q1 2009,23394.0,18646.0,4748.0,20.29580234248098,1377.0,5.886124647345473,1731.0,739.0,3.1589296400786524,0.51,771.0,466.0,305.0,,,,,997.0,1469.0,22.0,0.0763,,,,,millions,USD
H1-2009,48265.0,38465.0,9800.0,20.304568527918782,2977.0,6.168030664042266,3713.0,1625.0,3.366828965088574,1.12,1323.0,1091.0,232.0,,,,,,1470.0,75.0,0.1525,,,,,millions,USD
Q2 2009,24871.0,19819.0,5052.0,20.312814120863656,1600.0,6.433195287684451,,887.0,3.566402637610068,0.61,552.0,625.0,-73.0,36151.6,61036.0,,9708.8,1225.0,1472.0,,0.0763,,,,,millions,USD
Q3 2009,24642.0,19630.0,5012.0,20.339258177096013,1566.0,6.35500365230095,,1021.0,4.143332521710899,0.71,907.0,661.0,246.0,35674.9,61879.3,26204.4,10860.1,1130.0,1445.0,,0.0763,,,,,millions,USD
Q4 2009,25822.0,,5568.0,21.563008287506776,1895.0,7.338703431182712,,1049.0,4.0624273874990315,0.75,,,,,,,,,,,0.0763,,,,,millions,USD
FY2009,98215.0,77857.0,20358.0,20.72799470549305,6425.0,6.54177060530469,7814.0,3696.0,3.7631726314717713,2.58,4035.0,2548.0,1487.0,35768.0,61641.0,,13279.0,1086.0,1450.0,165.0,0.305,,,,,millions,USD
Q1 2010,23593.0,19014.0,4738.0,20.082227779426102,1404.0,5.950917645064214,1762.0,770.0,3.2636799050565846,0.56,1060.0,401.0,659.0,35694.0,61284.0,,10858.0,1047.0,1396.0,37.0,0.0875,,,,,millions,USD
H1-2010,47767.0,38001.0,9766.0,20.445077145309522,2911.0,6.094165428015157,3637.0,1592.0,3.3328448510477946,1.16,1712.0,866.0,846.0,,,,,,1381.0,75.0,0.175,,,,,millions,USD
Q2 2010,23885.0,18987.0,5012.0,20.983881096922754,1494.0,6.254971739585515,,821.0,3.437303747121624,0.61,652.0,465.0,187.0,35872.0,61524.0,,10109.0,1107.0,1369.0,,0.0875,,,,,millions,USD
Q3 2010,23711.0,18696.0,5015.0,21.15052085529923,1478.0,6.233393783476024,,808.0,3.407701067015309,0.59,1292.0,513.0,779.0,36637.0,61713.0,,9757.0,979.0,1368.0,,0.0875,,,,,millions,USD
Q4 2010,24589.0,,5454.0,22.180649884094514,1761.0,7.161738988978812,,1025.0,4.1685306437838054,0.75,,,,,,,,,,,0.0875,,,,,millions,USD
FY2010,95778.0,75559.0,20219.0,21.110275846227736,6137.0,6.4075257365992195,7606.0,3424.0,3.574933700849882,2.51,4779.0,2005.0,2774.0,37700.0,62169.0,,9757.0,1427.0,1377.0,150.0,0.35,,,,,millions,USD
Q1 2011,25695.0,20953.0,4742.0,18.45495232535513,1305.0,5.078809106830122,1679.0,712.0,2.7709671142245575,0.52,1866.0,309.0,1557.0,37919.0,62828.0,,10306.0,2162.0,1371.0,36.0,0.125,,,,,millions,USD
H1-2011,52109.0,42281.0,9828.0,18.860465562570766,2789.0,5.352242414937919,3554.0,1527.0,2.930395900900036,1.13,3073.0,710.0,2363.0,,,,,,1368.0,65.0,0.25,,,,,millions,USD
Q2 2011,26414.0,21328.0,5086.0,19.254940561823275,1484.0,5.618232755357008,,815.0,3.085484970091618,0.6,1207.0,401.0,806.0,38244.0,65487.0,,12016.0,2228.0,1364.0,,0.125,,,,,millions,USD
Q3 2011,26674.0,21496.0,5178.0,19.412161655544725,1584.0,5.9383669490890005,,867.0,3.2503561520581843,0.65,1962.0,458.0,1504.0,37487.0,65251.0,,10271.0,1707.0,1340.0,,0.125,,,,,millions,USD
Q4 2011,28317.0,,5555.0,19.61719108662641,1957.0,6.911042836458664,,1063.0,3.7539287353886355,0.82,,,,,,,,,,,0.125,,,,,millions,USD
FY2011,107080.0,86518.0,20562.0,19.20246544639522,6331.0,5.9124019424729175,7899.0,3458.0,3.2293612252521484,2.59,5856.0,1872.0,3984.0,38013.0,64852.0,,9264.0,1413.0,1347.0,135.0,0.5,,,,,millions,USD
Q1 2012,30792.0,25685.0,5106.0,16.58222915042868,1397.0,4.5368926994024426,1820.0,771.0,2.503897116134061,0.6,2786.0,376.0,2410.0,38053.0,66006.0,,9211.0,2211.0,1309.0,36.0,0.1625,,,,,millions,USD
H1-2012,61512.0,50950.0,10562.0,17.17063337235011,3111.0,5.057549746390948,3965.0,1740.0,2.828716348029653,1.35,4017.0,818.0,3199.0,,,,,,1298.0,64.0,0.325,,,,,millions,USD
Q2 2012,30694.0,25265.0,5443.0,17.73310744770965,1702.0,5.545057665993354,,961.0,3.130905062878739,0.76,1231.0,442.0,789.0,37913.0,65589.0,,9213.0,1823.0,1287.0,,0.1625,,,,,millions,USD
Q3 2012,30237.0,24580.0,5645.0,18.669180143532756,1812.0,5.992658001785892,,1005.0,3.323742434765354,0.8,923.0,496.0,427.0,36916.0,64796.0,,9215.0,1233.0,1274.0,,0.1625,,,,,millions,USD
Q4 2012,31397.0,,6294.0,20.04650125808198,2299.0,7.3223556390737965,,1125.0,3.5831448864541198,0.91,,,,,,,,,,,0.1625,,,,,millions,USD
FY2012,123120.0,100632.0,22488.0,18.265107212475634,7210.0,5.856075373619233,8963.0,3862.0,3.1367771280051984,3.04,6671.0,2030.0,4641.0,37653.0,66221.0,,9138.0,1375.0,1280.0,132.0,0.65,,,,,millions,USD
Q1 2013,30751.0,25174.0,5577.0,18.135995577379596,1694.0,5.508763942636012,2196.0,954.0,3.102338135345192,0.77,1640.0,318.0,1322.0,38209.0,66068.0,,9364.0,1551.0,1241.0,34.0,0.225,,,,,millions,USD
H1-2013,61999.0,50581.0,11418.0,18.416426071388248,3666.0,5.91299859675156,4617.0,2078.0,3.351666962370361,1.69,2542.0,804.0,1738.0,,,,,,1238.0,66.0,0.45,,,,,millions,USD
Q2 2013,31248.0,25407.0,5841.0,18.692396313364053,1972.0,6.310803891449053,,1124.0,3.5970302099334357,0.92,902.0,486.0,416.0,38906.0,66284.0,,9376.0,1174.0,1236.0,,0.225,,,,,millions,USD
Q3 2013,31932.0,25905.0,6027.0,18.874483276963545,2154.0,6.745584366779406,,1249.0,3.9114368032068145,1.03,1703.0,526.0,1177.0,38534.0,67805.0,,9391.0,1505.0,1226.0,,0.225,,,,,millions,USD
Q4 2013,32830.0,,6338.0,19.30551325007615,2217.0,6.75296984465428,,1265.0,3.8531830642704845,1.06,,,,,,,,,,,0.225,,,,,millions,USD
FY2013,126761.0,102978.0,23783.0,18.762079819502844,8037.0,6.340278161264111,9907.0,4592.0,3.6225653000528553,3.77,5783.0,1984.0,3799.0,37938.0,71526.0,,13402.0,4089.0,1226.0,141.0,0.9,,,,,millions,USD
Q1 2014,32689.0,26747.0,5942.0,18.17736853375753,2024.0,6.19168527639267,2501.0,1129.0,3.453761204074765,0.96,2172.0,388.0,1784.0,38212.0,72822.0,,,2766.0,1190.0,35.0,0.275,,,,,millions,USD
H1-2014,67291.0,55025.0,12266.0,18.228292044998586,4232.0,6.289102554576393,5197.0,2375.0,3.5294467313608058,2.03,3069.0,891.0,2178.0,,,,,,1182.0,77.0,0.55,,,,,millions,USD
Q2 2014,34602.0,28278.0,6324.0,18.276400208080457,2208.0,6.381134038494885,,1246.0,3.600947922085428,1.07,897.0,503.0,394.0,38132.0,72593.0,,,1612.0,1174.0,42.0,0.275,,,,,millions,USD
Q3 2014,35021.0,28553.0,6468.0,18.468918648810714,2246.0,6.413294880214729,,948.0,2.7069472602152995,0.82,1645.0,545.0,1100.0,38109.0,73576.0,,,1132.0,1164.0,44.0,0.275,,,,,millions,USD
Q4 2014,37055.0,,6633.0,17.900418297125896,2321.0,6.263662123869923,,,,1.15,,,,,,,,,,,0.275,,,,,millions,USD
FY2014,139367.0,114000.0,25367.0,18.20158287112444,8799.0,6.313546248394526,10730.0,4644.0,3.3322092030394566,3.98,8137.0,2136.0,6001.0,37963.0,74187.0,,12205.0,2481.0,1169.0,165.0,1.1,,,,,millions,USD
Q1 2015,36332.0,30168.0,6164.0,16.965760211383905,2132.0,5.868105251568865,2622.0,1221.0,3.3606737861939884,1.08,1984.0,419.0,1565.0,36995.0,73930.0,,,1518.0,1136.0,44.0,0.35,,,,,millions,USD
H1-2015,73501.0,60935.0,12566.0,17.096366035836247,4394.0,5.97814995714344,5372.0,2493.0,3.391790587883158,2.2,3021.0,942.0,2079.0,,,,,,1134.0,88.0,0.7,,,,,millions,USD
Q2 2015,37169.0,30767.0,6402.0,17.224030778336786,2262.0,6.085716591783476,,1272.0,3.422206677607684,1.13,1037.0,523.0,514.0,37133.0,74668.0,,,1244.0,1132.0,44.0,0.35,,,,,millions,USD
Q3 2015,38644.0,31983.0,6661.0,17.23682848566401,2331.0,6.031984266639064,,1246.0,3.224303902287548,1.11,1820.0,548.0,1272.0,37180.0,92362.0,,27222.0,2890.0,1121.0,87.0,0.35,,,,,millions,USD
Q4 2015,41145.0,,7301.0,17.74456191517803,2729.0,6.63264066107668,,1498.0,3.6407825981285695,1.35,,,,,,,,,,,0.35,,,,,millions,USD
FY2015,153290.0,126762.0,26528.0,17.305760323569704,9475.0,6.181094657185726,11567.0,5239.0,3.41770500358797,4.66,8539.0,2367.0,6172.0,37203.0,92437.0,,27464.0,2459.0,1126.0,230.0,1.4,,,,,millions,USD
Q1 2016,43215.0,36471.0,6744.0,15.605692467893093,2185.0,5.056114774962397,2802.0,1146.0,2.651856994099271,1.04,2439.0,598.0,1841.0,36031.0,92634.0,,,1779.0,1099.0,57.0,0.425,,,,,millions,USD
H1-2016,86940.0,73181.0,13759.0,15.825856912813435,4542.0,5.224292615596964,5778.0,2071.0,2.382102599493904,1.91,4086.0,1102.0,2984.0,,,,,,1087.0,107.0,0.85,,,,,millions,USD
Q2 2016,43725.0,36710.0,7015.0,16.043453401943967,2357.0,5.390508862206976,,924.0,2.1132075471698113,0.86,1647.0,504.0,1143.0,34766.0,92748.0,,,1127.0,1075.0,50.0,0.425,,,,,millions,USD
Q3 2016,44615.0,37123.0,7492.0,16.79255855653928,2824.0,6.329709738877059,,1540.0,3.4517538944301243,1.44,3934.0,505.0,3429.0,35954.0,94156.0,,,2189.0,1073.0,58.0,0.425,,,,,millions,USD
Q4 2016,45971.0,,7606.0,16.545213286637228,3000.0,6.525853255313133,,1707.0,3.7132105022731725,1.6,,,,,,,,,,,0.425,,,,,millions,USD
FY2016,177546.0,146533.0,28857.0,16.253252678179177,10386.0,5.849751613666317,12861.0,5319.0,2.9958433307424555,4.93,10141.0,2224.0,7917.0,36834.0,94462.0,,25657.0,3371.0,1079.0,222.0,1.7,,,,,millions,USD
Q1 2017,44520.0,37943.0,6580.0,14.779874213836477,1799.0,4.0408805031446535,2418.0,953.0,2.1406109613656783,0.92,3533.0,457.0,3076.0,33842.0,92670.0,,25743.0,2217.0,1035.0,55.0,0.5,,,,,millions,USD
H1-2017,90199.0,76702.0,13497.0,14.963580527500305,3910.0,4.334859588243773,5152.0,2051.0,2.2738611292808124,1.99,5532.0,888.0,4644.0,,,,,,1029.0,108.0,1.0,,,,,millions,USD
Q2 2017,45689.0,38759.0,6935.0,15.17870822298584,2121.0,4.642255247433737,,1098.0,2.403204272363151,1.07,1999.0,431.0,1568.0,34147.0,92525.0,,25742.0,2094.0,1024.0,53.0,0.5,,,,,millions,USD
Q3 2017,46186.0,39064.0,7126.0,15.428917853895118,2504.0,5.421556315766683,,1285.0,2.7822283808946433,1.26,2611.0,524.0,2087.0,34868.0,92853.0,,27993.0,2485.0,1020.0,65.0,0.5,,,,,millions,USD
Q4 2017,48391.0,,7904.0,16.333615754995765,3114.0,6.435080903473786,,3287.0,6.7925853981112185,3.23,,,,,,,,,,,0.5,,,,,millions,USD
FY2017,184786.0,153448.0,28545.0,15.447598844068274,9538.0,5.161646445077008,12018.0,6623.0,3.5841459850854505,6.47,8007.0,1918.0,6089.0,37695.0,95131.0,57436.0,30547.0,1696.0,1024.0,234.0,2.0,,,,,millions,USD
Q1 2018,45743.0,37505.0,6859.0,14.994643989244254,1996.0,4.36350917080209,2640.0,998.0,2.181754585401045,0.98,2355.0,482.0,1873.0,38677.0,135139.0,96462.0,68642.0,42023.0,1019.0,55.0,0.5,,,,,millions,USD
H1-2018,194579.0,156447.0,14060.0,7.225856849917001,4021.0,2.066512830264314,5312.0,-1565.0,-0.8043005668648724,-1.54,5289.0,912.0,4377.0,,,,,,1017.0,110.0,1.0,,,,,millions,USD
Q2 2018,46922.0,38876.0,7201.0,15.346745663015216,-1373.0,-2.926132730915136,,-2563.0,-5.462256510805166,-2.52,2934.0,430.0,2504.0,35611.0,133290.0,97679.0,68640.0,43815.0,1018.0,54.0,0.5,,,,,millions,USD
Q3 2018,47490.0,39502.0,7328.0,15.430616971994105,2574.0,5.42008843967151,,1390.0,2.926931985681196,1.36,1097.0,540.0,557.0,36622.0,131506.0,94884.0,65039.0,41587.0,1022.0,62.0,0.5,,,,,millions,USD
Q4 2018,54424.0,,,,824.0,1.5140379244450977,,-419.0,-0.7698809348816699,-0.37,,,,,,,,,,,0.5,,,,,millions,USD
FY2018,194579.0,156447.0,,,4021.0,2.066512830264314,6739.0,-596.0,-0.30630232450572775,-0.57,8865.0,2037.0,6828.0,58543.0,196456.0,137913.0,72709.0,4059.0,1295.0,280.0,2.0,,,,,millions,USD
Q1 2019,61646.0,37247.0,,,2690.0,4.363624566070792,3801.0,1421.0,2.305096843266392,1.09,1948.0,716.0,1232.0,60006.0,219768.0,159762.0,71781.0,5896.0,1302.0,114.0,0.5,,,,,millions,USD
H1-2019,125077.0,76217.0,,,6022.0,4.81463418534183,8205.0,3358.0,2.6847461963430526,2.58,7286.0,1289.0,5997.0,,,,,,1302.0,226.0,1.0,,,,,millions,USD
