Date,Close
2016-10-01,84.1
2016-11-01,76.89
2016-12-01,78.91
2017-01-01,78.81
2017-02-01,80.58
2017-03-01,78.5
2017-04-01,82.44
2017-05-01,76.83
2017-06-01,80.46
2017-07-01,79.93
2017-08-01,77.34
2017-09-01,81.32
2017-10-01,68.53
2017-11-01,76.6
2017-12-01,72.5
2018-01-01,78.69
2018-02-01,67.73
2018-03-01,62.21
2018-04-01,69.83
2018-05-01,63.39
2018-06-01,64.35
2018-07-01,64.86
2018-08-01,75.24
2018-09-01,78.72
2018-10-01,72.39
2018-11-01,80.2
2018-12-01,65.52
2019-01-01,65.55
2019-02-01,57.83
2019-03-01,53.93
2019-04-01,54.38
2019-05-01,52.37
2019-06-01,54.49
2019-07-01,55.87
2019-08-01,60.92
2019-09-01,63.07
2019-10-01,66.39
2019-11-01,75.27
2019-12-01,74.29
2020-01-01,67.82
2020-02-01,59.18
2020-03-01,59.33
2020-04-01,61.55
2020-05-01,65.57
2020-06-01,64.97
2020-07-01,62.94
2020-08-01,62.12
2020-09-01,58.4
2020-10-01,56.09
2020-11-01,67.79
2020-12-01,68.3
2021-01-01,71.65
2021-02-01,68.13
2021-03-01,75.23
2021-04-01,76.4
2021-05-01,86.44
2021-06-01,83.44
2021-07-01,82.36
2021-08-01,86.39
2021-09-01,84.86
2021-10-01,89.28
2021-11-01,89.06
2021-12-01,103.16
2022-01-01,106.51
2022-02-01,103.65
2022-03-01,101.21
2022-04-01,96.13
2022-05-01,96.75
2022-06-01,92.66
2022-07-01,95.68
2022-08-01,98.15
2022-09-01,95.37
2022-10-01,94.7
2022-11-01,101.88
2022-12-01,93.19
2023-01-01,88.22
2023-02-01,83.54
2023-03-01,74.31
2023-04-01,73.31
2023-05-01,68.03
2023-06-01,69.13
2023-07-01,74.69
2023-08-01,65.17
2023-09-01,69.82
2023-10-01,69.01
2023-11-01,67.95
2023-12-01,78.96
2024-01-01,74.37
2024-02-01,74.37
2024-03-01,79.76
2024-04-01,67.71
2024-05-01,59.6
2024-06-01,59.06
2024-07-01,60.33
2024-08-01,57.24
2024-09-01,62.88
2024-10-01,56.46
2024-11-01,59.85
2024-12-01,44.89
2025-01-01,56.48
2025-02-01,65.72
2025-03-01,67.75
2025-04-01,66.71
2025-05-01,64.04
2025-06-01,68.98
2025-07-01,62.1
2025-08-01,73.15
2025-09-01,75.39
2025-10-01,78.15
2025-11-01,80.36
2025-12-01,79.36
2026-01-01,74.52
2026-02-01,79.9
2026-03-01,71.82
2026-04-01,83.29
2026-05-01,90.98
2026-06-01,103.45
2026-07-01,104.43
2026-08-01,93.91
2026-09-01,85.05
2026-09-25,89.13
