Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,,,,,10493.0,,,,,,,,millions,USD
FY2007,220904.0,,,,,,,18795.0,8.508220765581429,8.83,24977.0,16678.0,8299.0,77292.0,,,,7362.0,,,,,,,,millions,USD
Q1 2008,65946.0,,,,,,,5168.0,7.836714887938616,2.5,8107.0,-4452.0,3655.0,,,,,8208.0,2080.209,,,,,,,millions,USD
H1-2008,148935.0,,,,,,,11205.0,7.523416255413435,5.41,15311.0,8971.0,6340.0,,,,,,2072.549,,,,,,,millions,USD
Q2 2008,82989.0,,,,,,,6009.0,7.240718649459567,2.91,7204.0,13423.0,-6219.0,,,,,8180.0,2064.888,,,,,,,millions,USD
Q3 2008,78867.0,,,,,,,7925.0,10.048562770233431,3.88,9113.0,4661.0,4452.0,,,,,10636.0,2044.616,,,,,,,millions,USD
FY2008,273005.0,,,,,,,24031.0,8.802402886394022,11.74,29632.0,19666.0,9966.0,87117.0,161165.0,74048.0,5742.0,9347.0,2050.0,,,,,,,millions,USD
Q1 2009,36130.0,,,,,,,1854.0,5.131469692776086,0.92,2404.0,5984.0,-3580.0,87816.0,159426.0,71610.0,10848.0,9150.0,1999.509,,0.65,,,,,millions,USD
H1-2009,76335.0,,,,,,,3615.0,4.735704460601297,1.8,5688.0,10414.0,-4726.0,,,,,,1999.588,,1.3,,,,,millions,USD
Q2 2009,40205.0,,,,,,,1761.0,4.380052232309414,0.88,3284.0,4430.0,-1146.0,88480.0,161201.0,72721.0,10850.0,7236.0,1999.667,,0.65,,,,,millions,USD
Q3 2009,46625.0,,,,,,,3846.0,8.248793565683647,1.92,6665.0,4074.0,2591.0,91222.0,162561.0,71339.0,9973.0,7568.0,2000.586,,0.68,,,,,millions,USD
FY2009,171636.0,,,,,,,10563.0,6.1543032930154515,5.26,19373.0,19843.0,-470.0,92561.0,164621.0,72060.0,14403.0,8716.0,2001.0,,,,,,,millions,USD
Q1 2010,48179.0,,,,,,,4580.0,9.506216401336683,2.28,7517.0,3967.0,3550.0,96052.0,168932.0,72880.0,9793.0,7376.0,2004.217,,0.68,,,,,millions,USD
H1-2010,101183.0,,,,,,,10024.0,9.906802526116048,4.99,15120.0,8519.0,6601.0,,,,,,2005.114,,1.4,,,,,millions,USD
Q2 2010,53004.0,,,,,,,5444.0,10.27092294921138,2.71,7603.0,4552.0,3051.0,100291.0,171746.0,71455.0,9793.0,9396.0,2006.0,,0.72,,,,,millions,USD
Q3 2010,49718.0,,,,,,,3792.0,7.627016372339998,1.89,7982.0,5589.0,2393.0,102965.0,177199.0,74234.0,10143.0,10995.0,2006.785,,0.72,,,,,millions,USD
FY2010,204928.0,,,,,,,19136.0,9.33791380387258,9.53,31354.0,19612.0,11742.0,105811.0,184769.0,78958.0,16590.0,14060.0,2007.0,,,,,,,millions,USD
Q1 2011,60341.0,,,,,,,6239.0,10.339570109875542,3.11,9814.0,4645.0,5169.0,110850.0,194736.0,83886.0,9484.0,13149.0,2008.584,,0.72,,,,,millions,USD
H1-2011,129289.0,,,,,,,13999.0,10.827680622481417,6.99,20504.0,12418.0,8086.0,,,,,,2008.791,,1.5,,,,,millions,USD
Q2 2011,68948.0,,,,,,,7760.0,11.254858734118466,3.88,10690.0,7773.0,2917.0,116430.0,201717.0,85287.0,9484.0,13335.0,2008.995,,0.78,,,,,millions,USD
Q3 2011,64432.0,,,,,,,7857.0,12.194251303700025,3.94,11522.0,6775.0,4747.0,121676.0,204099.0,82423.0,9384.0,14229.0,1998.673,,0.78,,,,,millions,USD
FY2011,253706.0,,,,,,,27008.0,10.645392698635428,13.54,41095.0,26500.0,14595.0,122181.0,209474.0,87293.0,15624.0,15864.0,2001.0,,,,,,,millions,USD
Q1 2012,60705.0,,,,,,,6499.0,10.705872662877852,3.3,8387.0,5895.0,2492.0,126326.0,214890.0,88564.0,8765.0,18871.0,1978.781,,0.81,,,,,millions,USD
H1-2012,123313.0,,,,,,,13731.0,11.135079026542213,6.98,18302.0,12962.0,5340.0,,,,,,1973.386,,1.71,,,,,millions,USD
Q2 2012,62608.0,,,,,,,7232.0,11.551239458216202,3.68,9915.0,7067.0,2848.0,131289.0,219379.0,88090.0,9765.0,21209.0,1967.99,,0.9,,,,,millions,USD
Q3 2012,58044.0,,,,,,,5308.0,9.144786713527669,2.71,7730.0,7490.0,240.0,134222.0,226864.0,92642.0,10065.0,21313.0,1960.141,,0.9,,,,,millions,USD
FY2012,241909.0,,,,,,,26336.0,10.886738401630366,13.42,38812.0,30938.0,7874.0,137832.0,232982.0,95150.0,17993.0,20939.0,1965.0,,,,,,,millions,USD
Q1 2013,56818.0,,,,,,,6239.0,10.980675138160443,3.2,5714.0,8192.0,-2478.0,141486.0,237410.0,95924.0,11960.0,17374.0,1943.931,,0.9,,,,,millions,USD
H1-2013,114187.0,,,,,,,11643.0,10.196432168285357,6.0,14234.0,16765.0,-2531.0,,,,,,1940.337,,1.9,,,,,millions,USD
Q2 2013,57369.0,,,,,,,5404.0,9.419721452352317,2.8,8520.0,8573.0,-53.0,144164.0,244048.0,99884.0,17960.0,20630.0,1936.783,,1.0,,,,,millions,USD
Q3 2013,58503.0,,,,,,,4996.0,8.539733005145035,2.58,10316.0,9607.0,709.0,146073.0,247838.0,101765.0,17960.0,17014.0,1929.831,,1.0,,,,,millions,USD
FY2013,228848.0,,,,,,,21597.0,9.437268405229672,11.18,35002.0,37985.0,-2983.0,150427.0,253753.0,103326.0,28334.0,16245.0,1932.0,,,,,,,millions,USD
Q1 2014,53265.0,,,,,,,4521.0,8.487749929597296,2.38,8417.0,8544.0,-127.0,151810.0,258238.0,106428.0,19960.0,15612.0,1909.424,,1.0,,,,,millions,USD
H1-2014,111203.0,,,,,,,10211.0,9.18230623274552,5.38,16298.0,17475.0,-1177.0,,,,,,1905.853,,2.07,,,,,millions,USD
Q2 2014,57938.0,,,,,,,5690.0,9.820842970071455,3.0,7881.0,8931.0,-1050.0,154747.0,262045.0,107298.0,19960.0,13959.0,1902.321,,1.07,,,,,millions,USD
Q3 2014,54679.0,,,,,,,5627.0,10.290970939483165,2.97,8680.0,8264.0,416.0,157307.0,265431.0,108124.0,19960.0,14215.0,1896.492,,1.07,,,,,millions,USD
FY2014,211970.0,,,,,,,19310.0,9.109779685804595,10.21,31475.0,35407.0,-3932.0,156191.0,266026.0,109835.0,35750.0,12785.0,1898.0,,,,,,,millions,USD
Q1 2015,34558.0,,,,,,,2600.0,7.523583540714161,1.38,2319.0,7602.0,-5283.0,157001.0,269604.0,112603.0,29960.0,12675.0,1876.498,,1.07,,,,,millions,USD
H1-2015,74915.0,,,,,,,3208.0,4.282186478008409,1.68,9539.0,15245.0,-5706.0,,,,,,1876.603,,2.14,,,,,millions,USD
Q2 2015,40357.0,,,,,,,608.0,1.5065540055009046,0.3,7220.0,7643.0,-423.0,155891.0,266455.0,110564.0,29210.0,12156.0,1876.705,,1.07,,,,,millions,USD
Q3 2015,34315.0,,,,,,,2057.0,5.994463062800524,1.09,5360.0,6810.0,-1450.0,155938.0,268449.0,112511.0,29210.0,12933.0,1872.42,,1.07,,,,,millions,USD
FY2015,138477.0,,,,,,,4710.0,3.4012868563010468,2.46,19456.0,29504.0,-10048.0,153886.0,264540.0,110654.0,46469.0,11022.0,1875.0,,,,,,,millions,USD
Q1 2016,23553.0,,,,,,,-725.0,-3.0781641404492,-0.39,1141.0,5566.0,-4425.0,151476.0,263842.0,112366.0,32635.0,8562.0,1869.775,,1.07,,,,,millions,USD
H1-2016,52835.0,,,,,,,-2195.0,-4.154443077505442,-1.17,3672.0,10035.0,-6363.0,,,,,,1870.885,,2.14,,,,,millions,USD
Q2 2016,29282.0,,,,,,,-1470.0,-5.02014889693327,-0.78,2531.0,4469.0,-1938.0,148325.0,261478.0,113153.0,39487.0,8764.0,1871.995,,1.07,,,,,millions,USD
Q3 2016,30140.0,,,,,,,1301.0,4.316522893165229,0.68,5311.0,4065.0,1246.0,147952.0,259863.0,111911.0,39462.0,7351.0,1883.342,,1.07,,,,,millions,USD
FY2016,114472.0,59321.0,,,,,,-497.0,-0.4341673072891188,-0.27,12690.0,18109.0,-5419.0,146722.0,260078.0,113356.0,55033.0,6988.0,1873.0,,,,,,,millions,USD
Q1 2017,33421.0,,,,,,,2699.0,8.075760749229527,1.43,3777.0,3315.0,462.0,147790.0,259111.0,111321.0,36864.0,6983.0,1895.393,,1.08,,,,,millions,USD
H1-2017,67901.0,35831.0,,,,,,4165.0,6.133930280850061,2.2,8748.0,6539.0,2209.0,,,,,,1894.197,,2.16,,,,,millions,USD
Q2 2017,34480.0,18325.0,,,,,,1466.0,4.251740139211137,0.77,4971.0,3224.0,1747.0,147388.0,254599.0,107211.0,33989.0,4762.0,1893.014,,1.08,,,,,millions,USD
Q3 2017,36205.0,18776.0,,,,,,1986.0,5.485430189200387,1.03,5497.0,3224.0,2273.0,147911.0,255160.0,107249.0,33983.0,6641.0,1895.879,,1.08,,,,,millions,USD
FY2017,141722.0,75765.0,,,,,,9269.0,6.540268977293574,4.88,20338.0,13404.0,6934.0,149319.0,253806.0,104487.0,48669.0,4813.0,1898.0,,,,,,,millions,USD
Q1 2018,37764.0,21233.0,,,,,,3659.0,9.689121915051372,1.92,5043.0,2997.0,2046.0,151566.0,256442.0,104876.0,31054.0,6466.0,1913.218,,1.12,,,,,millions,USD
H1-2018,80000.0,45977.0,,,,,,7081.0,8.85125,3.71,11898.0,6223.0,5675.0,,,,,,1916.099,,2.24,,,,,millions,USD
Q2 2018,42236.0,24744.0,,,,,,3422.0,8.102093001231177,1.79,6855.0,3226.0,3629.0,153380.0,257929.0,104549.0,29779.0,7628.0,1918.949,,1.12,,,,,millions,USD
Q3 2018,43987.0,24681.0,,,,,,4056.0,9.22090617682497,2.13,9569.0,3578.0,5991.0,154673.0,256606.0,101933.0,29854.0,9686.0,1917.474,,,,,,,millions,USD
FY2018,166339.0,94578.0,,,,,,14860.0,8.933563385616122,7.81,30618.0,13792.0,16826.0,155642.0,253863.0,98221.0,44359.0,9342.0,1914.0,,,,,,,millions,USD
Q1 2019,35200.0,19703.0,,,,,,2649.0,7.525568181818182,1.4,5057.0,2953.0,2104.0,156118.0,256809.0,100691.0,,8699.0,1900.748,,,,,,,millions,USD
H1-2019,74050.0,40538.0,,,,,,6954.0,9.39095205941931,3.68,13840.0,6537.0,7303.0,,,,,,1901.869,,,,,,,millions,USD
Q2 2019,38850.0,20835.0,,,,,,4305.0,11.081081081081082,2.28,8783.0,3584.0,5199.0,157451.0,255878.0,98427.0,,8513.0,1902.977,,,,,,,millions,USD
Q3 2019,36116.0,19882.0,,,,,,2580.0,7.143648244545354,1.38,7817.0,3369.0,4448.0,156892.0,256537.0,99645.0,,11697.0,1893.928,,,,,,,millions,USD
FY2019,146516.0,80113.0,,,,,,2924.0,1.9956864779273256,1.55,27314.0,14116.0,13198.0,145208.0,237428.0,92220.0,36723.0,,1895.0,,,,,,,millions,USD
Q1 2020,31501.0,15509.0,,,,,,3599.0,11.425034125900766,1.93,4722.0,3133.0,1589.0,144914.0,236677.0,91763.0,,,1865.649,,,,,,,millions,USD
H1-2020,45631.0,23653.0,,,,,,-4696.0,-10.29124936994587,-2.51,4802.0,5225.0,-423.0,,,,,,1857.793,,,,,,,millions,USD
Q2 2020,15926.0,8144.0,,,,,,-8277.0,-51.97161873665704,-4.44,80.0,2092.0,-2012.0,134386.0,223403.0,89017.0,,,1853.313,,,,,,,millions,USD
Q3 2020,24451.0,13448.0,,,,,,-209.0,-0.8547707660218395,-0.12,3537.0,1630.0,1907.0,132038.0,223063.0,91025.0,,,1853.533,,,,,,,millions,USD
FY2020,94692.0,52148.0,,,,,,-5561.0,-5.872724200566045,-2.96,10577.0,8922.0,1655.0,132726.0,239790.0,107064.0,54140.0,5596.0,1870.0,,,,,,,millions,USD
Q1 2021,32029.0,17568.0,,,,,,1398.0,4.364794405070405,0.72,4196.0,1746.0,2450.0,132933.0,241645.0,108712.0,,,1915.889,,,,,,,millions,USD
H1-2021,69626.0,38197.0,,,,,,4492.0,6.451612903225806,2.33,11150.0,3543.0,7607.0,,,,,,1918.94,,,,,,,millions,USD
Q2 2021,37597.0,20629.0,,,,,,3094.0,8.229380003723701,1.61,6954.0,1797.0,5157.0,133911.0,242806.0,108895.0,,7527.0,1921.958,,,,,,,millions,USD
Q3 2021,44710.0,23834.0,,,,,,6115.0,13.677029747260121,3.19,8579.0,1907.0,6672.0,136722.0,239948.0,103226.0,,5998.0,1921.095,,,,,,,millions,USD
FY2021,162465.0,92249.0,,,,,,15689.0,9.656849167513002,8.15,29187.0,8056.0,21131.0,139940.0,239535.0,99595.0,39128.0,5640.0,1920.0,,,,,,,millions,USD
Q1 2022,54373.0,33411.0,,,,,,6277.0,11.544332665109522,3.23,8055.0,1960.0,6095.0,147100.0,249048.0,101948.0,,11671.0,1944.542,,,,,,,millions,USD
H1-2022,123135.0,74095.0,,,,,,17992.0,14.6116051488204,9.21,21837.0,5144.0,16693.0,,,,,,1950.86,,,,,,,millions,USD
Q2 2022,68762.0,40684.0,,,,,,11715.0,17.037026264506558,5.98,13782.0,3184.0,10598.0,154562.0,257936.0,103374.0,,12029.0,1957.109,,,,,,,millions,USD
Q3 2022,66644.0,38751.0,,,,,,11238.0,16.862733329331974,5.81,15267.0,2995.0,12272.0,159627.0,259735.0,100108.0,,15164.0,1940.002,,,,,,,millions,USD
FY2022,246252.0,145416.0,,,,,,35608.0,14.459984081347562,18.36,49602.0,11974.0,37628.0,160242.0,257709.0,97467.0,27389.0,17678.0,1940.0,,5.68,,,,,millions,USD
Q1 2023,50793.0,29407.0,,,,,,6605.0,13.00376036067962,3.48,7205.0,3038.0,4167.0,160434.0,255886.0,95452.0,,15668.0,1900.785,,,,,,,millions,USD
H1-2023,99689.0,58391.0,,,,,,12613.0,12.652348804782875,6.7,13502.0,6795.0,6707.0,,,,,,1888.077,,,,,,,millions,USD
Q2 2023,48896.0,28984.0,,,,,,6010.0,12.291393979057592,3.22,6297.0,3757.0,2540.0,159298.0,251779.0,92481.0,,9292.0,1875.508,,,,,,,millions,USD
Q3 2023,54080.0,32328.0,,,,,,6555.0,12.120931952662723,3.48,9673.0,4673.0,5000.0,166248.0,263927.0,97679.0,,5797.0,1877.104,,1.51,,,,,millions,USD
FY2023,200949.0,119196.0,,,,,,21411.0,10.65494229879223,11.41,35609.0,15829.0,19780.0,161929.0,261632.0,99703.0,25379.0,8178.0,1880.0,,6.04,,,,,millions,USD
Q1 2024,48716.0,27741.0,,,,,,5551.0,11.394613679284014,2.99,6828.0,4089.0,2739.0,161656.0,261651.0,99995.0,,6278.0,1849.116,,1.63,,,,,millions,USD
H1-2024,99897.0,58608.0,,,,,,9994.0,10.004304433566572,5.42,13123.0,8055.0,5068.0,,,,,,1841.274,,3.26,,,,,millions,USD
Q2 2024,51181.0,30867.0,,,,,,4443.0,8.680955823450107,2.43,6295.0,3966.0,2329.0,160263.0,260644.0,100381.0,,4008.0,1833.431,,1.63,,,,,millions,USD
Q3 2024,50669.0,30450.0,,,,,,4496.0,8.87327557283546,2.49,9674.0,4055.0,5619.0,157030.0,259232.0,102202.0,,,1807.03,,1.63,,,,,millions,USD
FY2024,202792.0,119206.0,,,,,,17749.0,8.752317645666496,9.76,31492.0,16448.0,15044.0,153157.0,256938.0,103781.0,32791.0,,1817.0,,6.52,,,,,millions,USD
Q1 2025,47610.0,28610.0,,,,,,3512.0,7.376601554295316,2.01,5189.0,3927.0,1262.0,150080.0,256397.0,106317.0,,,1751.441,,1.71,,,,,millions,USD
H1-2025,92432.0,55468.0,,,,,,6027.0,6.520469101609833,3.46,13765.0,7639.0,6126.0,,,,,,1737.844,,3.42,,,,,millions,USD
Q2 2025,44822.0,26858.0,,,,,,2515.0,5.611083842755789,1.45,8576.0,3712.0,4864.0,147258.0,250820.0,103562.0,,,1724.397,,1.71,,,,,millions,USD
Q3 2025,49726.0,27398.0,,,,,,3613.0,7.265816675381089,1.83,9385.0,4444.0,4941.0,195600.0,326501.0,130901.0,,,1946.035,,1.71,,,,,millions,USD
FY2025,189031.0,108214.0,,,,,,12485.0,6.604736789203887,6.65,33939.0,17347.0,16592.0,192176.0,324012.0,131836.0,50699.0,,1856.0,,6.84,,,,,millions,USD
Q1 2026,48607.0,28265.0,,,,,,2293.0,4.717427531014051,1.12,2514.0,4063.0,-1549.0,189371.0,329551.0,140180.0,,,1985.9,,1.78,,,,,millions,USD
H1-2026,118662.0,64872.0,,,,,,14507.0,12.22548077733394,7.23,25147.0,8601.0,16546.0,,,,,,1980.464,,3.56,,,,,millions,USD
Q2 2026,70055.0,36607.0,,,,,,12214.0,17.434872600099922,6.13,22633.0,4538.0,18095.0,195558.0,330135.0,134577.0,,,1975.087,,1.78,,,,,millions,USD
