Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,SubscriptionRevenue,ProfessionalServicesRevenue,EPS_alt,ARR,Customers,ACV
9M 2021,74.4,14.7,59.7,80.3,-10.5,-14.1,,-12.1,-16.3,-0.37,,,-4.2,,,,,,,,0,millions,USD,68.5,,-0.37,103.5,2636,39.3
Q1 2021,21.7,3.8,17.9,82.2,-5.6,-25.8,,-5.6,-25.8,-0.17,,0.171,,197.257,254.714,57.457,217.4,32781080,,0.378,0,millions,USD,19.8,,-0.17,,,197.3
H1 2021,47.4,9,38.4,81.0,-12.0,-25.3,,-12.8,-27,-0.40,,0.371,-3.2,193.839,257.393,63.554,0.002,216.311,,0.917,0,millions,USD,43.4,,-0.40,93.4,2485,37.6
Q2 2021,25.6,5.1,20.5,79.9,-6.3,-24.6,,-7.2,-28.1,-0.22,,0.2,-0.8,193.839,257.393,63.554,0.002,216.311,,0.539,0,millions,USD,23.6,,-0.22,93.4,2485,37.6
Q3 2021,27.1,5.7,21.4,79.0,1.5,5.5,,0.7,2.6,0.02,,,-1.0,,,,,215.5,,,0,millions,USD,25.1,,0.02,103.5,2636,39.3
9M 2022,104.0,20.7,83.3,80.1,4.3,4.1,,5.4,5.2,0.16,,,-0.5,,,,,,,,0,millions,USD,95.3,,0.16,144.6,3245,44.6
Q1 2022,32.1,6.6,25.5,79.6,-5.7,-17.8,,-7.0,-21.8,-0.21,,,-2.4,,,,,,,,0,millions,USD,29.1,,-0.21,,,
H1 2022,67.0,13.5,53.5,79.8,-4.8,-7.2,,-4.9,-7.3,-0.14,,,-1.4,,,,,,,,0,millions,USD,61.0,,-0.14,138.2,3106,44.5
Q2 2022,34.9,6.9,28.0,80.0,2.1,6.0,,2.1,6,0.06,,,1.0,,,,,,,,0,millions,USD,31.9,,0.06,138.2,3106,44.5
Q3 2022,37.0,7.2,29.8,80.7,9.0,24.3,,10.3,27.8,0.31,,,0.6,,,,,,,,0,millions,USD,34.3,,0.31,144.6,3245,44.6
FY2022,142.912,28.178,114.734,80.3,4.185,2.9,,7.018,4.9,0.21,2.288,1.081,1.207,192.211,283.669,91.458,,216.293,33067716,4.713,0,millions,USD,129.3,,0.21,153.3,3395,45.2
9M 2023,131.6,25.3,106.3,80.8,-4.8,-3.6,,-0.4,-0.3,-0.01,9.488,0.386,13.1,,,,,,,,0,millions,USD,123.3,,-0.01,181.8,3679,49.4
Q1 2023,41.5,8.1,33.4,80.6,-0.4,-1.0,,1.2,2.9,0.04,-2.181,0.107,-2.3,,,,,,,,0,millions,USD,38.8,,0.04,164.9,3506,47.0
