Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
Q4 2007,,,,,,,,,,,,,,298.638,,,,54.525,,,,,,,,millions,USD
Q4 2008,,,,,,,,,,,,,,384.665,,,,176.804,,,,,,,,millions,USD
FY2008,,,305.318,,116.919,,,73.948,,1.89,53.276,22.218,31.058000000000003,,,,,,39.585,10.193,,,,,,millions,USD
H1-2009,,,99.698,,22.551,,,15.219,,0.39,-9.895,6.563,-16.458,,,,,,39.624,4.873,,,,,,millions,USD
Q2 2009,,,40.785,,3.225,,,2.879,,0.07,,,,,,,,108.163,39.63,,,,,,,millions,USD
Q3 2009,,,97.951,,53.08,,,33.825,,0.87,-24.537000000000003,4.6979999999999995,-29.235000000000003,,,,,75.612,39.21,,,,,,,millions,USD
Q4 2009,,,,,,,,,,,,,,491.904,599.043,,,315.862,38.604,,,,,,,millions,USD
FY2009,,,371.09,,181.247,,,116.919,,2.99,185.474,13.699,171.77499999999998,,,,,,39.393,13.016,,,,,,millions,USD
Q1 2010,,,77.907,,28.821,,,18.14,,0.46,21.617,3.238,18.379,,,,,,39.06,2.942,,,,,,millions,USD
H1-2010,,,138.65,,42.037,,,27.05,,0.69,4.174,6.733,-2.5589999999999993,,,,,,39.081,6.557,,,,,,millions,USD
Q2 2010,,,60.743,,13.216,,,8.966,,0.23,-17.443,3.4949999999999997,-20.938000000000002,522.981,634.542,,,333.745,39.081,,,,,,,millions,USD
Q3 2010,,,130.953,,66.314,,,41.972,,1.09,-66.10000000000001,7.763000000000001,-73.86300000000001,562.322,697.178,,,250.536,39.228,,,,,,,millions,USD
Q4 2010,,,233.335,,,,,,,2.31,,,,655.675,808.994,,,445.226,38.581,,,,,,,millions,USD
FY2010,,,502.938,,249.088,,,160.377,,4.1,139.922,22.489,117.43299999999999,,,,,357.328,39.292,12.782,,,,,,millions,USD
Q1 2011,,,102.478,,28.195,,,19.833,,0.5,3.583,5.06,-1.4769999999999994,,,,,,39.397,2.827,,,,,,millions,USD
H1-2011,,,168.39,,17.397,,,12.305,,0.31,-78.379,13.91,-92.289,,,,,,39.304,6.83,,,,,,millions,USD
Q2 2011,,,65.912,,-10.798,,,-7.528,,-0.19,-81.962,8.850000000000001,-90.81200000000001,652.101,795.127,,,325.17,38.67,,,,,,,millions,USD
Q3 2011,,,202.853,,90.661,,,62.345,,1.62,,7.573,,718.315,1045.679,,,90.425,39.19,,,,,,,millions,USD
Q4 2011,,,307.752,,,,,,,3.23,,,,841.43,1146.196,,,263.606,38.692,,,,,,,millions,USD
FY2011,,,678.995,,284.838,,310.26500000000004,201.858,,5.16,,55.538,,675.207,753.93,,,437.9,39.265,14.803,,,,,,millions,USD
Q1 2012,,,113.288,,11.933,,,8.035,,0.2,,11.188,,,,,,,39.094,3.97,,,,,,millions,USD
H1-2012,,,186.867,,-16.775,,,-12.104,,-0.32,,25.951,,,,,,,38.244,8.957,,,,,,millions,USD
Q2 2012,,,73.579,,-28.708,,,-20.139,,-0.53,,14.763,,720.124,1025.003,,,114.401,37.873,,,,,,,millions,USD
Q3 2012,,,159.293,,59.609,,,43.061,,1.19,,16.051000000000002,,681.779,1256.343,,,61.636,36.577,,,,,,,millions,USD
Q4 2012,,,285.994,,,,,,,2.81,,,,738.801,1068.064,,,110.247,34.4,,,,,,,millions,USD
FY2012,,,632.154,,186.948,,220.368,129.014,,3.49,,61.575,,833.159,980.371,,,228.571,37.334,14.661,,,,,,millions,USD
Q1 2013,,,123.559,,2.652,,,1.007,,0.03,,12.104,,,,,,,34.788,2.404,,,,,,millions,USD
H1-2013,,,193.391,,-40.099,,,-28.268,,-0.82,,28.818,,,,,,,34.428,6.406,,,,,,millions,USD
Q2 2013,,,69.832,,-42.751,,,-29.275,,-0.85,,16.714,,718.232,1022.115,,,49.126,34.493,4.002,,,,,,millions,USD
