Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AdjustedEBIT,AdjustedEBITMargin,AdjustedEPS,EmployeesFTE,OrganicRevenueGrowth,Acquisitions,GearingMultiple,LivesImprovedMillion,NetInterestBearingDebt,ProfitContinuingOperations
FY2016,12002.0,-2972.0,9030.0,75.2,1942.0,16.2,2346.0,1464.0,12.2,5.53,1679.0,-299.0,1223.0,6961.0,15548.0,8587.0,5507.0,710.0,263.75,0.0,0.0,,,,,millions,DKK,2130.0,,,12339.0,,,1.7,,4036.0,
FY2017,13189.0,-3163.0,10026.0,76.0,2338.0,17.7,2742.0,1759.0,13.3,6.84,1872.0,-292.0,1387.0,7433.0,16222.0,8789.0,5565.0,651.0,256.56,0.0,0.0,,,,,millions,DKK,2504.0,,,13280.0,,,1.5,,4030.0,
FY2018,13937.0,-3153.0,10784.0,77.4,2532.0,18.2,2978.0,1830.0,13.1,7.32,1683.0,-409.0,1185.0,7059.0,17935.0,10876.0,7128.0,248.0,249.14,0.0,0.0,,,,,millions,DKK,2652.0,,,14250.0,,,2.0,,5835.0,
FY2019,14946.0,-3621.0,11325.0,75.8,2151.0,14.4,3110.0,1467.0,9.8,6.0,2149.0,-561.0,1338.0,7645.0,21798.0,14153.0,9989.0,792.0,243.55,1.0,0.0,,,,,millions,DKK,2151.0,,,15352.0,,,2.6,,8185.0,
FY2020,14469.0,-4276.0,10193.0,70.4,1530.0,10.6,2578.0,1134.0,7.8,4.68,2621.0,-493.0,2023.0,8250.0,21927.0,13677.0,9004.0,952.0,239.78,4.0,0.0,,,,,millions,DKK,1530.0,,,16155.0,-13.0,,2.8,8.5,7135.0,
H1 FY2021,9012.0,-2294.0,6718.0,74.5,1682.0,18.7,2162.0,1183.0,13.1,4.94,1511.0,-203.0,1234.0,7764.0,23579.0,15815.0,8446.0,1221.0,237.66,27.0,0.0,,,,,millions,DKK,1682.0,,,,,,2.1,,,
FY2021,17905.0,-4447.0,13458.0,75.2,3663.0,20.5,4730.0,2528.0,14.1,10.7,3593.0,-547.0,2838.0,7977.0,24860.0,16883.0,11338.0,1172.0,234.82,8.0,0.0,,,,,millions,DKK,3663.0,20.5,11.48,16866.0,27.0,-708.0,1.9,8.8,9150.0,2711.0
H1 FY2022,9497.0,-2414.0,7083.0,74.6,1588.0,16.7,2128.0,1050.0,11.1,4.6,915.0,-301.0,398.0,8179.0,27335.0,19156.0,13421.0,1245.0,227.98,38.0,0.0,,,,,millions,DKK,1588.0,,,,,,2.4,,,1157.0
FY2022,19705.0,-5036.0,14669.0,74.4,3207.0,16.3,4383.0,2084.0,10.6,9.21,2622.0,-630.0,1617.0,8561.0,29857.0,21296.0,15076.0,1130.0,226.01,80.0,0.0,,,,,millions,DKK,3207.0,16.3,10.06,19239.0,4.0,-2323.0,2.9,9.4,12711.0,2276.0
H1 FY2023,11155.0,-2982.0,8173.0,73.3,2162.0,19.4,2662.0,582.0,5.2,2.6,1863.0,-306.0,1490.0,8984.0,29833.0,20849.0,14410.0,1158.0,223.17,45.0,0.0,,,,,millions,DKK,2162.0,,,,15.0,,2.5,,,1258.0
FY2023,21601.0,-5281.0,16320.0,75.6,4506.0,20.9,5799.0,1798.0,8.3,8.04,4458.0,-621.0,3622.0,9256.0,30546.0,21290.0,14454.0,1138.0,223.13,63.0,0.0,,,,,millions,DKK,4506.0,20.9,12.64,20690.0,14.0,-935.0,2.1,10.3,12280.0,2823.0
H1 FY2024,11087.0,-2577.0,8510.0,76.8,2192.0,19.8,2897.0,1200.0,10.8,5.47,1491.0,-286.0,1157.0,9439.0,32390.0,22951.0,15827.0,1048.0,218.97,24.0,0.0,,,,,millions,DKK,2068.0,,5.61,21373.0,3.0,-763.0,2.3,10.6,13853.0,1354.0
FY2024,22419.0,-5329.0,17090.0,76.2,4528.0,20.2,5963.0,2388.0,10.7,10.99,4080.0,-545.0,3486.0,9564.0,32450.0,22886.0,15681.0,1112.0,217.2,44.0,0.0,,,,,millions,DKK,4404.0,19.6,12.74,21381.0,2.0,-1234.0,2.3,10.9,13545.0,2892.0
H1 FY2025,11253.0,-2706.0,8547.0,76.0,1849.0,16.4,2593.0,1117.0,9.9,5.28,1513.0,-307.0,1126.0,9396.0,32640.0,23244.0,16179.0,1142.0,211.6,22.0,0.0,,,,,millions,DKK,1849.0,,5.34,21777.0,0.0,-849.0,2.5,11.2,14099.0,1130.0
FY2025,22971.0,-5600.0,17371.0,75.6,3832.0,16.7,5351.0,1544.0,6.7,7.31,3852.0,-605.0,3094.0,9842.0,39074.0,29232.0,20988.0,1330.0,211.3,34.0,0.0,,,,,millions,DKK,3960.0,17.2,11.74,22248.0,2.0,-6285.0,3.4,12.1,18742.0,2367.0
H1 FY2026,12913.0,-2955.0,9958.0,77.1,1918.0,14.9,2805.0,1185.0,9.2,5.62,1603.0,-259.0,1284.0,11241.0,40025.0,28784.0,20282.0,1496.0,211.0,29.0,0.0,,,,,millions,DKK,2134.0,16.5,6.4,24786.0,14.0,-250.0,3.0,12.6,,1185.0
