Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,255.8,119.96,135.8,53.1,77.1,30.1,92.2,46.8,18.3,46.31,57.769,45.896,11.872999999999998,325.961,773.787,447.826,285.754,4.264,101.13,0.0,13.0,millions,NZD
H1 FY2019,144.339,74.491,69.848,48.4,41.365,28.7,49.0,25.31,17.5,25.03,21.28,17.196,4.084,352.45,723.319,370.869,298.528,6.994,101.13,0.0,,millions,NZD
FY2019,277.974,143.102,134.872,48.5,77.555,27.9,98.1,46.795,16.8,46.27,59.565,30.393,29.171999999999997,356.696,795.839,439.143,275.989,5.647,101.13,0.0,15.0,millions,NZD
H1 FY2020,159.076,82.817,76.259,47.9,47.224,29.7,57.9,29.854,18.8,29.52,35.47,11.537,23.933,369.3,799.072,429.772,275.771,7.968,101.13,0.0,,millions,NZD
FY2020,304.181,152.251,151.9,49.9,97.639,32.1,117.4,65.427,21.5,64.7,84.313,27.176,57.137,404.58,819.496,414.916,254.296,14.755,101.13,0.0,17.0,millions,NZD
H1 FY2021,177.684,92.291,85.393,48.1,59.089,33.3,70.7,39.232,22.1,38.79,42.899,36.304,6.594999999999999,424.392,862.795,438.403,265.739,11.679,101.13,0.0,,millions,NZD
FY2021,305.376,159.118,146.3,47.9,94.97,31.1,117.8,61.923,20.3,61.23,74.28,59.816,14.463999999999999,453.85,883.806,429.956,258.001,8.943,101.13,0.0,17.0,millions,NZD
H1 FY2022,181.884,98.996,82.888,45.6,55.741,30.6,67.1,36.737,20.2,36.33,20.241,14.955,5.286,470.69,908.538,437.848,271.502,4.477,101.13,0.0,,millions,NZD
FY2022,325.566,174.602,151.0,46.4,95.566,29.4,119.0,63.014,19.4,62.31,65.643,36.462,29.180999999999997,499.466,967.347,467.881,253.777,5.117,101.13,0.0,20.0,millions,NZD
H1 FY2023,209.158,112.749,96.409,46.1,62.965,30.1,75.0,40.728,19.5,40.27,35.259,30.366,4.893000000000001,518.359,1009.977,491.618,313.904,8.134,101.13,0.0,,millions,NZD
FY2023,381.442,211.634,169.8,44.5,104.477,27.4,128.1,64.825,17.0,64.1,59.716,62.857,-3.1409999999999982,544.771,1063.307,518.536,326.008,6.61,101.13,0.0,20.0,millions,NZD
H1 FY2024,203.08,113.016,90.064,44.3,55.97,27.6,68.8,33.447,16.5,33.07,35.754,43.351,-7.597000000000001,556.188,1105.63,549.442,357.553,5.296,101.13,0.0,,millions,NZD
FY2024,378.346,228.488,149.9,39.6,81.283,21.5,107.2,31.377,8.3,31.03,56.861,65.978,-9.116999999999997,555.999,1115.915,559.916,369.478,9.384,101.13,0.0,20.0,millions,NZD
H1 FY2025,178.644,96.413,82.231,46.0,26.404,14.8,39.7,12.467,7.0,12.33,75.554,37.395,38.159,551.963,1125.373,573.41,353.794,8.161,101.13,0.0,,millions,NZD
FY2025,349.556,187.557,162.0,46.3,86.118,24.6,113.6,49.038,14.0,48.49,105.662,46.389,59.273,586.115,1134.651,548.536,337.179,8.625,101.13,0.0,20.0,millions,NZD
H1 FY2026,179.575,94.177,85.398,47.6,41.166,22.9,56.0,22.807,12.7,22.55,62.338,10.519,51.819,592.161,1136.282,544.121,323.426,16.397,101.13,0.0,,millions,NZD
