Date,Close
2016-10-01,28.83
2016-11-01,27.72
2016-12-01,27.33
2017-01-01,29.91
2017-02-01,32
2017-03-01,33.31
2017-04-01,32.89
2017-05-01,32.69
2017-06-01,34.57
2017-07-01,35.69
2017-08-01,36.15
2017-09-01,39.93
2017-10-01,44.21
2017-11-01,51
2017-12-01,51.07
2018-01-01,49.05
2018-02-01,41.9
2018-03-01,43.84
2018-04-01,44.14
2018-05-01,42.21
2018-06-01,41
2018-07-01,43.7
2018-08-01,44.51
2018-09-01,42.18
2018-10-01,35.96
2018-11-01,37.22
2018-12-01,34.66
2019-01-01,38.45
2019-02-01,38.89
2019-03-01,41.38
2019-04-01,44.31
2019-05-01,42.76
2019-06-01,43.13
2019-07-01,45.93
2019-08-01,49.47
2019-09-01,52.71
2019-10-01,52.37
2019-11-01,55.35
2019-12-01,52.75
2020-01-01,59.2
2020-02-01,53.27
2020-03-01,34
2020-04-01,47.22
2020-05-01,55.3
2020-06-01,55.45
2020-07-01,66.16
2020-08-01,71.37
2020-09-01,75.63
2020-10-01,66.81
2020-11-01,74.5
2020-12-01,68.92
2021-01-01,76.8
2021-02-01,76.87
2021-03-01,89.12
2021-04-01,98.29
2021-05-01,95.29
2021-06-01,90.37
2021-07-01,95.43
2021-08-01,95.62
2021-09-01,83.97
2021-10-01,89.27
2021-11-01,97.7
2021-12-01,108.45
2022-01-01,89.22
2022-02-01,85.4
2022-03-01,74.51
2022-04-01,69.59
2022-05-01,75.15
2022-06-01,66.19
2022-07-01,78.03
2022-08-01,71.15
2022-09-01,67.35
2022-10-01,76.88
2022-11-01,86
2022-12-01,89.14
2023-01-01,98.69
2023-02-01,92.48
2023-03-01,97.69
2023-04-01,109.82
2023-05-01,106.84
2023-06-01,121.69
2023-07-01,127.02
2023-08-01,119.02
2023-09-01,107.47
2023-10-01,104.4
2023-11-01,127.67
2023-12-01,151.98
2024-01-01,142.91
2024-02-01,149.44
2024-03-01,164.55
2024-04-01,142.49
2024-05-01,147.8
2024-06-01,140.93
2024-07-01,179.93
2024-08-01,188.76
2024-09-01,190.77
2024-10-01,169
2024-11-01,168.78
2024-12-01,139.82
2025-01-01,141.9
2025-02-01,126.81
2025-03-01,127.13
2025-04-01,126.34
2025-05-01,118.06
2025-06-01,128.92
2025-07-01,142.84
2025-08-01,169.48
2025-09-01,169.47
2025-10-01,149.08
2025-11-01,159.01
2025-12-01,144.03
2026-01-01,148.84
2026-02-01,160.39
2026-03-01,137.22
2026-04-01,153.86
2026-05-01,147.09
2026-06-01,162.88
2026-07-01,143.06
2026-08-01,144.56
2026-09-01,140.35
2026-09-25,141.51
