Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2018,5798.5,,,,52.3,0.9019574027765801,237.5,-11.1,-0.1914288177977063,-2.6,307.1,230.7,76.4,3206.1,7274.9,4068.8,1518.3,490.4,590.5,,13.0,millions,AUD
FY2018,12016.6,,,,204.8,1.704309039162492,575.0,71.4,0.5941780536923922,10.7,583.3,403.8,179.5,3205.1,7788.2,4583.1,1521.2,606.2,594.7,2.8,14.0,millions,AUD
H1-2019,6304.6,,,,236.6,3.7528154046251943,413.0,134.2,2.128604510991974,22.0,355.3,197.6,157.7,3015.3,7662.1,4646.8,1436.0,505.3,591.1,,14.0,millions,AUD
FY2019,12789.4,,,,462.2,3.6139302860181086,822.2,261.8,2.0470076782335376,42.9,630.2,391.0,239.2,3050.2,8008.0,4957.8,1703.5,710.7,594.7,4.0,14.0,millions,AUD
H1-2020,6506.6,,,,180.4,2.7725693910798266,429.3,86.3,1.3263455568192295,13.9,-4.5,181.8,-186.3,2987.7,8655.8,5668.1,2629.1,514.9,592.2,,14.0,millions,AUD
FY2020,12669.4,,,,-41.3,-0.32598228803258245,476.0,-150.3,-1.186322951363127,-26.6,178.8,352.4,-173.6,2620.5,8672.5,6052.0,2814.5,588.5,594.7,4.8,0.0,millions,AUD
H1-2021,5789.7,,,,162.4,2.80498125982348,429.3,73.9,1.2764046496364234,10.3,350.2,135.0,215.2,2943.4,8256.9,5313.5,2367.8,550.4,686.2,,9.0,millions,AUD
FY2021,11530.2,,,,334.8,2.9036790341884786,829.2,181.6,1.5749943626303098,25.4,708.7,278.6,430.1,2957.4,8072.1,5114.7,2144.4,811.4,696.9,-0.4,12.0,millions,AUD
H1-2022,5443.3,,,,172.0,3.1598478863924457,350.3,88.6,1.6276890856649457,12.4,270.4,140.7,129.7,2891.0,7312.8,4421.8,1779.6,676.7,690.8,,12.0,millions,AUD
FY2022,10972.3,,,,306.5,2.7933979202172745,648.7,140.0,1.2759403224483472,21.3,495.4,279.8,215.6,2811.8,7429.2,4617.4,1905.6,738.5,675.4,4.2,12.0,millions,AUD
H1-2023,5693.1,,,,129.8,2.2799529254711843,290.6,68.1,1.1961848553512144,9.3,-35.4,100.2,-135.6,2787.2,7291.3,4504.1,1885.1,450.4,672.6,,5.0,millions,AUD
FY2023,11640.4,,,,-253.5,-2.177760214425621,82.7,-385.7,-3.3134600185560634,-59.0,318.2,263.0,55.2,2289.8,7314.3,5024.5,2133.6,889.1,671.6,4.2,8.0,millions,AUD
H1-2024,5537.1,,,,127.6,2.3044554008415954,297.8,72.1,1.3021256614473278,9.8,168.2,75.8,92.4,2302.2,6584.0,4281.8,1735.2,553.4,670.4,,6.0,millions,AUD
FY2024,10979.5,,,,180.5,1.6439728585090396,526.5,69.1,0.6293547064984745,10.3,544.1,146.3,397.8,2259.4,6748.2,4488.8,2489.1,837.6,671.6,3.2,11.0,millions,AUD
H1-2025,5196.2,,,,133.4,2.5672606905046,296.9,69.3,1.3336669104345482,10.3,220.1,58.8,161.3,,,,,639.8,670.4,,10.8,millions,AUD
FY2025,10481.5,,,,283.2,2.7019033535276438,625.7,136.7,1.3042026427515145,20.4,562.5,122.9,439.6,2240.3,6479.0,4238.7,1537.0,833.8,671.6,3.7,14.1,millions,AUD
H1-2026,4828.0,,,,175.5,3.6350455675227837,317.3,93.4,1.9345484672742337,14.0,226.8,55.9,170.9,2149.8,6081.6,3931.8,1295.5,683.4,668.2,,12.9,millions,AUD
