Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,Customers
H1 FY2016,457.508,389.1,68.408,15.0,6.104,1.3,7.836,4.261,0.9,0.0277,-86.48,1.574,-88.054,35.034,146.482,111.448,0.0,14.605,153974950.0,0.0,,,,,,millions,AUD,
FY2016,983.223,836.649,146.574,14.9,18.869,1.9,22.407,13.83,1.4,0.0898,6.818,3.334,3.484,40.626,317.84,277.214,0.487,102.279,153974950.0,0.0,0.08,,,,,millions,AUD,
H1 FY2017,506.023,432.072,73.951,14.6,8.112,1.6,9.742,5.708,1.1,0.0371,-73.969,2.312,-76.281,38.027,150.52,112.493,0.291,17.417,153974950.0,0.0,,,,,,millions,AUD,
FY2017,1098.221,939.342,158.879,14.5,21.665,2.0,24.73,15.375,1.4,0.0999,51.251,3.953,47.298,42.755,340.071,297.316,0.303,135.695,153974950.0,0.0,0.089,,,,,millions,AUD,
H1 FY2018,547.346,475.589,71.757,13.1,4.074,0.7,5.549,2.712,0.5,0.0176,-108.527,1.596,-110.123,36.188,163.849,127.661,0.329,16.273,154160530.0,0.0,,,,,,millions,AUD,
FY2018,1181.411,1021.299,160.112,13.6,19.498,1.7,22.437,14.078,1.2,0.0914,8.153,3.394,4.759,45.04,373.763,328.723,0.21,128.348,154160530.0,0.0,0.082,,,,,millions,AUD,
H1 FY2019,644.35,562.05,82.3,12.8,9.159,1.4,10.399,6.147,1.0,0.0399,-109.795,1.004,-110.799,41.02,185.419,144.399,0.107,7.302,154160530.0,0.094,,,,,,millions,AUD,
FY2019,1415.569,1241.662,173.907,12.3,25.758,1.8,28.285,18.112,1.3,0.1176,11.676,2.95,8.726,47.445,458.994,411.549,0.032,121.198,154160530.0,0.165,0.107,,,,,millions,AUD,
H1 FY2020,718.869,630.269,88.6,12.3,12.315,1.7,14.711,8.695,1.2,0.0565,-84.848,0.826,-85.674,45.101,235.196,190.095,17.048,22.841,154517877.0,0.221,,,,,,millions,AUD,
FY2020,1623.841,1435.862,187.979,11.6,34.079,2.1,38.984,23.636,1.5,0.1535,160.214,3.936,156.278,52.71,587.438,534.728,18.253,255.147,154517877.0,0.441,0.139,,,,,millions,AUD,
H1 FY2021,856.738,767.038,89.7,10.5,14.024,1.6,16.728,9.379,1.1,0.0609,-169.301,1.578,-170.879,47.808,293.889,246.081,27.171,67.883,154665272.0,0.328,,,,,,millions,AUD,
FY2021,1955.247,1760.501,194.746,10.0,37.664,1.9,,25.414,1.3,0.1651,-22.691,1.922,-24.613,56.305,694.825,638.52,26.866,204.323,154665272.0,0.617,0.15,,,,,millions,AUD,
H1 FY2022,999.297,893.897,105.4,10.5,19.104,1.9,21.554,12.353,1.2,0.0801,-121.611,2.191,-123.802,54.58,311.907,257.327,26.526,64.598,154831784.0,0.42,,,,,,millions,AUD,
FY2022,2192.421,1974.203,218.218,10.0,45.196,2.1,50.484,30.262,1.4,0.1961,-22.623,3.875,-26.498,61.697,770.887,709.19,25.645,149.459,154831784.0,0.83,0.179,,,,,millions,AUD,
H1 FY2023,1166.09,1046.09,120.0,10.3,23.694,2.0,27.261,17.062,1.5,0.1104,-88.795,0.465,-89.26,63.252,386.915,323.663,25.168,42.455,155055216.0,0.471,,,,,,millions,AUD,
FY2023,2560.7,2310.049,250.651,9.8,50.973,2.0,57.253,37.03,1.4,0.2396,291.016,0.981,290.035,68.345,935.605,867.26,23.883,404.766,155055216.0,1.009,0.219,,,,,millions,AUD,
H1 FY2024,1321.858,1191.258,130.6,9.9,24.533,1.9,27.669,21.421,1.6,0.1385,-266.936,0.252,-267.188,71.68,392.585,320.905,22.177,117.127,155235505.0,0.528,,,,,,millions,AUD,
FY2024,2754.181,2484.09,270.091,9.8,53.497,1.9,59.8,43.311,1.6,0.28,-86.19,0.607,-86.797,74.916,866.147,791.231,20.595,276.381,155235505.0,1.162,0.255,,,,,millions,AUD,
H1 FY2025,1419.435,1275.835,143.6,10.1,26.019,1.8,29.235,22.35,1.6,0.1443,-123.818,0.429,-124.247,78.378,418.254,339.876,18.688,131.008,155357824.0,0.518,,,,,,millions,AUD,
FY2025,3003.362,2713.643,289.719,9.6,59.917,2.0,66.403,48.194,1.6,0.3112,126.294,2.169,124.125,84.169,942.098,857.929,18.547,356.689,155357824.0,1.001,0.281,,,,,millions,AUD,
H1 FY2026,1548.772,1404.772,144.0,9.3,27.642,1.8,30.906,23.171,1.5,0.1495,-204.318,1.072,-205.39,84.355,426.906,342.551,12.809,125.412,155499721.0,0.684,,,,,,millions,AUD,
FY2026,3385.279,3080.106,305.173,9.0,69.841,2.1,76.408,54.522,1.6,0.3516,23.254,5.042,18.212,95.162,1095.025,999.863,22.672,326.047,155499721.0,1.191,0.3175,,,,,millions,AUD,5000.0
