Date,Close
2016-09-30,1.58
2016-10-31,1.645
2016-11-30,1.535
2016-12-31,1.8
2017-01-31,1.615
2017-02-28,1.64
2017-03-31,1.72
2017-04-30,1.64
2017-05-31,1.725
2017-06-30,1.78
2017-07-31,1.83
2017-08-31,1.715
2017-09-30,1.89
2017-10-31,1.915
2017-11-30,1.815
2017-12-31,1.62
2018-01-31,1.655
2018-02-28,1.59
2018-03-31,1.695
2018-04-30,1.63
2018-05-31,1.6
2018-06-30,1.525
2018-07-31,1.635
2018-08-31,1.48
2018-09-30,1.5
2018-10-31,1.53
2018-11-30,1.5
2018-12-31,1.6
2019-01-31,1.64
2019-02-28,1.77
2019-03-31,1.78
2019-04-30,1.87
2019-05-31,2.12
2019-06-30,2.54
2019-07-31,2.46
2019-08-31,2.97
2019-09-30,3.44
2019-10-31,3.72
2019-11-30,3.71
2019-12-31,4.56
2020-01-31,4.12
2020-02-29,3.44
2020-03-31,3.9
2020-04-30,5.34
2020-05-31,4.54
2020-06-30,5.65
2020-07-31,6.26
2020-08-31,6.56
2020-09-30,6.23
2020-10-31,5.72
2020-11-30,5.61
2020-12-31,5.67
2021-01-31,5.06
2021-02-28,5.19
2021-03-31,6.22
2021-04-30,5.93
2021-05-31,5.61
2021-06-30,4.67
2021-07-31,5.35
2021-08-31,4.79
2021-09-30,5.67
2021-10-31,5.68
2021-11-30,5.88
2021-12-31,5.51
2022-01-31,5.38
2022-02-28,5.9
2022-03-31,5.82
2022-04-30,4.86
2022-05-31,4.66
2022-06-30,6.21
2022-07-31,6.14
2022-08-31,6.25
2022-09-30,6.9
2022-10-31,6.85
2022-11-30,6.77
2022-12-31,7.32
2023-01-31,7.41
2023-02-28,7.28
2023-03-31,7.59
2023-04-30,7.08
2023-05-31,7.2
2023-06-30,7.51
2023-07-31,7.41
2023-08-31,7.08
2023-09-30,6.77
2023-10-31,7.85
2023-11-30,8.44
2023-12-31,9.78
2024-01-31,8.41
2024-02-29,8.28
2024-03-31,7.65
2024-04-30,7.97
2024-05-31,8.37
2024-06-30,8.82
2024-07-31,7.7
2024-08-31,7.58
2024-09-30,7.33
2024-10-31,7.79
2024-11-30,6.39
2024-12-31,6.96
2025-01-31,7.73
2025-02-28,7.25
2025-03-31,7.28
2025-04-30,7.43
2025-05-31,7.61
2025-06-30,7.54
2025-07-31,9.21
2025-08-31,9.18
2025-09-30,8.82
2025-10-31,9.08
2025-11-30,9.01
2025-12-31,9.78
2026-01-31,6.97
2026-02-28,6.65
2026-03-31,8.03
2026-04-30,9.02
2026-05-31,9.85
2026-06-30,9.76
2026-07-31,11.02
2026-08-31,11.09
2026-09-22,11.37
