Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,EquityAwardTaxes,InterestIncome,DandA,DeferredRevenue,CashTaxesPaid,ShareRepurchases,DAU,MAU,Bookings,Subscribers,SubscriptionBookings
Q1 2022,81.3,,59.7,73.5,-8.3,-10.2,9.7,1.0,1.2,,-12.2,,16.9,,,,,,,,,millions,USD,,,,,,,12.5,49.2,93.8,2.9,72.9
Q2 2022,88.4,,65.0,73.5,-4.5,-5.1,9.9,-4.4,-5.0,-0.10,,,18.2,,,,,,,,,millions,USD,,,,,,,13.3,52.3,104.8,3.3,82.4
Q3 2022,92.1,,67.8,73.6,-5.3,-5.8,8.9,-5.3,-5.8,-0.12,,,15.9,,,,,,,,,millions,USD,,,,,,,14.9,54.8,106.1,3.7,90.8
Q4 2022,107.7,,78.8,73.2,8.0,7.4,15.9,-5.0,-4.6,-0.11,,,22.7,,,,,,,,,millions,USD,,,,,,,16.3,60.7,133.3,4.2,103.9
FY2022,369.5,,271.3,73.4,-10.1,-2.7,39.3,1.6,0.4,-0.04,60.8,9.5,73.3,,,,,,,73.8,,millions,USD,,,,,,0.0,14.9,54.8,438.0,4.2,350.0
Q1 2023,115.7,,84.2,72.8,-8.5,-7.3,21.5,-2.6,-2.2,-0.06,,,24.9,,,,,,,,,millions,USD,,,,,,,20.3,72.6,138.5,4.8,114.7
Q2 2023,126.8,,93.1,73.4,-4.9,-3.8,24.9,3.8,3.0,0.08,,,31.3,,,,,,,,,millions,USD,,,,,,,21.4,74.1,146.5,5.2,124.7
Q3 2023,137.6,,101.4,73.7,-4.7,-3.4,31.2,2.8,2.0,0.06,,,38.9,,,,,,,,,millions,USD,,,,,,,24.2,83.1,159.8,5.8,133.9
Q4 2023,151.0,,110.4,73.1,4.8,3.2,42.0,12.4,8.2,0.26,49.2,1.5,57.9,584.8,,,,747.6,44.8,,,millions,USD,,,,,,,26.9,88.4,191.0,6.6,152.1
FY2023,531.1,,389.0,73.3,-13.3,-2.5,93.7,16.1,3.0,0.35,153.6,13.6,142.2,584.8,,,,747.6,44.8,106.7,,millions,USD,11.5,,7.1,249.2,,0.0,24.2,83.1,635.8,6.6,525.4
Q1 2024,167.6,,122.4,73.0,16.4,9.8,46.8,27.0,16.1,0.59,29.6,3.3,38.4,711.1,,,,747.6,45.4,,,millions,USD,,,,,,,31.4,97.6,196.8,7.4,168.6
Q2 2024,178.3,,131.0,73.5,18.7,10.5,49.1,24.4,13.7,0.54,38.4,2.7,40.5,766.9,,,,747.6,45.4,,,millions,USD,,,,,,,34.1,103.6,206.3,8.0,180.3
Q3 2024,192.6,,140.4,72.9,13.6,7.1,54.9,23.4,12.1,0.49,56.3,5.1,51.2,791.6,,,,787.6,45.4,,,millions,USD,,,,,,,37.2,113.1,223.6,8.6,189.9
Q4 2024,209.6,,150.6,71.9,13.9,6.6,64.5,13.9,6.6,0.29,83.3,3.5,87.8,882.0,,,,838.6,46.0,,,millions,USD,,,,,,,40.5,116.7,271.6,9.5,213.9
FY2024,748.0,,544.4,72.8,62.6,8.4,215.3,88.6,11.8,1.91,207.6,14.6,218.0,882.0,,,,838.6,46.0,120.3,,millions,USD,49.4,42.7,10.9,372.9,13.7,0.0,40.5,116.7,898.3,9.5,752.7
Q1 2025,230.7,,164.1,71.1,23.6,10.2,64.7,35.1,15.2,0.74,50.5,3.5,53.9,893.8,,,,877.6,46.0,31.0,,millions,USD,,,,,,,46.0,126.6,267.7,10.4,232.7
Q2 2025,251.7,,182.6,72.6,33.4,13.3,72.1,44.8,17.8,0.94,67.6,2.9,70.5,977.0,,,,1068.1,47.6,,,millions,USD,,,,,,,49.5,131.2,289.1,11.0,251.6
Q3 2025,271.7,,196.9,72.5,35.2,13.0,80.3,292.2,107.5,5.95,84.2,6.8,77.4,1307.5,,,,1121.5,49.1,,,millions,USD,,,,,,,50.5,135.3,313.6,11.5,268.9
Q4 2025,282.9,,205.9,72.8,43.5,15.4,84.3,42.0,14.8,0.84,107.3,13.5,93.7,1347.0,,,0,1036.4,49.8,,,millions,USD,,,,,,,52.7,133.1,336.8,12.2,296.6
FY2025,1037.6,,749.5,72.2,135.6,13.1,305.9,414.1,39.9,8.38,387.8,27.4,360.4,1347.0,,,0,1036.4,49.8,148.6,,millions,USD,41.6,45.2,14.4,496.2,-231.7,0.0,52.7,133.1,1158.4,12.2,996.3
Q1 2026,292.0,,213.1,73.0,44.5,15.3,83.4,43.5,14.9,0.89,150.8,3.0,147.8,1391.8,,,0,1138.6,49.0,37.5,,millions,USD,,11.5,4.2,548.0,,0.0,56.5,137.8,308.5,12.5,268.1
