Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2008,,,,,,,,,,,,,,-19.468,,,,12.7,,,,,,,,millions,USD
FY2009,29.693,26.032,3.661,12.3295052706025,-45.833,-154.35624557976627,-43.433,-53.524,-180.25797325969083,,-39.389,2.992,-42.381,-18.4,,,,3.6,,8.366,,,,,,millions,USD
Q1 2010,9.545,,3.459,36.238868517548454,,,,-20.273,-212.39392352016765,,,,,,,,,,,,,,,,,millions,USD
H1-2010,21.331,13.353,7.978,37.40096573062679,-22.342,-104.73958089166003,-21.253999999999998,-31.96,-149.8288875345741,,-19.742,2.441,-22.183,,,,,,,5.046,,,,,,millions,USD
Q2 2010,11.786,7.267,4.519,38.34210079755643,-11.268,-95.60495503139319,,-11.687,-99.1600203631427,,,,,,,,,6.09,,,,,,,,millions,USD
Q3 2010,11.664,8.188,3.476,29.801097393689986,-13.062,-111.98559670781893,,-13.398,-114.86625514403292,,-9.469999999999999,2.093,-11.562999999999999,,,,,5.529,,,,,,,,millions,USD
Q4 2010,15.636,,6.989,44.69813251470964,,,,-9.812,-62.75262215400358,,,,,,,,,,,,,,,,,millions,USD
FY2010,48.6,30.2,18.4,37.86008230452674,-45.3,-93.20987654320987,-42.9,-55.2,-113.58024691358024,,-42.7,6.9,-49.6,61.0,77.164,16.171,,4.9,62.078,9.4,,,,,,millions,USD
Q1 2011,14.2,9.058,5.1,35.91549295774647,-11.87,-83.59154929577464,-11.064,-11.8,-83.09859154929579,,-9.289,1.791,-11.08,,,,,3.805,,2.548,,,,,,millions,USD
H1-2011,35.591,18.604,16.987,47.72835829282683,-19.259,-54.11199460537777,-17.561,-19.217,-53.99398724396617,,-11.815,2.951,-14.766,,,,,,,6.205,,,,,,millions,USD
Q2 2011,21.4,9.546,11.9,55.60747663551402,-7.389,-34.528037383177576,,-7.4,-34.57943925233645,,-2.526,1.1600000000000001,-3.686,121.575,136.369,14.794,,33.889,67.331,3.6,,,,,,millions,USD
Q3 2011,18.3,10.09,8.2,44.8087431693989,-13.308,-72.72131147540983,,-13.3,-72.6775956284153,,-6.741000000000001,1.5059999999999998,-8.247000000000002,113.065,128.793,15.728,,17.523,67.5,3.7,,,,,,millions,USD
Q4 2011,22.4,,10.7,47.767857142857146,,,,-12.2,-54.46428571428571,,,,,,,,,,,,,,,,,millions,USD
FY2011,76.3,40.4,35.9,47.05111402359109,-44.8,-58.71559633027523,-41.0,-44.7,-58.58453473132372,,-30.1,8.0,-38.1,104.5,120.5,16.0,,2.6,67.5,13.5,,,,,,millions,USD
Q1 2012,20.1,10.7,9.4,46.766169154228855,-15.4,-76.61691542288557,-14.200000000000001,-14.1,-70.14925373134328,,-10.2,2.3,-12.5,99.551,117.962,18.411,,5.1,68.55,4.1,,,,,,millions,USD
H1-2012,43.5,22.9,20.6,47.356321839080465,-30.1,-69.19540229885058,-27.400000000000002,-28.8,-66.20689655172414,,-16.5,5.2,-21.7,,,,,,,9.0,,,,,,millions,USD
Q2 2012,23.5,12.2,11.2,47.659574468085104,-14.7,-62.5531914893617,,-14.7,-62.5531914893617,,-6.300000000000001,2.9000000000000004,-9.200000000000001,91.308,110.522,19.214,,6.0,68.905,4.8,,,,,,millions,USD
Q3 2012,23.1,14.7,8.4,36.36363636363637,-17.3,-74.89177489177489,,-17.3,-74.89177489177489,,-6.0,2.8999999999999995,-8.899999999999999,80.253,102.796,22.543,,4.7,69.25,4.9,,,,,,millions,USD
Q4 2012,33.3,,17.5,52.552552552552555,,,,-8.5,-25.525525525525527,,,,,,,,,,,,,,,,,millions,USD
FY2012,99.9,53.3,46.6,46.646646646646644,-55.7,-55.75575575575576,-49.1,-54.5,-54.55455455455455,,-33.1,9.5,-42.6,77.0,106.0,29.0,7.0,8.1,69.5,18.4,,,,,,millions,USD
Q1 2013,29.6,13.1,16.5,55.74324324324324,-10.9,-36.82432432432432,-9.1,-11.1,-37.49999999999999,,-4.5,1.4,-5.9,73.6,98.8,25.2,7.0,18.9,70.7,5.0,,,,,,millions,USD
H1-2013,65.4,27.0,38.4,58.71559633027522,-20.8,-31.804281345565748,-17.400000000000002,-21.2,-32.415902140672785,,-3.6,3.4,-7.0,,,,,,70.3,11.4,,,,,,millions,USD
Q2 2013,35.8,13.9,21.9,61.1731843575419,-9.9,-27.6536312849162,,-10.1,-28.212290502793298,,0.8999999999999999,2.0,-1.1,72.3,102.3,30.0,7.0,28.2,70.9,6.4,,,,,,millions,USD
Q3 2013,42.9,15.3,27.6,64.33566433566435,-5.8,-13.51981351981352,,-6.0,-13.986013986013987,,1.6,2.1999999999999997,-0.5999999999999996,74.7,110.1,35.4,7.0,33.4,71.4,6.6,,,,,,millions,USD
