Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,4032.0,,,,1371.0,,,,,,,,millions,USD
Q2 2008,804.0,296.0,508.0,63.18407960199005,-97.0,-12.064676616915424,,-95.0,-11.81592039800995,,,31.0,,,,,,1199.0,,50.0,,,,,,millions,USD
Q3 2008,894.0,557.0,337.0,37.69574944071588,-364.0,-40.7158836689038,,-310.0,-34.675615212527966,,,,,,,,,1297.0,,,,,,,,millions,USD
H2-2008,1698.0,853.0,845.0,49.764428739693756,-461.0,-27.14958775029446,,-405.0,-23.851590106007066,,,,,,,,,,,103.0,,,,,,millions,USD
Q4 2008,1654.0,925.0,729.0,44.07496977025393,-304.0,-18.37968561064087,,-641.0,-38.754534461910524,,,,,,,,,1379.0,,,,,,,,millions,USD
FY2008,3665.0,1805.0,1860.0,50.75034106412005,-487.0,-13.287858117326056,,-454.0,-12.38744884038199,,,,,4339.0,,,,1553.0,,150.0,,,,,,millions,USD
Q2 2009,644.0,321.0,323.0,50.15527950310559,-245.0,-38.04347826086957,,-234.0,-36.33540372670808,-0.72,,8.0,,3001.0,4722.0,1721.0,,1205.0,323.0,33.0,,,,,,millions,USD
Q3 2009,788.0,593.0,195.0,24.746192893401016,-417.0,-52.91878172588832,,-391.0,-49.619289340101524,,,,,2656.0,5002.0,2346.0,,1042.0,325.0,,,,,,,millions,USD
H2-2009,1432.0,914.0,518.0,36.1731843575419,-662.0,-46.229050279329606,,-625.0,-43.64525139664804,,,,,,,,,,,77.0,,,,,,millions,USD
Q4 2009,1243.0,654.0,589.0,47.38535800482703,-107.0,-8.608205953338697,,-82.0,-6.596942880128721,,,,,2599.0,4939.0,2340.0,,1114.0,327.0,,,,,,,millions,USD
FY2009,4212.0,2127.0,2085.0,49.5014245014245,-827.0,-19.6343779677113,,-1088.0,-25.8309591642925,,,,,3134.0,4678.0,1544.0,,1621.0,323.0,203.0,,,,,,millions,USD
Q1 2010,979.0,,681.0,69.56077630234934,83.0,8.478038815117467,,30.0,3.0643513789581207,,,,,,,,,,,,,,,,,millions,USD
Q2 2010,815.0,222.0,593.0,72.76073619631902,98.0,12.024539877300613,,96.0,11.779141104294478,0.29,,11.0,,2752.0,4245.0,1493.0,,1057.0,332.0,47.0,,,,,,millions,USD
Q3 2010,631.0,363.0,268.0,42.47226624405705,-252.0,-39.936608557844686,,-201.0,-31.85419968304279,,,,,2638.0,4494.0,1856.0,,1056.0,332.0,,,,,,,millions,USD
H2-2010,1446.0,585.0,861.0,59.54356846473029,-154.0,-10.650069156293222,,-105.0,-7.261410788381744,,,,,,,,,,,90.0,,,,,,millions,USD
Q4 2010,1053.0,586.0,467.0,44.34947768281102,-303.0,-28.774928774928775,,-322.0,-30.57929724596391,,,,,2358.0,4727.0,2369.0,,1353.0,334.0,,,,,,,millions,USD
FY2010,3654.0,1866.0,1788.0,48.93267651888342,-686.0,-18.773946360153257,,-677.0,-18.527640941434047,-2.08,,,,2729.0,4646.0,1917.0,,1273.0,325.0,187.0,,,,,,millions,USD
Q1 2011,1090.0,,762.0,69.90825688073394,145.0,13.302752293577983,,151.0,13.853211009174313,,,,,,,,,,,,,,,,,millions,USD
Q2 2011,999.0,240.0,759.0,75.97597597597597,227.0,22.722722722722725,,221.0,22.12212212212212,0.67,,,,2750.0,4355.0,1605.0,,1173.0,337.0,38.0,,,,,,millions,USD
Q3 2011,715.0,432.0,283.0,39.58041958041958,-374.0,-52.307692307692314,,-340.0,-47.55244755244755,-1.03,,,,2540.0,5435.0,2895.0,,930.0,332.0,,,,,,,millions,USD
H2-2011,1714.0,672.0,1042.0,60.793465577596265,-147.0,-8.576429404900816,,-119.0,-6.942823803967328,,,,,,,,,,,81.0,,,,,,millions,USD
Q4 2011,1061.0,552.0,509.0,47.97360980207351,-183.0,-17.247879359095194,,-205.0,-19.321394910461827,-0.62,,,,2265.0,5696.0,3431.0,,1242.0,333.0,,,,,,,millions,USD
FY2011,3589.0,1499.0,2090.0,58.23349122318194,-312.0,-8.693229311786013,,-276.0,-7.690164391195318,-0.84,,,,2564.0,4928.0,2364.0,,1579.0,333.0,176.0,,,,,,millions,USD
Q1 2012,1368.0,,994.0,72.6608187134503,365.0,26.6812865497076,,400.0,29.239766081871345,1.22,,,,,,,,,,,,,,,,millions,USD
Q2 2012,955.0,205.0,750.0,78.53403141361257,215.0,22.5130890052356,,201.0,21.047120418848166,0.63,,,,2552.0,4825.0,2273.0,,919.0,320.0,39.0,,,,,,millions,USD
Q3 2012,711.0,445.0,266.0,37.41209563994374,-364.0,-51.19549929676512,,-381.0,-53.58649789029536,-1.21,,,,2154.0,5191.0,3037.0,,871.0,312.0,44.0,,,,,,millions,USD
H2-2012,1666.0,650.0,1016.0,60.984393757503,-149.0,-8.94357743097239,,-180.0,-10.804321728691477,,,,,,,,,,,83.0,,,,,,millions,USD
Q4 2012,922.0,429.0,493.0,53.470715835141,-39.0,-4.229934924078091,,-45.0,-4.8806941431670285,-0.15,,,,1958.0,5039.0,3081.0,,1158.0,301.0,39.0,,,,,,millions,USD
FY2012,4143.0,1598.0,2545.0,61.42891624426744,35.0,0.8447984552256819,,76.0,1.8344195027757664,0.23,,,,2458.0,5491.0,3033.0,,1293.0,336.0,170.0,,,,,,millions,USD
Q1 2013,1209.0,,900.0,74.44168734491315,309.0,25.55831265508685,,323.0,26.716294458229946,1.07,,,,,,,,,,,,,,,,millions,USD
Q2 2013,949.0,194.0,755.0,79.55742887249737,233.0,24.552160168598526,,222.0,23.39304531085353,0.73,,,,2492.0,4605.0,2113.0,,1056.0,312.0,33.0,,,,,,millions,USD
Q3 2013,695.0,413.0,282.0,40.57553956834533,-252.0,-36.2589928057554,,-273.0,-39.280575539568346,-0.89,,,,2286.0,5036.0,2750.0,,1090.0,308.0,38.0,,,,,,millions,USD
H2-2013,1644.0,607.0,1037.0,63.07785888077859,-19.0,-1.1557177615571776,,-51.0,-3.102189781021898,-0.17,,,,,,,,,306.0,71.0,,,,,,millions,USD
Q4 2013,808.0,517.0,291.0,36.01485148514851,-292.0,-36.13861386138614,,-308.0,-38.11881188118812,-1.0,,,,2004.0,5573.0,3569.0,,1746.0,309.0,40.0,,,,,,millions,USD
FY2013,3797.0,1388.0,2409.0,63.444824861732954,121.0,3.186726362918093,,98.0,2.5809849881485385,0.32,,,,2267.0,5070.0,2803.0,,1292.0,313.0,164.0,,,,,,millions,USD
Q1 2014,1123.0,,900.0,80.14247551202138,344.0,30.632235084594832,,367.0,32.68032056990205,1.18,,,,,,,,,,,,,,,,millions,USD
Q2 2014,1214.0,367.0,847.0,69.76935749588138,362.0,29.818780889621088,,335.0,27.59472817133443,1.07,,,,2713.0,5476.0,2763.0,,1554.0,322.0,29.0,,,,,,millions,USD
Q3 2014,990.0,427.0,563.0,56.868686868686865,24.0,2.4242424242424243,,3.0,0.30303030303030304,0.01,,,,2670.0,6031.0,3361.0,,1624.0,322.0,40.0,,,,,,millions,USD
H2-2014,2204.0,794.0,1410.0,63.974591651542646,386.0,17.513611615245008,,338.0,15.335753176043557,1.08,,,,,,,,,322.0,69.0,,,,,,millions,USD
Q4 2014,1126.0,401.0,725.0,64.38721136767317,162.0,14.387211367673181,,142.0,12.61101243339254,0.46,,,,2687.0,6167.0,3443.0,,2166.0,323.0,39.0,,,,,,millions,USD
FY2014,3575.0,1347.0,2228.0,62.32167832167832,33.0,0.9230769230769231,,8.0,0.22377622377622378,0.03,,,,2422.0,5716.0,3294.0,,1782.0,316.0,150.0,,,,,,millions,USD
Q1 2015,1185.0,,951.0,80.25316455696202,400.0,33.755274261603375,,395.0,33.33333333333333,1.27,,,,,,,,,,,,,,,,millions,USD
Q2 2015,1203.0,173.0,1030.0,85.61928512053201,512.0,42.56026600166251,,442.0,36.74147963424772,1.42,,,,3336.0,5721.0,2360.0,,1810.0,335.0,45.0,,,,,,millions,USD
Q3 2015,815.0,409.0,406.0,49.8159509202454,-119.0,-14.60122699386503,,-140.0,-17.177914110429448,-0.45,,,,3146.0,6000.0,2841.0,,1598.0,312.0,44.0,,,,,,millions,USD
H2-2015,2018.0,582.0,1436.0,71.15956392467791,393.0,19.474727452923688,,302.0,14.965312190287413,0.97,,,,,,,,,334.0,89.0,,,,,,millions,USD
Q4 2015,1070.0,546.0,524.0,48.97196261682243,-31.0,-2.897196261682243,,-45.0,-4.205607476635514,-0.14,,,,3012.0,6470.0,3451.0,,2263.0,311.0,42.0,,,,,,millions,USD
FY2015,4515.0,1429.0,3086.0,68.34994462901439,948.0,20.996677740863788,,875.0,19.379844961240313,2.81,,,,3036.0,6147.0,3080.0,,2068.0,325.0,144.0,,,,,,millions,USD
Q1 2016,1308.0,,1082.0,82.7217125382263,536.0,40.97859327217125,,899.0,68.7308868501529,2.93,,,,,,,,,,,,,,,,millions,USD
Q2 2016,1271.0,179.0,1092.0,85.91660110149488,560.0,44.05979543666405,,440.0,34.61841070023603,1.46,,,,3716.0,6605.0,2889.0,,2042.0,315.0,48.0,,,,,,millions,USD
Q3 2016,898.0,401.0,497.0,55.345211581291764,-49.0,-5.456570155902004,,-38.0,-4.231625835189309,-0.13,,,,3608.0,6892.0,3284.0,,1746.0,301.0,48.0,,,,,,millions,USD
H2-2016,2169.0,580.0,1589.0,73.25956662056247,511.0,23.559243891194097,,402.0,18.533886583679116,1.34,,,,,,,,,315.0,96.0,,,,,,millions,USD
Q4 2016,1149.0,516.0,633.0,55.09138381201044,-4.0,-0.34812880765883375,,-1.0,-0.08703220191470844,0.0,,,,3549.0,7719.0,4170.0,,2483.0,303.0,48.0,,,,,,millions,USD
FY2016,4396.0,1354.0,3042.0,69.19927206551411,898.0,20.427661510464056,,1156.0,26.296633303002732,3.73,,,,3396.0,7050.0,3652.0,,2493.0,330.0,178.0,,,,,,millions,USD
Q1 2017,1527.0,,1325.0,86.77144728225278,717.0,46.95481335952849,,566.0,37.066142763588736,1.84,,,,,,,,,,,,,,,,millions,USD
Q2 2017,1449.0,154.0,1295.0,89.3719806763285,743.0,51.2767425810904,,644.0,44.44444444444444,2.08,,,,4486.0,7375.0,2889.0,,2248.0,313.0,48.0,,,,,,millions,USD
Q3 2017,959.0,389.0,570.0,59.436913451512,-41.0,-4.275286757038582,,-22.0,-2.2940563086548487,-0.07,,,,4388.0,7922.0,3534.0,,2067.0,309.0,62.0,,,,,,millions,USD
H2-2017,2408.0,543.0,1865.0,77.45016611295681,702.0,29.15282392026578,,622.0,25.830564784053156,2.01,,,,,,,,,313.0,110.0,,,,,,millions,USD
Q4 2017,1160.0,501.0,659.0,56.81034482758621,-21.0,-1.810344827586207,,-186.0,-16.034482758620687,-0.6,,,,4086.0,8642.0,4556.0,,2566.0,308.0,63.0,,,,,,millions,USD
FY2017,4845.0,1298.0,3547.0,73.20949432404541,1224.0,25.263157894736842,,967.0,19.95872033023736,3.19,,,,4060.0,7718.0,3658.0,,2565.0,314.0,196.0,,,,,,millions,USD
Q1 2018,1582.0,,1349.0,85.27180783817951,753.0,47.59797724399494,,607.0,38.36915297092288,1.98,,,,,,,,,,,,,,,,millions,USD
Q2 2018,1137.0,215.0,922.0,81.09058927000879,300.0,26.385224274406333,,293.0,25.769569041336855,0.96,,,,5260.0,8247.0,2987.0,,3876.0,310.0,70.0,,,,,,millions,USD
Q3 2018,1286.0,418.0,868.0,67.49611197511665,258.0,20.06220839813375,,255.0,19.828926905132192,0.84,,,,5317.0,8450.0,3133.0,,3887.0,307.0,66.0,,,,,,millions,USD
H2-2018,2423.0,633.0,1790.0,73.87536112257533,558.0,23.02930251754024,,548.0,22.61659100288898,1.8,,,,,,,,,309.0,136.0,,,,,,millions,USD
Q4 2018,1289.0,413.0,876.0,67.95965865011637,242.0,18.774243599689683,,262.0,20.325833979829326,0.87,,,,5344.0,8857.0,3513.0,,3887.0,304.0,75.0,,,,,,millions,USD
FY2018,5150.0,1277.0,3873.0,75.20388349514563,1434.0,27.844660194174757,,1043.0,20.25242718446602,3.39,,,,4595.0,8584.0,3989.0,,4258.0,312.0,242.0,,,,,,millions,USD
Q1 2019,1238.0,,962.0,77.7059773828756,196.0,15.831987075928918,,209.0,16.882067851373183,0.7,,,,,,,,,,,,,,,,millions,USD
Q2 2019,1209.0,187.0,1022.0,84.53267162944582,415.0,34.32588916459884,,1421.0,117.535153019024,4.78,,,,6485.0,9749.0,3264.0,,3533.0,299.0,73.0,,,,,,millions,USD
Q3 2019,1348.0,405.0,943.0,69.95548961424333,268.0,19.881305637982198,,854.0,63.353115727002965,2.89,,,,7158.0,10593.0,3435.0,,2940.0,296.0,92.0,,,,,,millions,USD
H2-2019,2557.0,592.0,1965.0,76.84786859601095,683.0,26.710989440750883,,2275.0,88.97145091904576,7.69,,,,,,,,,297.0,165.0,,,,,,millions,USD
Q4 2019,1593.0,508.0,1085.0,68.11048336472065,361.0,22.661644695543,,346.0,21.720025109855616,1.18,,,,7237.0,11161.0,3924.0,,3603.0,294.0,91.0,,,,,,millions,USD
FY2019,4950.0,1322.0,3628.0,73.29292929292929,996.0,20.12121212121212,,1019.0,20.585858585858585,3.36,1547.0,,,5331.0,8957.0,3626.0,,4708.0,306.0,284.0,,,,,,millions,USD
Q1 2020,1387.0,,1118.0,80.6056236481615,401.0,28.91131939437635,,418.0,30.136986301369863,1.44,,,,,,,,,,,,,,,,millions,USD
Q2 2020,1459.0,288.0,1171.0,80.26045236463331,471.0,32.28238519533927,,365.0,25.017135023989034,1.27,,,,7782.0,11284.0,3502.0,,4013.0,292.0,102.0,,,,,,millions,USD
Q3 2020,1151.0,286.0,865.0,75.15204170286707,149.0,12.945264986967853,,185.0,16.072980017376196,0.64,,,,8075.0,11470.0,3395.0,,4059.0,293.0,113.0,,,,,,millions,USD
H2-2020,2610.0,574.0,2036.0,78.00766283524905,620.0,23.754789272030653,,550.0,21.0727969348659,1.9,,,,,,,,,292.0,215.0,,,,,,millions,USD
Q4 2020,1673.0,601.0,1072.0,64.07650926479378,251.0,15.002988643156007,,211.0,12.61207411835027,0.73,,,,7728.0,12420.0,4457.0,,4772.0,292.0,111.0,0.17,,,,,millions,USD
FY2020,5537.0,1369.0,4168.0,75.27541990247425,1445.0,26.097164529528627,,3039.0,54.88531695864186,10.37,1797.0,,,7461.0,11112.0,3651.0,,3768.0,295.0,347.0,,,,,,millions,USD
Q2 2021,1551.0,315.0,1236.0,79.69052224371373,322.0,20.76079948420374,,204.0,13.152804642166343,0.71,-143.0,,,7728.0,12734.0,5006.0,,2838.0,289.0,125.0,0.17,,,,,millions,USD
Q3 2021,1826.0,494.0,1332.0,72.94633077765607,340.0,18.619934282584886,,294.0,16.10076670317634,1.03,,,,7856.0,13019.0,5163.0,,1630.0,287.0,149.0,0.17,,,,,millions,USD
H2-2021,3377.0,809.0,2568.0,76.04382588095943,662.0,19.60319810482677,,498.0,14.746816701214097,1.75,-79.0,,,,,,,,288.0,274.0,0.17,,,,,millions,USD
Q4 2021,1789.0,631.0,1158.0,64.72889882615986,102.0,5.701509223029626,,66.0,3.6892118501956404,0.23,,,,7641.0,13930.0,6313.0,,2670.0,285.0,129.0,0.17,,,,,millions,USD
FY2021,5629.0,1494.0,4135.0,73.45887368982056,1046.0,18.582341446082786,,837.0,14.869426185823414,2.9,1934.0,,,7840.0,13288.0,5448.0,,5260.0,292.0,435.0,0.34,,,,,millions,USD
Q2 2022,1767.0,314.0,1453.0,82.22976796830787,441.0,24.95755517826825,,311.0,17.60045274476514,1.11,-78.0,,,7641.0,13192.0,5551.0,,2082.0,281.0,125.0,0.19,,,,,millions,USD
Q3 2022,1904.0,462.0,1442.0,75.73529411764706,427.0,22.426470588235293,,299.0,15.703781512605042,1.08,,,,7798.0,13079.0,5281.0,,1539.0,279.0,140.0,0.19,,,,,millions,USD
H2-2022,3671.0,776.0,2895.0,78.86134568237537,868.0,23.64478343775538,,610.0,16.61672568782348,2.19,-190.0,,,,,,,,280.0,265.0,,,,,,millions,USD
Q4 2022,1881.0,568.0,1313.0,69.80329611908559,289.0,15.364167995746945,,204.0,10.845295055821373,0.74,,,,7551.0,13470.0,5919.0,,2202.0,278.0,141.0,0.19,,,,,millions,USD
FY2022,6991.0,1859.0,5132.0,73.40866828779859,1129.0,16.149334859104563,,789.0,11.285939064511515,2.78,1899.0,,,7625.0,13800.0,6175.0,,2732.0,286.0,528.0,,,,,,millions,USD
Q2 2023,1924.0,368.0,1556.0,80.87318087318087,542.0,28.17047817047817,,402.0,20.893970893970895,1.48,359.0,,,7334.0,13083.0,5749.0,,2424.0,274.0,130.0,0.19,,,,,millions,USD
Q3 2023,1914.0,456.0,1458.0,76.17554858934169,377.0,19.696969696969695,,399.0,20.846394984326018,1.47,,,,7575.0,13139.0,5564.0,,1946.0,272.0,155.0,0.19,,,,,millions,USD
H2-2023,3838.0,824.0,3014.0,78.53048462741012,919.0,23.94476289734237,,801.0,20.870244919228764,2.94,471.0,,,,,,,,273.0,285.0,,,,,,millions,USD
Q4 2023,1945.0,529.0,1416.0,72.80205655526993,365.0,18.76606683804627,,290.0,14.910025706940875,1.08,,,,7533.0,13617.0,6084.0,,2742.0,271.0,151.0,0.19,,,,,millions,USD
FY2023,7426.0,1792.0,5634.0,75.86856988957716,1332.0,17.93697818475626,,802.0,10.799892270401292,2.9,1550.0,,,7293.0,13459.0,6166.0,,2424.0,278.0,548.0,,,,,,millions,USD
Q2 2024,1660.0,263.0,1397.0,84.1566265060241,364.0,21.927710843373493,,280.0,16.867469879518072,1.05,120.0,,,7400.0,12708.0,5308.0,,2400.0,268.0,143.0,0.19,,,,,millions,USD
Q3 2024,2025.0,456.0,1569.0,77.48148148148148,384.0,18.962962962962962,,294.0,14.518518518518519,1.11,,,,7408.0,13136.0,5728.0,,2197.0,266.0,174.0,0.19,,,,,millions,USD
H2-2024,3685.0,719.0,2966.0,80.48846675712348,748.0,20.298507462686565,,574.0,15.576662143826322,2.17,354.0,,,,,,,,267.0,317.0,,,,,,millions,USD
Q4 2024,1883.0,456.0,1427.0,75.78332448220924,377.0,20.021242697822622,,293.0,15.560276155071694,1.12,,,,7412.0,13451.0,6039.0,,2776.0,265.0,163.0,0.19,,,,,millions,USD
FY2024,7562.0,1710.0,5852.0,77.38693467336684,1518.0,20.07405448294102,,1273.0,16.834170854271356,4.71,2315.0,,,7513.0,13420.0,5907.0,,2900.0,272.0,584.0,,,,,,millions,USD
Q2 2025,1671.0,279.0,1392.0,83.30341113105925,271.0,16.217833632555354,,201.0,12.028725314183124,0.8,17.0,,,6082.0,11699.0,5617.0,,1518.0,254.0,152.0,0.19,,,,,millions,USD
Q3 2025,1839.0,443.0,1396.0,75.91082109842306,200.0,10.87547580206634,,137.0,7.449700924415444,0.55,,,,6000.0,11854.0,5854.0,,1148.0,252.0,174.0,0.19,,,,,millions,USD
H2-2025,3510.0,722.0,2788.0,79.43019943019944,471.0,13.418803418803419,,338.0,9.62962962962963,1.35,147.0,,,,,,,,253.0,326.0,,,,,,millions,USD
Q4 2025,1901.0,498.0,1403.0,73.80326144134666,127.0,6.680694371383482,,88.0,4.629142556549184,0.35,,,,6152.0,13280.0,7128.0,,2784.0,253.0,178.0,0.19,,,,,millions,USD
FY2025,7463.0,1543.0,5920.0,79.32466836392872,1520.0,20.367144579927643,,1121.0,15.020769127696637,4.28,2079.0,,,6386.0,12368.0,5982.0,,2136.0,264.0,642.0,,,,,,millions,USD
Q2 2026,1986.0,274.0,1712.0,86.20342396777441,513.0,25.83081570996979,,397.0,19.98992950654582,1.58,-242.0,,,7079.0,12579.0,5500.0,,2288.0,254.0,153.0,0.19,,,,,millions,USD
FY2026,7531.0,1584.0,5947.0,78.9669366617979,1162.0,15.429557827645732,,887.0,11.777984331430089,3.55,2553.0,,,6764.0,13131.0,6367.0,,2864.0,253.0,656.0,,,,,,millions,USD
