Date,Close
2016-09-30,17.05
2016-10-31,16.21
2016-11-30,16.7
2016-12-31,16.9
2017-01-31,18.5
2017-02-28,18.25
2017-03-31,18.31
2017-04-30,17.44
2017-05-31,17.5
2017-06-30,18.09
2017-07-31,17.22
2017-08-31,17.13
2017-09-30,17.6
2017-10-31,17.45
2017-11-30,18.55
2017-12-31,18.39
2018-01-31,17.75
2018-02-28,17.95
2018-03-31,17.78
2018-04-30,18.07
2018-05-31,17.95
2018-06-30,20.2
2018-07-31,21.14
2018-08-31,22.46
2018-09-30,20.84
2018-10-31,21.5
2018-11-30,20.08
2018-12-31,21.69
2019-01-31,21.35
2019-02-28,22
2019-03-31,21.42
2019-04-30,22.3
2019-05-31,23.15
2019-06-30,24.94
2019-07-31,23.72
2019-08-31,25
2019-09-30,24.65
2019-10-31,22.79
2019-11-30,24.25
2019-12-31,23.85
2020-01-31,23.29
2020-02-29,22.3
2020-03-31,22.2
2020-04-30,22
2020-05-31,21.61
2020-06-30,21.8
2020-07-31,23.12
2020-08-31,24.44
2020-09-30,25.75
2020-10-31,24.9
2020-11-30,28.7
2020-12-31,28.62
2021-01-31,28.45
2021-02-28,29.5
2021-03-31,29.75
2021-04-30,33.2
2021-05-31,32.3
2021-06-30,31.02
2021-07-31,35.94
2021-08-31,35.3
2021-09-30,36.25
2021-10-31,36.45
2021-11-30,41.2
2021-12-31,38.9
2022-01-31,38.97
2022-02-28,41.47
2022-03-31,42.4
2022-04-30,40.5
2022-05-31,39.01
2022-06-30,39.41
2022-07-31,38.64
2022-08-31,37.61
2022-09-30,37.5
2022-10-31,40.95
2022-11-30,43.9
2022-12-31,43
2023-01-31,44.37
2023-02-28,46.5
2023-03-31,44.3
2023-04-30,42.08
2023-05-31,36.75
2023-06-30,38.55
2023-07-31,37.95
2023-08-31,34.2
2023-09-30,34.99
2023-10-31,37
2023-11-30,35.5
2023-12-31,37.55
2024-01-31,36.95
2024-02-29,34.25
2024-03-31,35.06
2024-04-30,33.05
2024-05-31,32.22
2024-06-30,36
2024-07-31,35
2024-08-31,36.14
2024-09-30,36.5
2024-10-31,38
2024-11-30,37.05
2024-12-31,40
2025-01-31,39.45
2025-02-28,38.1
2025-03-31,36.6
2025-04-30,37.05
2025-05-31,38.45
2025-06-30,40.9
2025-07-31,32.61
2025-08-31,29.78
2025-09-30,28.9
2025-10-31,28.5
2025-11-30,27.62
2025-12-31,25.71
2026-01-31,23.96
2026-02-28,22.25
2026-03-31,21.28
2026-04-30,19.52
2026-05-31,20.83
2026-06-30,22.04
2026-07-31,21.1
2026-08-31,20.7
2026-09-08,20.48
