Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,8.852,3.356,5.496,62.1,0.686,7.7,0.801,0.151,1.7,1.9,,,,7.675,9.971,2.296,0.949,1.265,9.578,0.03,,millions,NZD
H1 FY2019,3.258,0.268,2.99,91.8,0.427,13.1,0.483,-0.028,-0.9,-0.3,0.504,0.017,0.487,7.647,9.952,2.305,0.795,1.31,9.578,,,millions,NZD
FY2019,6.751,0.6,6.151,91.1,0.691,10.2,0.806,-0.429,-6.4,-4.4,0.342,0.03,0.312,6.965,9.569,2.604,0.635,0.771,9.578,0.0,,millions,NZD
H1 FY2020,3.718,0.419,3.299,88.7,0.408,11.0,0.471,0.208,5.6,,0.473,0.028,0.445,7.197,9.895,2.698,0.47,0.853,9.578,,,millions,NZD
FY2020,12.42,,,,1.581,12.7,2.286,1.336,10.8,11.67,2.661,0.095,2.566,12.384,23.307,9.538,2.368,3.169,15.900895,0.0,,millions,NZD
H1 FY2021,7.447,,,,0.564,7.6,1.254,0.756,10.2,4.74,1.308,0.128,1.18,12.843,22.083,8.429,1.725,2.493,16.157699,,,millions,NZD
FY2021,16.113,,,,0.675,4.2,1.975,1.096,6.8,6.84,2.321,0.462,1.859,13.236,22.828,9.037,1.71,2.806,16.157699,0.0,,millions,NZD
H1 FY2022,8.988,,,,-1.001,-11.1,-0.35,-1.017,-11.3,-6.29,-0.071,0.228,-0.299,11.655,20.699,8.785,1.962,1.402,16.157699,,,millions,NZD
FY2022,18.744,,,,-1.782,-9.5,-0.428,-1.836,-9.8,-11.36,-0.146,0.486,-0.632,11.193,21.89,10.536,2.318,1.216,16.157699,0.0,,millions,NZD
H1 FY2023,9.487,,,,-1.432,-15.1,-0.753,-5.407,-57.0,-32.96,-0.717,0.312,-1.029,6.584,17.384,10.763,2.95,1.579,17.430061,,,millions,NZD
FY2023,20.657,,,,-1.615,-7.8,-0.084,-10.395,-50.3,-61.5,-0.737,0.593,-1.33,1.707,12.496,10.85,3.329,1.178,17.430061,0.0,,millions,NZD
H1 FY2024,10.328,,,,-1.075,-10.4,-0.3,-0.847,-8.2,-4.51,0.592,0.242,0.35,2.635,11.641,9.416,2.095,1.946,20.068057,,,millions,NZD
FY2024,21.865,,,,-0.298,-1.4,1.443,0.122,0.6,0.63,1.796,0.614,1.182,3.552,14.358,11.122,3.046,1.737,20.068057,0.0,,millions,NZD
H1 FY2025,12.517,,,,0.124,1.0,0.651,0.151,1.2,0.75,0.251,0.481,-0.23,3.632,14.502,11.078,3.401,1.405,20.068057,,,millions,NZD
FY2025,24.973,,,,0.057,0.2,1.065,0.126,0.5,0.63,1.025,0.824,0.201,3.502,15.304,12.024,3.369,1.925,20.062048,0.0,,millions,NZD
H1 FY2026,12.954,,,,-0.621,-4.8,-0.169,-0.544,-4.2,-2.71,0.623,0.316,0.307,3.45,15.844,12.727,3.169,2.273,20.062048,,,millions,NZD
