Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,CopperProduction,GoldPriceAchieved,GoldProduction,GoldProduction_Cowal,GoldProduction_ErnestHenry,GoldProduction_Mungari,GoldProduction_Northparkes,GoldProduction_RedLake
H1 FY2016,607.083,-504.441,102.642,16.9,127.678,21.0,285.613,-15.466,-2.5,-0.0118,213.244,86.442,126.802,1559.107,2432.35,873.247,,45.288,1310.68,2.896,,,,,,millions,AUD,,,,,,,,,
FY2016,1328.614,-694.226,634.388,47.7,292.1,22.0,607.551,21.532,1.6,,,200.214,,1551.433,,,,,1390.16,,,,,,,millions,AUD,,,1597.0,803476.0,,,,,
H1 FY2017,711.15,-348.661,159.654,22.5,173.471,24.4,345.298,136.67,19.2,0.08560000000000001,296.713,125.78,170.933,2070.247,3013.89,943.646,,14.479,1596.61,0.371,,,,,,millions,AUD,,,,,,,,,
FY2017,1479.876,-719.738,328.532,22.2,325.031,22.0,713.855,217.607,14.7,0.1328,650.795,244.998,405.797,2128.252,2945.47,817.217,436.124,37.385,1638.88,6.413,,,,,,millions,AUD,907.0,14956.0,1641.0,844124.0,,,,,
H1 FY2018,782.139,-365.234,205.904,26.3,203.598,26.0,399.099,122.518,15.7,0.0725,323.309,122.583,200.726,2203.374,2931.69,728.319,,163.5,1689.9,4.589,,,,,,millions,AUD,,,,,,,,,
FY2018,1540.433,-705.553,399.961,26.0,360.38,23.4,795.083,263.388,17.1,0.1557,714.166,271.87,442.296,2288.394,3056.316,767.922,385.966,323.226,1691.22,8.491,,,,,,millions,AUD,797.0,23268.0,1645.0,801187.0,,,,,
H1 FY2019,756.218,-377.776,160.821,21.3,154.739,20.5,359.659,91.11,12.0,0.0537,267.02,150.136,116.884,2312.731,2997.45,684.722,,313.626,1696.65,4.512,,,,,,millions,AUD,,,,,,,,,
FY2019,1509.824,-735.971,,,330.304,21.9,730.262,218.188,14.5,0.1286,616.236,273.636,342.6,2406.478,,,293.433,335.164,1696.47,,,,,,,millions,AUD,924.0,21846.0,1760.0,753001.0,,,,,
H1 FY2020,898.169,-419.244,261.438,29.1,233.086,26.0,441.172,147.216,16.4,0.0866,455.368,160.014,295.354,2441.635,2918.13,476.493,,170.36,1699.95,5.555,,,,,,millions,AUD,,,,,,,,,
FY2020,1941.863,-852.937,,,612.544,31.5,1029.432,301.552,15.5,0.1771,1005.32,469.2,536.12,2463.795,3674.65,1210.86,562.062,372.592,1702.33,,,,,,,millions,AUD,1043.0,22471.0,2274.0,746463.0,,,,,
H1 FY2021,982.213,-619.842,362.371,36.9,345.828,35.2,514.639,228.696,23.3,0.13390000000000002,445.669,,,2534.89,3957.04,1422.14,,160.062,1707.96,5.424,,,,,,millions,AUD,,,,,,,,,
FY2021,1864.058,-1285.131,578.927,31.1,546.431,29.3,914.235,345.262,18.5,0.2021,757.008,437.321,319.687,2534.89,3957.04,1422.14,611.232,160.062,1711.05,11.371,,,,,,millions,AUD,1215.0,21361.0,2369.0,680788.0,,,,,
H1 FY2022,898.625,-686.248,212.377,23.6,192.04,21.4,393.28,90.759,10.1,0.0501,330.14,,,3011.761,5521.4,2509.64,,1150.35,1811.56,6.126,,,,,,millions,AUD,,,,,,,,,
FY2022,2064.928,-1572.842,492.086,23.8,430.989,20.9,898.814,323.324,15.7,0.17739999999999997,776.683,669.103,107.58,3253.976,6630.066,3376.09,1837.946,572.427,1826.84,13.879,,,,,,millions,AUD,1259.0,38834.0,2425.0,640275.0,,,,,
H1 FY2023,1132.819,-630.148,232.073,20.5,174.305,15.4,446.248,100.914,8.9,0.055,297.954,,,3248.952,6896.92,3647.97,,313.222,1834.8,7.618,,,,,,millions,AUD,,,,,,,,,
FY2023,2226.931,-1797.853,429.078,19.3,323.964,14.5,844.513,163.508,7.3,0.0891,735.28,838.675,-103.395,3294.876,6752.38,3457.509,1763.432,46.146,1839.75,12.893,,,,,,millions,AUD,1450.0,47348.0,2592.0,651155.0,,,,,
H1 FY2024,1340.184,-1035.764,304.42,22.7,201.31,15.0,486.773,96.869,7.2,0.052300000000000006,426.657,,,3847.494,8248.2,4400.71,,191.037,1852.18,7.393,,,,,,millions,AUD,,,,,,,,,
FY2024,3215.832,-2292.576,923.256,28.7,763.255,23.7,1428.335,422.269,13.1,0.2231,1281.43,918.269,363.161,4142.196,8818.841,4676.64,2191.994,403.303,1924.07,12.682,,,,,,millions,AUD,1477.0,67862.0,3190.0,716700.0,312644.0,78763.0,123673.0,68635.0,112700.0
H1 FY2025,2032.839,-1393.29,639.549,31.5,589.836,29.0,985.343,365.087,18.0,0.18359999999999999,832.888,,,4429.142,9153.15,4724.01,,520.286,1988.49,7.576,,,,,,millions,AUD,,,,,,,,,
FY2025,4351.475,-2792.446,1559.029,35.8,1418.115,32.6,2161.058,926.169,21.3,0.46490000000000004,1966.581,1176.379,790.202,4957.336,9637.154,4679.818,1768.34,759.542,1995.56,21.406,,,,,,millions,AUD,1653.0,76261.0,4300.0,750512.0,330008.0,70625.0,,,
H1 FY2026,2794.35,-1536.06,1258.29,45.0,1178.581,42.2,1562.491,766.567,27.4,0.3796,1251.3,,,5632.959,10021.9,4388.95,,966.489,2019.41,16.993,,,,,,millions,AUD,,,,,,,,,
FY2026,5558.774,-3034.71,2524.064,45.4,2290.346,41.2,3045.861,1475.055,26.5,0.7284,2636.583,1204.466,1432.117,5828.768,10546.239,4717.471,1416.424,1347.496,2027.07,37.329,,,,,,millions,AUD,1717.0,65636.0,6023.0,714728.0,297029.0,55060.0,,,
