Date,Close
2016-09-30,2.26
2016-10-31,1.925
2016-11-30,2.12
2016-12-31,2.13
2017-01-31,2.16
2017-02-28,2.1
2017-03-31,2.29
2017-04-30,2.41
2017-05-31,2.41
2017-06-30,2.22
2017-07-31,2.42
2017-08-31,2.21
2017-09-30,2.36
2017-10-31,2.44
2017-11-30,2.65
2017-12-31,2.85
2018-01-31,2.86
2018-02-28,3.03
2018-03-31,3.21
2018-04-30,3.26
2018-05-31,3.51
2018-06-30,2.79
2018-07-31,2.65
2018-08-31,2.65
2018-09-30,2.98
2018-10-31,3.14
2018-11-30,3.69
2018-12-31,4.01
2019-01-31,3.61
2019-02-28,3.66
2019-03-31,3.19
2019-04-30,3.87
2019-05-31,4.36
2019-06-30,5.02
2019-07-31,5.18
2019-08-31,4.53
2019-09-30,4.13
2019-10-31,3.91
2019-11-30,3.8
2019-12-31,3.71
2020-01-31,4.04
2020-02-29,3.82
2020-03-31,5.11
2020-04-30,6.1
2020-05-31,5.67
2020-06-30,5.9
2020-07-31,5.55
2020-08-31,5.75
2020-09-30,5.54
2020-10-31,4.97
2020-11-30,4.99
2020-12-31,4.73
2021-01-31,4.2
2021-02-28,4.08
2021-03-31,4.63
2021-04-30,5.41
2021-05-31,4.5
2021-06-30,4.18
2021-07-31,3.91
2021-08-31,3.49
2021-09-30,3.63
2021-10-31,4.03
2021-11-30,4.06
2021-12-31,3.5
2022-01-31,4.27
2022-02-28,4.4
2022-03-31,4.05
2022-04-30,3.84
2022-05-31,2.38
2022-06-30,2.64
2022-07-31,2.39
2022-08-31,2.05
2022-09-30,2.08
2022-10-31,2.69
2022-11-30,2.98
2022-12-31,3.2
2023-01-31,2.72
2023-02-28,3.12
2023-03-31,3.56
2023-04-30,3.44
2023-05-31,3.22
2023-06-30,3.7
2023-07-31,3.71
2023-08-31,3.29
2023-09-30,3.57
2023-10-31,4.09
2023-11-30,3.96
2023-12-31,3.21
2024-01-31,2.95
2024-02-29,3.58
2024-03-31,4.06
2024-04-30,3.92
2024-05-31,3.5
2024-06-30,3.93
2024-07-31,4.24
2024-08-31,4.64
2024-09-30,5.24
2024-10-31,5.06
2024-11-30,4.81
2024-12-31,5.7
2025-01-31,6.09
2025-02-28,7.11
2025-03-31,7.83
2025-04-30,8.85
2025-05-31,7.79
2025-06-30,7.11
2025-07-31,8.66
2025-08-31,10.83
2025-09-30,10.86
2025-10-31,11.88
2025-11-30,12.68
2025-12-31,14.71
2026-01-31,16.58
2026-02-28,12.62
2026-03-31,11.9
2026-04-30,12.14
2026-05-31,11.75
2026-06-30,11.27
2026-07-31,14.88
2026-08-31,13.7
2026-09-22,13.65
