Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,4889.0,,,,-322.0,-6.6,-212.0,-273.0,-5.6,-39.2,110.0,131.0,-21.0,,,,,,696.4,,0.0,,,,,millions,NZD
FY2018,9471.0,,1696.0,17.9,-118.0,-1.2,96.0,-190.0,-2.0,-25.5,396.0,304.0,92.0,4142.0,8532.0,4390.0,1938.0,665.0,853.347141,,0.0,,,,,millions,NZD
H1-2019,4154.0,,,,217.0,5.2,330.0,89.0,2.1,10.4,-114.0,,,,,,,,855.8,,8.0,,,,,millions,NZD
FY2019,8308.0,,2283.0,27.5,455.0,5.5,654.0,164.0,2.0,19.2,153.0,348.0,-195.0,4173.0,7710.0,3537.0,1697.0,1372.0,853.347141,,23.0,,,,,millions,NZD
H1-2020,3961.0,,,,184.0,4.6,367.0,82.0,2.1,9.8,-5.0,,,,,,,,836.7,,0.0,,,,,millions,NZD
FY2020,7309.0,,1813.0,24.8,-116.0,-1.6,254.0,-196.0,-2.7,-23.5,410.0,232.0,178.0,3535.0,8778.0,5243.0,1791.0,1104.0,824.256416,,0.0,,,,,millions,NZD
H1-2021,3987.0,,,,237.0,5.9,417.0,121.0,3.0,14.7,428.0,68.0,360.0,,,,,,823.1,,12.0,,,,,millions,NZD
FY2021,8120.0,,2342.0,28.8,540.0,6.7,903.0,305.0,3.8,37.0,889.0,232.0,657.0,3771.0,8010.0,4239.0,857.0,666.0,821.152019,,30.0,,,,,millions,NZD
H1-2022,4064.0,,,,289.0,7.1,461.0,171.0,4.2,21.0,157.0,142.0,15.0,,,,,,814.3,,18.0,,,,,millions,NZD
FY2022,8498.0,,2509.0,29.5,702.0,8.3,1052.0,432.0,5.1,53.5,592.0,421.0,171.0,3765.0,8421.0,4656.0,1040.0,351.0,783.043596,,40.0,,,,,millions,NZD
H1-2023,4284.0,,1309.0,30.6,206.0,4.8,386.0,92.0,2.1,11.7,-203.0,244.0,-447.0,,,,,,783.0,,18.0,,,,,millions,NZD
FY2023,8469.0,,2631.0,31.1,497.0,5.9,855.0,235.0,2.8,30.0,388.0,445.0,-57.0,3677.0,9081.0,5404.0,1803.0,365.0,783.043596,,34.0,,,,,millions,NZD
H1-2024,4248.0,,1224.0,28.8,-44.0,-1.0,,-120.0,-2.8,-15.3,-126.0,183.0,-309.0,3401.0,8925.0,5524.0,2184.0,215.0,783.0,,0.0,,,,,millions,NZD
FY2024,7683.0,,2162.0,28.1,176.0,2.3,549.0,-227.0,-3.0,-29.0,398.0,402.0,-4.0,3328.0,8874.0,5546.0,2108.0,311.0,783.043596,,0.0,846.0,,,,millions,NZD
H1-2025,3583.0,,,,-26.0,-0.7,153.0,-134.0,-3.7,-14.3,-5.0,108.0,-113.0,3923.0,8408.0,4485.0,1373.0,202.0,940.0,,0.0,,2852.0,304.0,147.0,millions,NZD
FY2025,6994.0,,1950.0,27.9,-260.0,-3.7,100.0,-419.0,-6.0,-41.4,501.0,280.0,221.0,3607.0,7898.0,4291.0,1172.0,139.0,1074.897372,,0.0,744.0,5644.0,647.0,332.0,millions,NZD
H1-2026,2866.0,,901.0,31.4,138.0,4.8,,-11.0,-0.4,-1.0,156.0,150.0,6.0,3661.0,7748.0,4087.0,1265.0,62.0,1075.0,,0.0,,2866.0,305.0,145.0,millions,NZD
