Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,78.765,,,,,,,535.509,679.881927,0.24615,44.061,,,3668.023,3970.357,302.334,291.937,31.136,2168727476.978109,,0.026,,,,,millions,GBP
H1-2018,51.851,,,,,,,131.318,253.260304,0.06055,31.855,,,3770.063,4118.267,348.204,339.974,73.172,2168728266.340692,,0.00675,,,,,millions,GBP
FY2018,87.898,,,,,,,-118.221,-134.497941,-0.0545,48.657,,,3491.913,3852.747,360.834,325.247,96.439,2169125836.659265,,0.029,,,,,millions,GBP
H1-2019,53.306,,,,,,,512.883,962.148726,0.23595,33.233,,,3983.417,4364.244,380.827,366.581,97.572,2174561980.538534,,0.00725,,,,,millions,GBP
FY2019,89.376,,,,,,,677.076,757.559076,0.311675,51.664,,,4109.049,4561.08,452.031,436.17,28.196,2170482529.118136,,0.029,,,,,millions,GBP
H1-2020,39.815,,,,,,,-9.359,-23.506216,-0.0043,17.153,,,4063.714,4444.253,380.539,368.2,43.783,2167516434.867254,,0.00725,,,,,millions,GBP
FY2020,70.178,,,,,,,507.106,722.599675,0.2345,28.499,,,4511.56,4926.697,415.137,406.616,46.654,2146598627.318036,,0.03025,,,,,millions,GBP
H1-2021,40.396,,,,,,,516.238,1277.943361,0.241375,22.878,,,4960.03,5508.146,548.116,502.438,54.903,2129705127.792269,,0.0075,,,,,millions,GBP
FY2021,77.629,,,,,,,919.278,1184.194051,0.431825,39.039,,,5280.934,5840.501,559.567,550.29,53.111,2107126854.133208,,0.032,,,,,millions,GBP
H1-2022,50.833,,,,,,,-630.137,-1239.621899,-0.300475,24.202,,,4544.063,5218.539,674.476,642.711,352.29,2081186681.322707,,0.008,,,,,millions,GBP
FY2022,96.235,,,,,,,-491.377,-510.601133,-0.23555,45.989,,,4649.825,5238.854,589.029,581.839,243.836,2073639262.380984,,0.03375,,,,,millions,GBP
H1-2023,58.42,,,,,,,204.629,350.272167,0.098725,33.032,,,4786.859,5422.001,635.142,580.617,208.493,2067668351.259125,,0.0085,,,,,millions,GBP
FY2023,106.621,,,,,,,532.844,499.755208,0.258225,59.321,,,5034.487,5629.292,594.805,580.969,87.17,2039161974.96861,,0.03675,,,,,millions,GBP
H1-2024,64.061,,,,,,,648.686,1012.606734,0.321225,35.609,,,5524.003,6163.915,639.912,580.184,109.274,1998445453.394352,,0.009,,,,,millions,GBP
FY2024,111.806,,,,,,,999.759,894.190831,0.502775,58.646,,,5678.522,6270.732,592.21,579.301,91.147,1930124233.102768,,0.039,,,,,millions,GBP
H1-2025,64.685,,,,,,,-1.773,-2.740975,-0.000925,34.62,,,5621.242,6222.507,601.265,580.552,82.67,1924753295.66855,,0.0095,,,,,millions,GBP
FY2025,113.205,,,,,,,664.86,587.306214,0.3464,59.023,,,6171.045,6759.942,588.897,581.248,84.594,1897877935.138626,,0.0415,,,,,millions,GBP
H1-2026,69.709,,,,,,,776.5,1113.916424,0.4107,36.07,,,6863.835,7528.691,664.856,619.575,124.257,1884892214.74667,,0.0099,,,,,millions,GBP
