Period,TotalIncome,NetRealizedGains,NetUnrealizedGains,InterestDividendIncome,TotalExpenses,PerformanceFee,NetEarnings,EPS_Diluted,BVPS,ShareholdersEquity,TotalDebt,CashAndEquivalents,InvestmentsFairValue,SharesOutstanding
FY2015,65.3,-0.2,14.2,44.7,10.9,0.0,40.9,0.42,9.50,1013.3,0.0,12.5,978.6,106.7
FY2016,128.6,3.4,105.0,27.0,21.7,0.0,107.8,1.01,10.25,1075.4,223.8,147.0,1095.6,104.9
FY2017,609.7,1.2,592.3,30.5,159.6,112.2,452.5,2.94,14.46,2132.5,400.0,13.2,2635.7,147.4
FY2018,166.5,-8.0,179.0,30.4,66.9,0.0,96.4,0.63,13.86,2117.9,547.2,21.2,2661.3,152.9
FY2019,712.7,181.1,530.4,15.0,120.1,48.5,516.3,3.30,16.89,2577.9,547.2,48.7,3171.3,152.6
FY2020,-13.0,5.4,-26.6,22.5,26.0,-42.0,-41.5,-0.27,16.37,2446.9,547.2,22.1,3027.6,149.5
FY2021,693.5,227.2,438.9,32.9,160.0,85.2,494.5,3.22,19.65,2774.8,496.8,30.4,3546.3,141.2
FY2022,237.5,95.9,153.7,35.3,41.6,-36.4,191.4,1.34,19.11,2642.0,497.3,147.4,3211.0,138.0
FY2023,598.9,193.2,361.7,45.7,147.0,69.4,371.8,2.72,21.85,2958.7,497.8,174.6,3644.3,135.0
FY2024,100.1,218.9,-167.7,61.5,73.8,0.0,-41.2,-0.30,20.96,2826.5,498.3,59.3,3561.7,135.0
FY2025,608.9,53.5,527.6,55.7,79.3,0.0,410.5,3.05,22.94,3079.6,498.9,8.1,4037.3,134.2
Q1 2019,-28.5,-1.3,-39.5,9.0,19.8,0.0,-52.6,-0.34,13.61,2077.9,548.6,58.0,2597.5,152.6
Q2 2019,23.0,37.5,-5.1,6.1,19.1,0.0,-55.5,-0.36,13.30,2029.4,594.5,41.5,2645.7,152.6
Q3 2019,112.8,7.0,118.9,1.8,19.0,0.0,89.2,0.58,13.53,2064.7,595.8,5.9,2660.5,152.6
Q1 2020,-295.4,0.2,-274.3,9.6,-29.4,-47.1,-253.8,-1.67,14.37,2178.9,548.6,71.5,2701.9,151.6
Q2 2020,72.7,0.6,70.5,8.6,16.2,0.0,52.4,0.35,14.75,2220.0,544.5,21.3,2770.2,150.5
Q3 2020,99.4,3.9,74.4,9.6,16.6,0.0,77.7,0.52,15.63,2346.8,545.8,18.3,2911.6,150.1
Q1 2021,340.1,0.0,327.6,0.8,76.4,56.1,255.4,1.66,17.98,2691.2,546.3,29.1,3373.4,149.6
Q2 2021,313.3,134.6,184.2,1.5,61.6,43.4,224.9,1.43,19.26,2876.3,496.5,41.4,3541.5,149.3
Q3 2021,186.0,59.1,113.2,11.9,37.5,18.6,131.9,0.85,20.37,2894.9,496.7,78.3,3663.9,142.1
Q1 2022,73.1,-0.2,69.9,12.6,15.2,-3.1,55.8,0.38,19.77,2754.0,496.9,23.9,3516.8,139.3
Q2 2022,-103.9,27.9,-117.6,6.1,-29.5,-47.0,-69.6,-0.50,18.50,2573.7,497.0,17.3,3072.7,139.1
Q3 2022,148.8,-0.7,153.7,10.4,24.9,4.8,112.7,0.79,18.75,2600.6,497.2,21.5,3190.1,138.7
Q1 2023,-37.2,4.1,-56.3,12.9,6.0,-14.5,-51.6,-0.40,18.85,2598.3,497.4,136.9,3107.4,137.8
Q2 2023,244.6,43.6,196.0,4.6,55.8,35.6,165.7,1.12,20.10,2748.1,497.6,90.0,3386.8,136.7
Q3 2023,185.1,-0.2,177.5,12.5,38.4,20.5,133.0,0.93,20.89,2833.4,497.7,91.8,3506.9,135.7
Q1 2024,-282.3,116.9,-410.9,12.1,18.4,0.0,-293.2,-2.17,19.65,2655.6,498.0,29.4,3357.4,135.2
Q2 2024,290.8,101.4,183.8,5.2,18.6,0.0,254.1,1.88,21.52,2909.0,498.1,40.4,3477.0,135.2
Q3 2024,88.7,0.3,83.4,7.3,18.5,0.0,37.3,0.25,21.67,2928.4,498.2,23.6,3621.1,135.2
Q1 2025,-212.8,0.6,-222.9,6.2,17.8,0.0,-211.5,-1.57,19.41,2617.1,498.5,21.6,3534.2,134.8
Q2 2025,330.9,0.1,330.9,2.1,19.2,0.0,278.6,2.06,21.43,2888.4,498.6,20.2,3848.9,134.8
Q3 2025,49.0,0.5,59.5,12.0,19.9,0.0,15.8,0.02,20.72,2793.4,577.7,14.8,3751.2,134.8
Q1 2026,-369.2,0.8,-345.4,6.2,19.5,0.0,-364.4,-2.76,19.08,2560.4,499.0,25.6,3456.3,134.2
