Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2016,380.968,-139.758,241.21,63.3,95.202,25.0,,62.038,16.3,0.111,35.198,,,447.773,735.188,287.415,,,561.404254,4.189,,,,,,millions,NZD
H1 FY2017,425.196,-149.313,275.883,64.9,110.7,26.0,,78.218,18.4,0.138,76.226,,,589.975,804.989,215.014,,,566.655585,6.023,,,,,,millions,NZD
FY2018,980.8,-330.4,650.4,66.3,269.8,27.5,314.40000000000003,190.2,19.4,0.334,247.8,-98.7,149.10000000000002,761.4,1025.1,263.7,82.4,31.9,571.230264,4.9,,,,,,millions,NZD
FY2019,1070.4,-354.6,715.8,66.9,292.6,27.3,334.3,209.2,19.5,0.365,253.3,-133.3,120.0,913.2,1206.7,293.5,86.3,48.2,573.708739,5.5,,,,,,millions,NZD
H1 FY2020,570.9,-188.0,382.9,67.1,166.0,29.1,,121.2,21.2,0.211,113.5,-30.4,83.1,,,,,48.4,574.245,2.9,,,,,,millions,NZD
FY2020,1263.7,-427.9,835.8,66.1,379.3,30.0,440.3,287.3,22.7,0.5,321.4,-170.7,150.7,973.8,1435.0,461.2,102.6,67.1,574.570603,6.1,,,,,,millions,NZD
H1 FY2021,910.2,-348.3,561.9,61.7,309.2,34.0,,225.5,24.8,0.392,218.1,-64.9,153.2,1223.1,1631.7,408.6,80.2,93.2,576.124,3.7,,,,,,millions,NZD
FY2021,1971.2,-725.6,1245.6,63.2,712.3,36.1,797.3,524.2,26.6,0.911,625.3,-184.7,440.59999999999997,1520.9,2075.0,554.1,74.7,97.3,576.412532,7.7,,,,,,millions,NZD
H1 FY2022,900.0,-332.3,567.7,63.1,302.4,33.6,,221.8,24.6,0.385,127.5,-50.1,77.4,1478.4,2094.5,616.1,112.4,69.8,577.663664,3.7,,,,,,millions,NZD
FY2022,1681.7,-629.0,1052.7,62.6,505.6,30.1,601.6,376.9,22.4,0.653,324.3,-169.8,154.5,1679.7,2107.0,427.3,68.3,89.9,577.405878,8.1,,,,,,millions,NZD
H1 FY2023,690.6,-277.4,413.2,59.8,126.7,18.3,,95.9,13.9,0.166,1.9,-124.8,-122.89999999999999,1751.8,2389.8,638.0,243.2,70.5,582.01262,4.3,,,,,,millions,NZD
FY2023,1581.1,-642.7,938.4,59.4,332.2,21.0,431.2,250.3,15.8,0.433,238.2,-211.3,26.899999999999977,1753.4,2204.5,451.1,83.3,121.0,579.356576,9.0,,,,,,millions,NZD
H1 FY2024,803.7,-317.6,486.1,60.5,152.6,19.0,,107.3,13.4,0.185,156.5,-39.4,117.1,1929.8,2435.4,505.6,66.6,116.6,586.112745,4.5,,,,,,millions,NZD
FY2024,1742.8,-698.4,1044.4,59.9,353.4,20.3,467.7,132.6,7.6,0.228,429.6,-339.0,90.60000000000002,1759.1,2281.7,522.6,114.2,82.0,583.963682,10.8,,,,,,millions,NZD
H1 FY2025,951.2,-362.5,588.7,61.9,218.1,22.9,,153.2,16.1,0.262,233.0,-23.8,209.2,1986.2,2631.3,645.1,62.2,300.0,587.250045,5.3,,,,,,millions,NZD
FY2025,2021.0,-750.1,1270.9,62.9,509.6,25.2,649.5,377.2,18.7,0.644,548.6,-103.0,445.6,1890.4,2550.8,660.4,64.0,264.5,586.139423,11.2,,,,,,millions,NZD
H1 FY2026,1088.5,-402.8,685.7,63.0,286.1,26.3,,213.0,19.6,0.363,245.8,-61.8,184.0,1986.2,2631.3,645.1,62.2,300.0,586.77686,7.1,,,,,,millions,NZD
FY2026,2308.4,-838.3,1470.1,63.7,636.4,27.6,795.0,468.5,20.3,0.798,663.2,-195.2,468.0,2115.4,2853.6,738.2,59.8,461.1,587.276425,13.9,0.52,,,,,millions,NZD
