Date,Close
2016-09-30,8.26
2016-10-31,7.82
2016-11-30,8.19
2016-12-31,8.31
2017-01-31,8.59
2017-02-28,8.84
2017-03-31,9.23
2017-04-30,10.16
2017-05-31,10.85
2017-06-30,10.35
2017-07-31,10.7
2017-08-31,11.72
2017-09-30,11.81
2017-10-31,11.69
2017-11-30,12.84
2017-12-31,12.13
2018-01-31,12.77
2018-02-28,12.36
2018-03-31,11.84
2018-04-30,12.22
2018-05-31,13.68
2018-06-30,13.56
2018-07-31,14.99
2018-08-31,13.78
2018-09-30,12.53
2018-10-31,12.47
2018-11-30,12.36
2018-12-31,11.98
2019-01-31,14.07
2019-02-28,14.92
2019-03-31,14.98
2019-04-30,14.47
2019-05-31,14.83
2019-06-30,15.77
2019-07-31,15.57
2019-08-31,16.05
2019-09-30,17.78
2019-10-31,20.93
2019-11-30,21.1
2019-12-31,22.33
2020-01-31,24.59
2020-02-29,28.84
2020-03-31,25.3
2020-04-30,27.71
2020-05-31,32.84
2020-06-30,33.07
2020-07-31,33.54
2020-08-31,30.56
2020-09-30,32.79
2020-10-31,33.56
2020-11-30,30.95
2020-12-31,32.3
2021-01-31,27.11
2021-02-28,29.39
2021-03-31,33.63
2021-04-30,27.93
2021-05-31,28.92
2021-06-30,29.94
2021-07-31,31.79
2021-08-31,30.68
2021-09-30,29.42
2021-10-31,31.79
2021-11-30,30.53
2021-12-31,26.35
2022-01-31,25.66
2022-02-28,22.45
2022-03-31,19.8
2022-04-30,19.03
2022-05-31,17.84
2022-06-30,19.17
2022-07-31,17.51
2022-08-31,16.26
2022-09-30,17.88
2022-10-31,21.96
2022-11-30,21.28
2022-12-31,23.5
2023-01-31,23.66
2023-02-28,24.86
2023-03-31,25.63
2023-04-30,22.21
2023-05-31,22.54
2023-06-30,22.75
2023-07-31,20.78
2023-08-31,19.99
2023-09-30,19.03
2023-10-31,22.15
2023-11-30,21.83
2023-12-31,22.14
2024-01-31,22.99
2024-02-29,23.66
2024-03-31,25.82
2024-04-30,27.2
2024-05-31,27.77
2024-06-30,29.5
2024-07-31,33.01
2024-08-31,32.11
2024-09-30,32.81
2024-10-31,34.52
2024-11-30,34.95
2024-12-31,34.35
2025-01-31,30.39
2025-02-28,30.25
2025-03-31,31.51
2025-04-30,33.93
2025-05-31,33.63
2025-06-30,34.09
2025-07-31,32.85
2025-08-31,32.37
2025-09-30,32.33
2025-10-31,33.34
2025-11-30,32.65
2025-12-31,33.65
2026-01-31,34.46
2026-02-28,30.65
2026-03-31,29.82
2026-04-30,31.17
2026-05-31,32.05
2026-06-30,34.02
2026-07-31,36.33
2026-08-31,35.21
2026-09-22,36.2
