Date,Close
2016-09-30,8.86
2016-10-31,8.18
2016-11-30,8.52
2016-12-31,8.69
2017-01-31,9.11
2017-02-28,9.7
2017-03-31,10.07
2017-04-30,10.7
2017-05-31,11.465
2017-06-30,10.97
2017-07-31,11.768
2017-08-31,12.775
2017-09-30,13.25
2017-10-31,13.1
2017-11-30,14.35
2017-12-31,13.35
2018-01-31,13.8
2018-02-28,13.2
2018-03-31,12.75
2018-04-30,13.28
2018-05-31,14.89
2018-06-30,14.8
2018-07-31,16.39
2018-08-31,15.05
2018-09-30,13.6
2018-10-31,13.3
2018-11-30,13
2018-12-31,12.56
2019-01-31,14.7
2019-02-28,15.7
2019-03-31,15.81
2019-04-30,15.4
2019-05-31,15.46
2019-06-30,16.5
2019-07-31,16.65
2019-08-31,17.3
2019-09-30,19.15
2019-10-31,22.15
2019-11-30,22.2
2019-12-31,23.3
2020-01-31,25.78
2020-02-29,30.38
2020-03-31,27.39
2020-04-30,29.98
2020-05-31,35.6
2020-06-30,36
2020-07-31,36.85
2020-08-31,33.27
2020-09-30,35
2020-10-31,35.92
2020-11-30,32.97
2020-12-31,34.64
2021-01-31,29.25
2021-02-28,32.1
2021-03-31,35.95
2021-04-30,29.79
2021-05-31,31.12
2021-06-30,31.55
2021-07-31,33.1
2021-08-31,32
2021-09-30,31.21
2021-10-31,33.33
2021-11-30,32.76
2021-12-31,27.75
2022-01-31,27.51
2022-02-28,24.35
2022-03-31,21.5
2022-04-30,21
2022-05-31,19.98
2022-06-30,21.2
2022-07-31,19.66
2022-08-31,18.5
2022-09-30,19.58
2022-10-31,23.6
2022-11-30,22.6
2022-12-31,25.26
2023-01-31,25.98
2023-02-28,26.65
2023-03-31,27.68
2023-04-30,23.25
2023-05-31,24.5
2023-06-30,24.57
2023-07-31,22.71
2023-08-31,21.58
2023-09-30,20.81
2023-10-31,23.56
2023-11-30,23.6
2023-12-31,23.67
2024-01-31,24.5
2024-02-29,25.65
2024-03-31,28.47
2024-04-30,29.5
2024-05-31,30.08
2024-06-30,32.35
2024-07-31,35.6
2024-08-31,34.75
2024-09-30,35.99
2024-10-31,38.05
2024-11-30,38.4
2024-12-31,37.6
2025-01-31,34.08
2025-02-28,33.54
2025-03-31,34
2025-04-30,36.5
2025-05-31,36.05
2025-06-30,36.8
2025-07-31,36.6
2025-08-31,37.05
2025-09-30,37.1
2025-10-31,37.3
2025-11-30,37.75
2025-12-31,38.91
2026-01-31,40.9
2026-02-28,37.39
2026-03-31,36.55
2026-04-30,37.29
2026-05-31,39.01
2026-06-30,40.69
2026-07-31,44.4
2026-08-31,44.84
2026-09-08,44.045
