Date,Close
2016-10-01,512
2016-11-01,473.1
2016-12-01,486.7
2017-01-01,468.33
2017-02-01,455
2017-03-01,456.31
2017-04-01,456.46
2017-05-01,438
2017-06-01,432.85
2017-07-01,476.25
2017-08-01,517
2017-09-01,519
2017-10-01,527.37
2017-11-01,543.67
2017-12-01,530.34
2018-01-01,527.74
2018-02-01,487.76
2018-03-01,509
2018-04-01,555.28
2018-05-01,559.86
2018-06-01,560.56
2018-07-01,565.27
2018-08-01,548.44
2018-09-01,543.02
2018-10-01,484.45
2018-11-01,472.53
2018-12-01,440.08
2019-01-01,473.77
2019-02-01,496.17
2019-03-01,465.11
2019-04-01,477.51
2019-05-01,457.83
2019-06-01,489.72
2019-07-01,463.49
2019-08-01,444.92
2019-09-01,440.98
2019-10-01,424.29
2019-11-01,454.82
2019-12-01,469.11
2020-01-01,446.36
2020-02-01,430.96
2020-03-01,306.96
2020-04-01,273.4
2020-05-01,278.26
2020-06-01,308.84
2020-07-01,313.62
2020-08-01,308.59
2020-09-01,293.28
2020-10-01,263.17
2020-11-01,342.86
2020-12-01,340.94
2021-01-01,362.88
2021-02-01,407.62
2021-03-01,435.34
2021-04-01,456.01
2021-05-01,469.95
2021-06-01,437.91
2021-07-01,421.94
2021-08-01,442.46
2021-09-01,403.61
2021-10-01,405.15
2021-11-01,444.1
2021-12-01,492.13
2022-01-01,483.47
2022-02-01,485.78
2022-03-01,544.73
2022-04-01,550.05
2022-05-01,554.75
2022-06-01,529.1
2022-07-01,537.87
2022-08-01,498.88
2022-09-01,457
2022-10-01,491.95
2022-11-01,573.15
2022-12-01,594.12
2023-01-01,665.74
2023-02-01,699.08
2023-03-01,665.12
2023-04-01,699
2023-05-01,717.74
2023-06-01,748.9
2023-07-01,798.06
2023-08-01,824.48
2023-09-01,818.95
2023-10-01,831.91
2023-11-01,921.91
2023-12-01,920.76
2024-01-01,1047
2024-02-01,1064.77
2024-03-01,1079.04
2024-04-01,1086.29
2024-05-01,1116
2024-06-01,1136.25
2024-07-01,1178.99
2024-08-01,1205
2024-09-01,1258.39
2024-10-01,1245.52
2024-11-01,1413.23
2024-12-01,1389.76
2025-01-01,1350.01
2025-02-01,1438.28
2025-03-01,1447.25
2025-04-01,1558
2025-05-01,1692.51
2025-06-01,1806.58
2025-07-01,1774.26
2025-08-01,1721.22
2025-09-01,1748.27
2025-10-01,1623.5
2025-11-01,1719.94
2025-12-01,1908.02
2026-01-01,1649.3
2026-02-01,1720.99
2026-03-01,1702
2026-04-01,1727.26
2026-05-01,1558.99
2026-06-01,1646.81
2026-07-01,1668.65
2026-08-01,1625.77
2026-09-01,1653
2026-09-04,1653
