Date,Close
2016-09-30,6.39
2016-10-31,6.7
2016-11-30,6.75
2016-12-31,6.99
2017-01-31,7
2017-02-28,7.49
2017-03-31,7.49
2017-04-30,7.62
2017-05-31,7.66
2017-06-30,7.95
2017-07-31,7.9
2017-08-31,7.78
2017-09-30,7.66
2017-10-31,8
2017-11-30,7.67
2017-12-31,8
2018-01-31,7.38
2018-02-28,7.57
2018-03-31,7.49
2018-04-30,7.9
2018-05-31,7.82
2018-06-30,7.95
2018-07-31,7.61
2018-08-31,7.82
2018-09-30,7.38
2018-10-31,7
2018-11-30,7.35
2018-12-31,7.58
2019-01-31,7.89
2019-02-28,8.26
2019-03-31,8.5
2019-04-30,8.09
2019-05-31,8.44
2019-06-30,8.59
2019-07-31,7.97
2019-08-31,8.12
2019-09-30,7.7
2019-10-31,7.92
2019-11-30,8.5
2019-12-31,8.6
2020-01-31,7.25
2020-02-29,5.5
2020-03-31,6.68
2020-04-30,6.84
2020-05-31,7.19
2020-06-30,7.01
2020-07-31,7.5
2020-08-31,7.75
2020-09-30,8.4
2020-10-31,9.3
2020-11-30,10.06
2020-12-31,11
2021-01-31,10.6
2021-02-28,11.3
2021-03-31,11.13
2021-04-30,11.8
2021-05-31,12.6
2021-06-30,12.8
2021-07-31,12.8
2021-08-31,12.76
2021-09-30,12.95
2021-10-31,12.6
2021-11-30,12.85
2021-12-31,12.08
2022-01-31,12.18
2022-02-28,12.35
2022-03-31,12.28
2022-04-30,11
2022-05-31,9.15
2022-06-30,10.32
2022-07-31,10.22
2022-08-31,9.8
2022-09-30,10.35
2022-10-31,10
2022-11-30,9.66
2022-12-31,9.52
2023-01-31,9.6
2023-02-28,9.45
2023-03-31,9.5
2023-04-30,9.02
2023-05-31,8.32
2023-06-30,8.56
2023-07-31,8.71
2023-08-31,8.16
2023-09-30,7.45
2023-10-31,8.2
2023-11-30,8.5
2023-12-31,8.46
2024-01-31,8.47
2024-02-29,8.85
2024-03-31,8.4
2024-04-30,7.99
2024-05-31,7.7
2024-06-30,9.1
2024-07-31,9.5
2024-08-31,9.1
2024-09-30,10.49
2024-10-31,10.3
2024-11-30,10.64
2024-12-31,10.7
2025-01-31,11.12
2025-02-28,10.45
2025-03-31,9.85
2025-04-30,10.85
2025-05-31,11.11
2025-06-30,11.15
2025-07-31,12.16
2025-08-31,13.7
2025-09-30,14.72
2025-10-31,13.95
2025-11-30,14.45
2025-12-31,14.6
2026-01-31,14.35
2026-02-28,12
2026-03-31,12.65
2026-04-30,13.59
2026-05-31,13.91
2026-06-30,13.85
2026-07-31,13.1
2026-08-31,13.17
2026-09-08,13.21
