Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1-2018,9839.0,,,,,,,-348.0,-3.5,-0.22,,,,6688.0,20161.0,13473.0,,359.0,,,0.1,,9839.0,,,millions,NZD
FY2018,20438.0,-17279.0,3159.0,15.5,262.0,1.3,,-196.0,-1.0,-0.14,,,,6349.0,18015.0,,6899.0,446.0,1611.98,,,,20438.0,,,millions,NZD
H1-2019,9746.0,-8246.0,1500.0,15.4,323.0,3.3,607.0,80.0,0.8,0.05,-612.0,-320.0,-932.0,6580.0,20141.0,13561.0,7811.0,348.0,1611.97,,0.05,,9746.0,,,millions,NZD
FY2019,19255.0,-16349.0,2874.0,14.9,350.0,1.8,911.0,-610.0,-3.2,-0.35,,,,5834.0,17284.0,11450.0,6589.0,550.0,1611.98,,0.0,,19255.0,,,millions,NZD
H1-2020,10071.0,-8483.0,1607.0,16.0,917.0,9.1,1240.0,501.0,5.0,0.37,-124.0,-113.0,-237.0,6291.0,20143.0,,6719.0,460.0,1612.055,,0.0,,10071.0,,,millions,NZD
FY2020,20282.0,-17236.0,3062.0,15.1,1282.0,6.3,1909.0,659.0,3.2,0.43,1492.0,-355.0,1137.0,6703.0,17916.0,11213.0,6072.0,788.0,1612.076,,0.05,,20282.0,,,millions,NZD
H1-2021,,,,,,,,391.0,,0.23,,,,7158.0,19955.0,,,345.0,,,0.05,,,,,millions,NZD
FY2021,20565.0,-17581.0,2984.0,14.5,887.0,4.3,1529.0,599.0,2.9,0.36,,,,6869.0,17341.0,,5092.0,985.0,,,0.2,,20565.0,,,millions,NZD
H1-2022,10588.0,-9039.0,1549.0,14.6,601.0,5.7,915.0,364.0,3.4,0.22,-617.0,-194.0,-811.0,6701.0,20816.0,,5832.0,479.0,,,0.05,,10588.0,,,millions,NZD
FY2022,21901.0,-18992.0,2909.0,13.3,946.0,4.3,1611.0,583.0,2.7,0.36,,,,6906.0,18781.0,11875.0,5287.0,288.0,1613.353,,0.2,,21901.0,,,millions,NZD
H1-2023,12333.0,-10287.0,2046.0,16.6,864.0,7.0,1177.0,546.0,4.4,0.33,276.0,-256.0,20.0,7929.0,21391.0,13462.0,5546.0,319.0,,,0.1,,12333.0,,,millions,NZD
FY2023,26046.0,-21447.0,4599.0,17.7,2218.0,8.5,2880.0,1577.0,6.1,0.95,,,,7968.0,18601.0,10633.0,4043.0,1822.0,1610.507,,0.5,,24580.0,,,millions,NZD
H1-2024,11085.0,-9049.0,2036.0,18.4,986.0,8.9,1293.0,674.0,6.1,0.4,-84.0,-233.0,-317.0,8080.0,18231.0,10151.0,4641.0,239.0,1609.19,,0.15,,11085.0,,,millions,NZD
FY2024,,,,,,,,1130.0,,0.67,,,,,,,,,1609.19,,0.55,,,,,millions,NZD
H1-2025,,,,,1107.0,,,729.0,,0.44,,,,,,,,,,,0.22,,,,,millions,NZD
FY2025,,,,,1732.0,,,1079.0,,0.67,,,,,,,,,1607.0,,0.57,,,,,millions,NZD
H1-2026,,,,,1200.0,,,750.0,,0.45,,,,,,,,,,,0.4,,,,,millions,NZD
