Date,Close
2016-09-30,5.9
2016-10-31,5.93
2016-11-30,6
2016-12-31,6.19
2017-01-31,6.39
2017-02-28,6.06
2017-03-31,5.98
2017-04-30,6
2017-05-31,6
2017-06-30,6.05
2017-07-31,6.215
2017-08-31,6.23
2017-09-30,6.37
2017-10-31,6.36
2017-11-30,6.41
2017-12-31,6.2
2018-01-31,6
2018-02-28,5.91
2018-03-31,5.73
2018-04-30,5.17
2018-05-31,5.44
2018-06-30,5.12
2018-07-31,5.01
2018-08-31,4.89
2018-09-30,4.87
2018-10-31,4.71
2018-11-30,4.64
2018-12-31,4.74
2019-01-31,4.17
2019-02-28,4.25
2019-03-31,4.25
2019-04-30,3.99
2019-05-31,3.85
2019-06-30,3.77
2019-07-31,3.31
2019-08-31,3.5
2019-09-30,4.15
2019-10-31,4
2019-11-30,4.05
2019-12-31,4.05
2020-01-31,3.91
2020-02-29,3.85
2020-03-31,3.67
2020-04-30,3.64
2020-05-31,3.74
2020-06-30,3.82
2020-07-31,4
2020-08-31,4
2020-09-30,4.61
2020-10-31,4.4
2020-11-30,4.38
2020-12-31,4.54
2021-01-31,5.02
2021-02-28,4.93
2021-03-31,4.57
2021-04-30,4
2021-05-31,3.91
2021-06-30,3.74
2021-07-31,3.68
2021-08-31,3.97
2021-09-30,4
2021-10-31,3.65
2021-11-30,3.74
2021-12-31,3.5
2022-01-31,3.44
2022-02-28,3.41
2022-03-31,2.85
2022-04-30,2.91
2022-05-31,3.1
2022-06-30,3.02
2022-07-31,2.94
2022-08-31,3.04
2022-09-30,2.98
2022-10-31,3.1
2022-11-30,3.26
2022-12-31,3.23
2023-01-31,3.1
2023-02-28,3.38
2023-03-31,3.45
2023-04-30,3.52
2023-05-31,3.41
2023-06-30,3.53
2023-07-31,3.2
2023-08-31,3.02
2023-09-30,3.08
2023-10-31,3
2023-11-30,3.49
2023-12-31,3.41
2024-01-31,3.48
2024-02-29,3.58
2024-03-31,3.7
2024-04-30,4
2024-05-31,4.08
2024-06-30,3.95
2024-07-31,4.4
2024-08-31,4.97
2024-09-30,4.93
2024-10-31,5.45
2024-11-30,5.15
2024-12-31,4.98
2025-01-31,5.1
2025-02-28,5.59
2025-03-31,5.45
2025-04-30,6.15
2025-05-31,6.58
2025-06-30,6.99
2025-07-31,7.37
2025-08-31,8.35
2025-09-30,8.17
2025-10-31,7.75
2025-11-30,8.2
2025-12-31,8.189
2026-01-31,8.19
2026-02-28,8.2
2026-03-31,6.55
2026-04-30,7.2
2026-05-31,7.08
2026-06-30,6.9
2026-07-31,7.25
2026-08-31,7.48
2026-09-08,7.832
